,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,未来转债,128063,2019-04-24,德尔未来,2631,其他,107,-1.11%,-0.12%,9.27,-1.80%,9.3,1.40%,8.68,3.68,6.80%,106.8,0.20%,4月13天,5.84年,4.84年,10.20%,10.90%,6.3,3.29%,2.46%,3.13%,0.45%,0.09%,82.17,92.36,31.57,123.93,-13.70%,52%,<2%,16%,0.68,3.27,-1.5,AA-,6.00%,67
12,参林转债,113533,2019-04-24,DR大参林,603233,医药,117.9,-0.59%,0.93%,44,0.41%,13,1.10%,36.5,5.46,20.50%,120.55,-2.20%,4月12天,5.84年,3.84年,5.70%,6.80%,10,-0.71%,-1.11%,-0.79%,-3.18%,-3.34%,85.42,85.56,43.86,129.43,-8.90%,46%,<2%,16%,0.83,2.63,-0.75,AA,5.00%,52
13,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,100.8,-0.08%,-0.64%,6.94,-1.28%,0.5,0.10%,7.8,2.01,-11.00%,88.97,13.30%,4月11天,5.84年,3.84年,14.70%,13.10%,4.6,2.06%,1.63%,1.97%,0.74%,0.55%,85.53,85.67,20.24,105.91,-4.80%,50%,11%,17%,0.56,1.2,-0.02,AA,5.00%,30
14,亚药转债,128062,2019-04-24,亚太药业,2370,医药,102.662,-2.23%,-0.96%,15.75,-5.41%,73,7.30%,16.3,3.29,-3.40%,96.63,6.20%,4月10天,5.84年,3.84年,11.40%,11.00%,9.7,2.77%,2.15%,2.64%,0.23%,0.05%,85.34,90.75,21.99,112.74,-8.90%,59%,<2%,16%,0.59,2.17,-0.8,AA,5.00%,74
15,现代转债,110057,2019-04-30,现代制药,600420,医药,105.91,-0.58%,-0.06%,9.09,-1.20%,18,1.00%,10.09,1.37,-9.90%,90.09,17.60%,4月10天,5.84年,3.84年,16.80%,15.20%,16.2,0.82%,0.47%,0.75%,-0.58%,-0.75%,88.56,88.63,17.2,105.83,0.10%,48%,17%,16%,0.54,0.4,0.67,AAA,4.00%,40
16,百姓转债,113531,2019-04-22,老百姓,603883,医药,110.12,-1.14%,0.00%,57.65,-1.96%,0.8,0.20%,60.59,5.08,-4.90%,95.15,15.70%,4月9天,4.83年,2.83年,2.00%,1.90%,3.3,0.47%,-0.01%,0.37%,-2.63%,-2.74%,87.89,89.14,19.11,108.25,1.70%,36%,19%,16%,0.59,-0.09,1.26,AA,5.00%,24
17,精测转债,123025,2019-04-19,精测电子,300567,电子,106.401,-0.75%,-0.40%,43.05,-2.16%,1.5,0.40%,50.25,5.7,-14.30%,85.67,24.20%,4月10天,5.83年,3.83年,3.50%,3.00%,3.8,1.80%,1.25%,1.69%,-0.54%,-0.74%,82.73,84.48,20.18,104.66,1.70%,72%,20%,17%,0.53,-0.47,1.55,AA-,6.00%,27
18,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,109.097,-0.19%,0.98%,24.96,1.59%,7.6,0.70%,28.33,6.31,-11.90%,88.1,23.80%,4月10天,5.83年,3.83年,4.70%,4.10%,10.5,1.43%,0.87%,1.31%,-1.25%,-1.43%,85.6,89.5,17.01,106.51,2.40%,42%,21%,16%,0.5,-0.36,1.37,AA,5.00%,37
19,大丰转债!,113530,2019-04-18,大丰实业,603081,建筑,98.07,-0.37%,0.32%,12.42,-0.16%,1.8,0.30%,16.88,2.82,-26.40%,73.58,33.30%,4月4天,5.83年,3.83年,12.60%,9.30%,6.3,3.89%,3.22%,3.76%,1.48%,1.28%,85.69,92.31,8.23,100.54,-2.50%,54%,14%,16%,0.29,0.49,0.11,AA,5.00%,28
20,中装转债!,128060,2019-04-15,中装建设,2822,建筑,100.598,0.41%,1.79%,6.09,3.40%,10,2.00%,6.24,1.66,-2.40%,97.6,3.10%,4月10天,5.82年,3.82年,14.40%,14.00%,5.3,2.10%,1.67%,2.02%,0.80%,0.61%,85.61,85.75,26.16,111.91,-10.10%,67%,6%,17%,0.65,2.59,-1.03,AA,5.00%,66
21,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,100.792,-0.20%,0.58%,8.11,0.75%,61,1.20%,9.34,1.07,-13.20%,86.83,16.10%,4月2天,5.81年,3.81年,10.00%,8.70%,50,1.26%,0.98%,1.20%,0.31%,0.21%,87.37,86.43,14.69,101.12,-0.30%,37%,16%,15%,0.51,0.49,0.53,AAA,4.00%,78
22,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,97.903,-0.10%,-0.77%,20.5,-1.68%,1,0.50%,24.9,3.18,-17.70%,82.33,18.90%,3月29天,4.81年,2.81年,12.40%,10.20%,2.1,3.14%,2.62%,3.04%,1.45%,1.30%,82.47,80.44,19.45,99.89,-2.00%,66%,15%,18%,0.52,0.1,0.93,A+,7.50%,21
23,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,99.33,-0.26%,0.43%,6.25,0.32%,3,0.50%,7.19,1.63,-13.10%,86.93,14.30%,3月29天,5.81年,4.81年,26.50%,23.00%,6,2.65%,2.16%,2.55%,1.26%,1.04%,83.18,87.33,18.79,106.12,-6.40%,40%,11%,18%,0.51,1.52,-0.39,AA,5.00%,38
24,亨通转债!,110056,2019-04-16,亨通光电,600487,通信互联网,96.16,-0.91%,0.05%,15.48,-2.58%,8.5,0.50%,21.79,2.29,-29.00%,71.04,35.40%,3月27天,5.80年,3.80年,5.90%,4.20%,17.3,3.20%,2.71%,3.10%,1.91%,1.73%,83.92,84.82,9.55,94.38,1.90%,46%,19%,16%,0.33,-0.47,1.14,AA+,5.50%,53
25,通威转债,110054,2019-04-10,通威股份,600438,农业,126.44,-0.95%,1.59%,15.25,0.79%,43,0.70%,12.28,3.89,24.20%,124.19,1.80%,3月24天,5.80年,3.80年,8.40%,10.50%,50,-1.56%,-2.03%,-1.66%,-4.83%,-5.01%,87.6,90.03,43.43,133.47,-5.30%,61%,<2%,16%,0.82,1.83,-0.1,AA+,4.50%,15
26,长信转债!,123022,2019-04-10,长信科技,300088,通信互联网,103.5,-0.37%,0.11%,4.97,-0.60%,3.3,0.30%,6.25,2.19,-20.50%,79.52,30.20%,3月25天,5.80年,3.80年,10.80%,8.60%,12.3,1.91%,1.43%,1.82%,0.07%,-0.11%,85.7,87.35,12.67,100.02,3.50%,79%,22%,16%,0.42,-0.6,1.46,AA,5.00%,19
27,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,111.32,-1.33%,1.55%,17.48,0.34%,6.5,0.70%,17.6,2.93,-0.70%,99.32,12.10%,3月25天,5.79年,3.79年,11.40%,11.30%,8.8,0.65%,0.17%,0.55%,-1.72%,-1.91%,85.92,87.57,25.63,113.2,-1.70%,42%,17%,16%,0.65,0.66,0.66,AA,5.00%,27
28,苏银转债,110053,2019-04-03,江苏银行,600919,金融,105.42,-0.51%,0.51%,7.28,0.00%,338,1.60%,7.9,0.8,-7.80%,92.15,14.40%,3月22天,5.79年,无权,23.80%,21.90%,200,2.21%,1.61%,2.09%,无权,无权,无权,95.61,18.21,113.82,-7.40%,25%,10%,18%,0.5,2,-0.82,AAA,4.00%,66
29,浙商转债!,113022,2019-03-28,浙商证券,601878,金融,105.04,-0.86%,0.39%,8.85,-1.56%,20,0.50%,12.53,2.12,-29.40%,70.63,48.70%,3月21天,5.78年,无权,11.90%,8.40%,35,0.81%,0.49%,0.75%,无权,无权,无权,88.02,8.21,96.23,9.20%,50%,33%,18%,0.3,-1.48,2.17,AAA,4.00%,35
30,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,119.68,-0.20%,2.76%,49.12,3.19%,28,2.40%,40.52,6.29,21.20%,121.22,-1.30%,3月18天,5.78年,3.78年,5.00%,6.00%,10,-0.20%,-0.75%,-0.31%,-3.57%,-3.75%,85.78,89.69,41.55,131.24,-8.80%,46%,<2%,16%,0.8,2.52,-0.71,AA,5.00%,16
31,视源转债,128059,2019-04-02,视源股份,2841,电子,112.85,0.09%,1.00%,76,1.60%,16,1.50%,75.71,13.78,0.40%,100.38,12.40%,3月18天,5.78年,3.78年,1.90%,1.90%,9.4,0.23%,-0.22%,0.14%,-2.11%,-2.29%,85.78,86.68,26.89,113.56,-0.60%,55%,18%,16%,0.68,0.46,0.89,AA,5.00%,15
32,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,107.5,-0.09%,-0.12%,9.83,-0.51%,17,1.30%,11.99,1.42,-18.00%,81.98,31.10%,3月18天,5.77年,3.77年,10.00%,8.20%,12,1.31%,0.81%,1.21%,-0.84%,-1.03%,87.64,90.21,13.32,103.53,3.80%,41%,23%,17%,0.43,-0.57,1.44,AA+,4.50%,21
33,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,110.32,-1.17%,0.21%,5.55,-1.60%,3.6,0.60%,5.54,2.55,0.20%,100.18,10.10%,3月15天,5.77年,3.77年,10.10%,10.10%,5.7,1.95%,1.25%,1.81%,-1.28%,-1.52%,86.78,93.41,23.77,117.19,-5.90%,59%,9%,16%,0.6,1.48,-0.19,AA,5.00%,36
34,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,106.1,-0.84%,-0.41%,9.08,-1.73%,4.9,0.80%,8.81,1.95,3.10%,103.06,2.90%,3月13天,5.77年,3.77年,12.10%,12.40%,5.8,1.84%,1.29%,1.73%,-0.49%,-0.69%,83.02,84.65,31.68,116.33,-8.80%,75%,<2%,16%,0.72,2.1,-0.49,AA-,6.00%,56
35,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,116.6,-0.19%,0.50%,9.33,0.43%,22,1.20%,8.13,2.08,14.80%,114.76,1.60%,3月13天,5.77年,3.77年,16.40%,18.90%,16,0.36%,-0.21%,0.25%,-2.82%,-3.02%,87.94,92.83,33.83,126.67,-7.90%,43%,<2%,16%,0.73,2.33,-0.67,AA+,4.50%,33
36,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,109.032,-1.36%,-0.05%,13.12,-2.38%,5.6,0.40%,13.62,3.97,-3.70%,96.33,13.20%,3月10天,5.76年,3.76年,8.30%,8.00%,12,1.45%,0.89%,1.34%,-1.26%,-1.44%,85.86,89.78,22.25,112.03,-2.70%,47%,13%,16%,0.6,0.76,0.45,AA,5.00%,23
37,中信转债,113021,2019-03-19,中信银行,601998,金融,103.74,-0.02%,-0.04%,5.79,-0.17%,36,0.10%,7.45,0.68,-22.30%,77.72,33.50%,3月13天,5.76年,无权,14.10%,11.00%,400,2.49%,1.89%,2.37%,无权,无权,无权,95.56,9.25,104.81,-1.00%,23%,17%,17%,0.33,0.46,0.21,AAA,4.00%,55
38,富祥转债,123020,2019-03-29,富祥股份,300497,医药,107.562,-0.41%,0.22%,18.07,-0.28%,7.6,1.70%,18.05,3.68,0.10%,100.11,7.40%,3月11天,5.75年,3.75年,10.40%,10.40%,4.2,2.13%,1.48%,2.00%,-0.76%,-0.98%,83.36,87.26,28.16,115.43,-6.80%,64%,8%,16%,0.67,1.52,-0.1,AA-,6.00%,43
39,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,98.55,-0.48%,0.36%,20.88,-0.24%,4.4,0.70%,24.18,2.17,-13.60%,86.35,14.10%,3月11天,5.75年,3.75年,17.00%,14.70%,6.3,3.27%,2.69%,3.15%,1.51%,1.28%,83.35,85.1,20.33,105.43,-6.50%,55%,10%,17%,0.54,1.26,-0.12,AA-,6.00%,35
40,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,100,-0.68%,0.47%,6.14,-0.32%,1,0.30%,6.78,2.41,-9.40%,90.56,10.40%,3月8天,5.75年,3.75年,15.90%,14.40%,3.7,3.54%,2.86%,3.41%,1.21%,0.97%,79.23,81.04,27.73,108.77,-8.10%,70%,8%,17%,0.64,1.3,0.04,A+,7.50%,44
41,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,101.16,-0.01%,-0.69%,8.87,-1.44%,17,0.40%,10.29,1.4,-13.80%,86.2,17.40%,3月8天,5.75年,3.75年,14.60%,12.60%,39.7,2.19%,1.72%,2.09%,0.67%,0.47%,87.51,89.17,15.16,104.33,-3.00%,64%,12%,16%,0.48,0.89,0.12,AA+,4.50%,37
42,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,114,0.26%,-0.26%,7.88,0.00%,25,2.40%,7.41,0.85,6.30%,106.34,7.20%,3月7天,5.75年,3.75年,21.50%,22.90%,9.1,0.23%,-0.25%,0.14%,-2.34%,-2.53%,86.11,87.76,30.86,118.62,-3.90%,42%,11%,16%,0.71,1.22,0.26,AA,5.00%,44
43,中来转债,123019,2019-03-22,中来股份,300393,能源电力,100.59,-0.42%,-0.11%,17.05,-1.16%,5.3,0.50%,20.41,1.6,-16.50%,83.54,20.40%,3月3天,5.74年,3.74年,24.60%,20.50%,10,3.93%,3.17%,3.78%,1.07%,0.83%,83.7,90.06,17.43,107.49,-6.40%,48%,10%,18%,0.45,1.17,-0.19,AA-,6.00%,55
44,中宠转债,128054,2019-03-14,中宠股份,2891,农业,103.288,0.26%,0.24%,34.45,0.73%,3.4,1.70%,37.97,4.3,-9.30%,90.73,13.80%,2月23天,5.71年,3.71年,5.60%,5.10%,1.9,2.03%,1.53%,1.93%,0.16%,-0.04%,78.72,77.12,28.67,105.78,-2.40%,48%,15%,16%,0.68,0.17,1.19,A+,7.50%,23
45,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,105.922,-0.65%,0.25%,5.13,-0.58%,16,2.10%,4.94,1.54,3.80%,103.85,2.00%,2月21天,5.71年,3.71年,20.70%,21.50%,7.5,1.52%,1.03%,1.43%,-0.53%,-0.71%,86.07,87.72,28.83,116.55,-9.10%,42%,<2%,16%,0.7,2.39,-0.78,AA,5.00%,80
46,维格转债,113527,2019-02-19,DR维格娜,603518,服装纺织,99.52,-0.51%,0.32%,9.62,-0.93%,7,0.90%,14.96,0.71,-35.70%,64.3,54.80%,2月0天,5.65年,3.65年,43.00%,27.70%,7.5,3.54%,2.88%,3.41%,1.18%,0.97%,86.53,92.11,5.61,97.72,1.80%,38%,5%,18%,0.2,-0.39,0.79,AA,5.00%,58
47,联泰转债,113526,2019-02-18,DR联泰环,603797,城市公用设施,113.41,3.05%,-0.88%,10.09,4.67%,11,2.50%,12.31,1.95,-18.00%,81.97,38.40%,59天,5.65年,3.65年,18.10%,14.90%,3.9,-0.37%,-0.73%,-0.44%,-2.36%,-2.54%,86.13,84.76,16.52,101.28,12.00%,49%,<2%,18%,0.47,-1.99,3.13,AA,5.00%,31
48,平银转债,127010,2019-02-18,平安银行,1,金融,115.918,-0.63%,-0.29%,12.22,-1.45%,82,0.30%,11.77,0.92,3.80%,103.82,11.60%,55天,5.64年,无权,12.40%,12.90%,260,0.32%,-0.24%,0.21%,无权,无权,无权,95.09,24.38,119.47,-3.00%,30%,12%,16%,0.63,1.15,0.16,AAA,4.00%,51
49,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,145.677,0.79%,0.84%,9.42,1.73%,162,22.00%,5.52,2.05,70.70%,170.65,-14.60%,48天,5.63年,3.63年,8.30%,14.10%,5.1,-4.14%,-4.59%,-4.23%,-8.62%,-8.78%,86.42,88.09,88.48,176.57,-17.50%,45%,<2%,17%,0.94,5.3,-2.49,AA,5.00%,31
50,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,174.65,-1.04%,-0.11%,13.15,-1.20%,268,46.00%,6.97,3.02,88.70%,188.67,-7.40%,27天,5.56年,3.56年,7.50%,14.20%,3.3,-7.29%,-7.72%,-7.38%,-12.60%,-12.80%,86.89,88.56,105.71,194.28,-10.10%,80%,<2%,17%,0.96,3.26,-1.01,AA,5.00%,33
51,溢利转债,123018,2019-01-23,溢多利,300381,医药,110.013,-0.08%,0.33%,9.69,0.31%,2.9,0.40%,8.41,1.95,15.20%,115.22,-4.50%,26天,5.56年,3.56年,16.90%,19.40%,6.7,0.86%,0.37%,0.76%,-1.56%,-1.76%,83.74,83.94,42.14,126.08,-12.70%,77%,<2%,17%,0.81,3.33,-1.32,AA-,6.00%,45
52,佳都转债!,110050,2019-01-21,佳都科技,600728,计算机及应用,122.55,-1.89%,0.07%,10.19,-2.11%,29,2.70%,7.89,3.99,29.20%,129.15,-5.10%,25天,5.55年,3.55年,5.30%,6.90%,8.8,-1.27%,-1.72%,-1.36%,-4.40%,-4.59%,86.73,87.63,49.69,137.32,-10.80%,42%,<2%,16%,0.86,3.16,-1.11,AA,5.00%,27
53,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,116.17,-1.68%,0.82%,15.86,-1.18%,56,1.60%,14.55,2.51,9.00%,109,6.60%,25天,5.55年,3.55年,3.00%,3.20%,30.1,-0.99%,-1.32%,-1.06%,-3.08%,-3.25%,89.56,88.82,30.52,119.33,-2.70%,32%,14%,16%,0.73,1.21,0.29,AAA,4.00%,24
54,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,104.5,-0.27%,-0.25%,10.5,-0.94%,0.4,0.10%,11.56,2.25,-9.20%,90.83,15.00%,21天,5.55年,3.55年,9.20%,8.40%,5.3,1.82%,1.32%,1.72%,-0.18%,-0.38%,86.75,88.42,19.73,108.14,-3.40%,47%,13%,17%,0.55,0.88,0.25,AA,5.00%,8
55,奇精转债,113524,2019-01-07,奇精机械,603677,家电,98.93,-0.40%,-0.57%,12.38,-2.21%,1.6,0.50%,14.76,2.47,-16.10%,83.88,17.90%,20天,5.54年,3.54年,13.80%,11.50%,3.3,3.34%,2.74%,3.22%,1.32%,1.11%,86.78,90.74,15.18,105.92,-6.60%,60%,10%,18%,0.44,1.48,-0.49,AA,5.00%,50
56,光华转债!,128051,2019-01-09,光华科技,2741,汽车,97,-0.08%,-0.28%,12.03,-1.07%,1.2,0.50%,17.03,3.69,-29.40%,70.64,37.30%,20天,5.54年,3.54年,5.60%,3.90%,2.5,3.36%,2.81%,3.25%,2.01%,1.77%,84.28,84.61,10.57,95.18,1.90%,37%,20%,17%,0.34,-0.55,1.23,AA-,6.00%,20
57,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,100.52,-1.01%,-0.17%,19.12,-2.40%,2.6,0.80%,21.74,2.79,-12.10%,87.95,14.30%,14天,5.53年,3.53年,13.80%,12.10%,3.2,3.97%,3.20%,3.82%,1.05%,0.81%,84.45,90.57,19.36,109.93,-8.60%,66%,7%,18%,0.49,1.7,-0.59,AA-,6.00%,79
58,伟明转债!,113523,2018-12-26,伟明环保,603568,城市公用设施,110.78,-0.68%,0.07%,19.38,-0.82%,1.7,0.20%,17.47,4.23,10.90%,110.93,-0.10%,14天,5.53年,3.53年,3.70%,4.10%,6.7,0.74%,0.24%,0.64%,-1.76%,-1.95%,86.83,88.5,33.54,122.04,-9.20%,47%,<2%,16%,0.75,2.56,-0.83,AA,5.00%,27
59,福能转债,110048,2018-12-28,福能股份,600483,能源电力,108,-0.60%,0.81%,8.03,0.38%,54,1.80%,8.69,1.09,-7.60%,92.41,16.90%,14天,5.52年,3.52年,22.70%,21.00%,28.3,1.05%,0.58%,0.96%,-1.08%,-1.28%,88.39,90.07,18.44,108.51,-0.50%,29%,18%,16%,0.55,0.4,0.71,AA+,4.50%,9
60,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,104.19,-0.28%,0.10%,7.4,-0.27%,0.9,0.20%,7.52,1.55,-1.60%,98.4,5.90%,3.3天,5.49年,3.49年,17.40%,17.10%,4,1.97%,1.44%,1.86%,-0.04%,-0.26%,84.26,84.59,29.23,113.82,-8.50%,74%,7%,18%,0.66,1.96,-0.49,AA-,6.00%,62
61,旭升转债!,113522,2018-12-11,旭升股份,603305,汽车,102.02,-0.29%,1.58%,24.98,3.05%,5.3,1.20%,29.6,6.92,-15.60%,84.39,20.90%,转股中,5.48年,3.48年,4.20%,3.50%,4.2,3.11%,2.45%,2.98%,0.48%,0.28%,87.04,92.54,12.98,105.52,-3.30%,63%,15%,16%,0.42,0.78,0.1,AA,5.00%,26
62,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,107,-0.74%,0.56%,3.38,-0.29%,8.7,0.40%,3.34,1.16,1.20%,101.2,5.70%,转股中,5.48年,3.48年,14.80%,15.00%,23,1.92%,1.31%,1.80%,-0.83%,-1.03%,88.59,93.55,22.5,116.05,-7.80%,30%,7%,16%,0.61,2.14,-0.74,AA+,4.50%,65
63,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,100.733,-0.46%,1.94%,64.8,3.18%,16,3.60%,81.49,7.37,-20.50%,79.52,26.70%,转股中,5.47年,3.47年,3.50%,2.80%,4.4,1.84%,1.45%,1.76%,0.78%,0.58%,83.95,81.25,16.15,97.4,3.40%,76%,25%,16%,0.47,-0.71,1.66,AA-,6.00%,38
64,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,118.4,-0.54%,0.84%,13.01,0.39%,87,2.00%,10.89,3.28,19.50%,119.47,-0.90%,转股中,5.47年,3.47年,9.90%,11.80%,36.5,-0.45%,-0.95%,-0.55%,-3.51%,-3.71%,88.86,91.32,38.19,129.51,-8.60%,60%,<2%,16%,0.78,2.57,-0.77,AA+,4.50%,33
65,桐昆转债!,113020,2018-12-12,桐昆股份,601233,服装纺织,113.77,-1.08%,-0.27%,13.36,-1.91%,48,1.10%,12.51,1.54,6.80%,106.79,6.50%,转股中,5.47年,3.47年,15.60%,16.70%,38,-0.11%,-0.54%,-0.20%,-2.56%,-2.74%,88.39,89.29,28.97,118.25,-3.80%,48%,11%,16%,0.71,1.34,0.13,AA+,4.50%,26
66,特发转债,127008,2018-12-25,特发信息,70,通信互联网,218.5,-3.32%,0.60%,12.3,-2.77%,480,117%,5.61,3.4,119%,219.25,-0.30%,转股中,4.46年,2.46年,2.00%,4.40%,1.8,-13.10%,-13.40%,-13.20%,-16.60%,-16.70%,90,89.95,132.64,222.6,-1.80%,63%,<2%,17%,0.98,1.36,0.63,AA,5.00%,43
67,科森转债!,113521,2018-12-07,科森科技,603626,通信互联网,100.2,-0.60%,-0.53%,7.82,-2.25%,3.7,0.60%,8.95,1.82,-12.60%,87.37,14.70%,转股中,5.46年,3.46年,18.90%,16.50%,6.1,2.73%,2.19%,2.62%,1.05%,0.83%,87.33,89.14,17.89,107.03,-6.40%,63%,10%,18%,0.5,1.54,-0.42,AA,5.00%,60
68,张行转债,128048,2018-11-29,张家港行,2839,金融,102.73,-1.24%,0.48%,5.66,-1.39%,39,1.50%,6.06,1.05,-6.60%,93.4,10.00%,转股中,5.45年,无权,24.40%,22.80%,25,2.02%,1.53%,1.92%,无权,无权,无权,90.34,20.45,110.79,-7.30%,55%,10%,18%,0.55,1.91,-0.66,AA+,4.50%,30
