,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,一心转债,128067,2019-05-17,一心堂,2727,医药,112.75,-0.67%,-0.67%,28.16,-1.88%,10,1.50%,27.28,3.95,3.20%,103.23,9.20%,4月27天,5.89年,3.89年,3.80%,3.90%,6,0.07%,-0.34%,-0.01%,-2.06%,-2.23%,85.24,85.38,29.93,115.31,-2.20%,37%,13%,16%,0.71,0.83,0.61,AA,5.00%,19
2,亚泰转债!,128066,2019-05-14,亚泰国际,2811,建筑,98.315,0.00%,-0.61%,14.96,-1.12%,1.5,0.30%,17.49,1.9,-14.50%,85.53,14.90%,4月25天,5.88年,3.88年,17.80%,15.20%,4.8,3.22%,2.66%,3.11%,1.50%,1.28%,82.65,84.39,19.54,103.93,-5.40%,49%,10%,16%,0.54,0.97,0.15,AA-,6.00%,22
3,永鼎转债!,110058,2019-05-08,永鼎股份,600105,通信互联网,96.2,-0.98%,-0.59%,4.97,-4.05%,12,1.30%,6.5,2.28,-23.50%,76.46,25.80%,4月24天,5.88年,3.88年,15.70%,12.00%,9.8,3.19%,2.70%,3.09%,1.92%,1.73%,85.37,87.01,12,99.01,-2.80%,58%,13%,17%,0.39,0.62,0.18,AA,5.00%,37
4,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.636,0.60%,3.07%,7.23,7.91%,161,21.10%,8.98,2.66,-19.50%,80.51,18.80%,4月24天,5.88年,3.88年,11.50%,9.30%,8,2.66%,2.29%,2.59%,2.06%,1.87%,85.37,84.01,14.86,98.87,-3.30%,50%,16%,16%,0.46,0.8,0.16,AA,5.00%,29
5,创维转债!,127013,2019-05-16,创维数字,810,电子,99.21,-0.75%,-0.05%,9.42,-1.88%,7.6,0.70%,11.56,3.21,-18.50%,81.49,21.70%,4月21天,5.88年,3.88年,10.30%,8.40%,10.4,3.10%,2.53%,2.98%,1.14%,0.95%,85.38,89.28,13.14,102.42,-3.10%,47%,13%,16%,0.42,0.72,0.16,AA,5.00%,41
6,核能转债,113026,2019-05-08,中国核电,601985,能源电力,103.53,-0.43%,-0.30%,5.54,-1.42%,57,0.70%,6.32,1.81,-12.30%,87.66,18.10%,4月21天,5.88年,3.88年,9.00%,7.90%,78,1.05%,0.73%,0.99%,-0.01%,-0.18%,88.43,87.7,15.4,103.09,0.40%,18%,16%,15%,0.51,0.34,0.7,AAA,4.00%,52
7,明泰转债!,113025,2019-05-07,明泰铝业,601677,有色金属,98.38,-0.47%,-0.20%,10.02,-1.28%,13,0.70%,11.49,0.97,-12.80%,87.21,12.80%,4月18天,5.86年,3.86年,31.10%,27.10%,18.4,2.83%,2.33%,2.73%,1.36%,1.17%,85.46,87.24,17.56,104.8,-6.10%,31%,9%,16%,0.52,1.46,-0.32,AA,5.00%,50
8,鼎胜转债!,113534,2019-04-30,鼎胜新材,603876,有色金属,96.27,-0.27%,1.55%,16.83,2.87%,16,1.30%,20.8,2.11,-19.10%,80.91,19.00%,4月17天,5.86年,3.86年,17.30%,14.00%,12.5,3.18%,2.69%,3.09%,1.91%,1.72%,85.45,87.09,13.73,100.82,-4.50%,60%,13%,16%,0.44,1.02,-0.07,AA,5.00%,44
9,核建转债,113024,2019-04-26,中国核建,601611,建筑,101.96,-0.28%,-0.10%,7.67,-1.03%,12,0.40%,9.93,2.26,-22.80%,77.24,32.00%,4月16天,5.86年,3.86年,14.90%,11.50%,30,1.31%,0.99%,1.24%,0.35%,0.19%,88.4,87.67,10.3,97.97,4.10%,43%,23%,16%,0.37,-0.49,1.24,AAA,4.00%,55
10,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,98.511,-0.87%,0.02%,5.33,-1.66%,4.1,0.50%,6.15,1.07,-13.30%,86.67,13.70%,4月16天,5.86年,3.86年,20.90%,18.10%,8,2.77%,2.29%,2.68%,1.32%,1.13%,85.46,87.1,17.21,104.32,-5.60%,35%,10%,16%,0.51,1.32,-0.21,AA,5.00%,44
