,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N一心转,128067,2019-05-17,一心堂,2727,医药,116.7,16.70%,0.00%,30.1,-3.12%,397,55.70%,27.28,3.82,10.30%,110.34,5.80%,5月8天,5.92年,3.92年,3.50%,3.90%,6,-0.52%,-0.92%,-0.60%,-2.87%,-3.04%,88.53,90.2,30.47,120.68,-3.30%,36%,12%,16%,0.81,1.04,0.59,AA,4.00%,16
2,亚泰转债,128066,2019-05-14,亚泰国际,2811,建筑,98.35,-1.06%,-0.17%,14.77,-2.19%,7.6,1.60%,17.49,2.22,-15.60%,84.45,16.50%,5月6天,5.91年,3.91年,18.10%,15.20%,4.8,3.20%,2.64%,3.08%,1.48%,1.26%,86.34,89.91,12.88,102.79,-4.30%,49%,11%,16%,0.56,0.59,0.55,AA-,4.80%,17
3,永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,98.31,-0.85%,-1.37%,5.26,-4.36%,25,2.60%,6.5,2.98,-19.10%,80.92,21.50%,5月5天,5.91年,3.91年,14.90%,12.00%,9.8,2.79%,2.30%,2.69%,1.35%,1.17%,86.14,88.2,12.14,100.34,-2.00%,58%,15%,17%,0.51,0.21,0.81,AA,4.70%,31
4,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.41,-0.65%,-0.94%,6.52,-4.12%,37,4.80%,8.98,3.31,-27.40%,72.61,31.40%,5月5天,5.91年,3.91年,12.80%,9.30%,8,2.69%,2.32%,2.62%,2.11%,1.92%,85.12,83.71,9.12,92.84,2.80%,51%,21%,16%,0.39,-0.67,1.46,AA,5.00%,27
5,创维转债!,127013,2019-05-16,创维数字,810,电子,99.871,-0.01%,2.17%,9.91,3.99%,230,22.20%,11.56,3.94,-14.30%,85.73,16.50%,5月2天,5.91年,3.91年,9.80%,8.40%,10.4,2.96%,2.40%,2.85%,0.96%,0.78%,86.42,90.91,12.95,103.85,-3.80%,47%,12%,16%,0.54,0.62,0.48,AA,4.60%,31
6,核能转债,113026,2019-05-08,中国核电,601985,能源电力,103.97,-0.56%,-0.89%,5.55,-2.80%,98,1.20%,6.32,2.06,-12.20%,87.82,18.40%,5月2天,5.91年,3.91年,9.00%,7.90%,78,0.97%,0.65%,0.91%,-0.11%,-0.28%,89.22,88.88,14.24,103.12,0.80%,18%,17%,15%,0.52,0.26,0.78,AAA,3.70%,47
7,明泰转债,113025,2019-05-07,明泰铝业,601677,有色金属,99.01,-0.91%,-0.72%,9.95,-2.83%,33,1.80%,11.49,1.12,-13.40%,86.6,14.30%,4月29天,5.89年,3.89年,31.30%,27.10%,18.4,2.70%,2.21%,2.60%,1.19%,1.00%,86.78,89.23,14.19,103.42,-4.30%,31%,11%,16%,0.57,0.79,0.39,AA,4.60%,48
8,鼎胜转债,113534,2019-04-30,鼎胜新材,603876,有色金属,96.79,-0.80%,-0.90%,15.89,-3.87%,10,0.80%,20.8,2.6,-23.60%,76.39,26.70%,4月28天,5.89年,3.89年,18.40%,14.00%,12.5,3.07%,2.58%,2.97%,1.76%,1.57%,85.64,87.44,9.23,96.67,0.10%,61%,17%,16%,0.44,-0.25,1.13,AA,4.90%,38
9,核建转债,113024,2019-04-26,中国核建,601611,建筑,103.11,-0.78%,-0.90%,7.85,-4.15%,22,0.70%,9.93,2.92,-20.90%,79.05,30.40%,4月27天,5.89年,3.89年,14.50%,11.50%,30,1.11%,0.79%,1.04%,0.07%,-0.09%,88.99,88.56,10.25,98.81,4.40%,43%,23%,16%,0.4,-0.54,1.36,AAA,3.80%,53
10,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,100.7,-1.71%,0.28%,5.8,-2.19%,30,3.70%,6.25,1.26,-7.20%,92.8,8.50%,4月27天,5.89年,3.89年,19.20%,17.80%,8,2.37%,1.89%,2.27%,0.76%,0.57%,87.42,90.05,17.71,107.75,-6.50%,35%,9%,16%,0.65,1.37,0,AA,4.40%,40
