,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
17,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,99.759,-0.16%,0.34%,6.51,0.31%,12,2.00%,7.39,1.93,-11.90%,88.09,13.20%,4月22天,5.87年,4.87年,25.40%,22.40%,6,2.54%,2.06%,2.45%,1.16%,0.94%,83.59,87.87,17.25,105.13,-5.10%,41%,13%,18%,0.58,1.14,0.08,AA,4.80%,39
18,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,103.18,-0.41%,0.10%,17.95,-0.66%,27,1.50%,21.79,3.22,-17.60%,82.38,25.30%,4月20天,5.87年,3.87年,5.10%,4.20%,17.3,1.91%,1.44%,1.82%,0.10%,-0.07%,86.77,89.14,11.68,100.82,2.30%,46%,20%,16%,0.47,-0.25,1.19,AA+,4.50%,49
19,通威转债,110054,2019-04-10,通威股份,600438,农业,121.15,3.54%,1.43%,14.8,6.17%,111,1.90%,12.44,3.17,19.00%,118.97,1.80%,4月17天,5.86年,3.86年,8.70%,10.40%,50,-0.81%,-1.28%,-0.91%,-3.73%,-3.92%,88.38,91.3,37.05,128.34,-5.60%,61%,9%,16%,0.8,1.88,-0.16,AA+,4.20%,25
20,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,105,-0.14%,0.34%,5.15,0.39%,14,1.10%,6.38,2.81,-19.30%,80.72,30.10%,4月18天,5.86年,3.86年,10.40%,8.40%,12.3,1.64%,1.16%,1.54%,-0.29%,-0.47%,85.42,87.06,11.58,98.64,6.40%,79%,26%,16%,0.5,-1.22,2.29,AA,5.00%,10
21,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,109.95,2.16%,-0.98%,16.88,1.75%,30,3.20%,17.6,2.95,-4.10%,95.91,14.60%,4月18天,5.86年,3.86年,11.80%,11.30%,8.8,0.86%,0.38%,0.77%,-1.39%,-1.58%,86.79,88.96,20.42,109.38,0.50%,42%,16%,16%,0.67,0.09,1.25,AA,4.70%,28
22,苏银转债,110053,2019-04-03,江苏银行,600919,金融,105.54,0.55%,0.28%,7.42,1.64%,374,1.80%,7.9,0.87,-6.10%,93.92,12.40%,4月15天,5.85年,无权,23.30%,21.90%,200,2.17%,1.58%,2.05%,无权,无权,无权,95.37,18.76,114.13,-7.50%,25%,9%,18%,0.51,2.2,-0.96,AAA,4.00%,64
23,浙商转债!,113022,2019-03-28,浙商证券,601878,金融,103.97,-1.33%,2.10%,9.22,2.22%,105,2.90%,12.53,3,-26.40%,73.58,41.30%,4月14天,5.85年,无权,11.40%,8.40%,35,0.99%,0.66%,0.92%,无权,无权,无权,87.8,9.09,96.89,7.30%,50%,32%,18%,0.35,-1,1.73,AAA,4.00%,28
24,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,118.61,1.92%,3.38%,46.59,6.59%,67,5.70%,40.52,5.19,15.00%,114.98,3.20%,4月11天,5.84年,3.84年,5.20%,6.00%,10,-0.05%,-0.59%,-0.15%,-3.30%,-3.47%,87.52,92.45,32.63,125.08,-5.20%,46%,14%,16%,0.8,1.57,0.11,AA,4.40%,24
25,视源转债,128059,2019-04-02,视源股份,2841,电子,112.8,2.17%,2.44%,78.46,6.17%,28,2.70%,76.25,13.83,2.90%,102.9,9.60%,4月11天,5.84年,3.84年,1.80%,1.90%,9.4,0.23%,-0.21%,0.14%,-2.07%,-2.25%,87.14,88.79,25.57,114.35,-1.40%,55%,18%,16%,0.75,0.59,0.9,AA,4.50%,15
26,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,107.3,0.75%,-0.41%,10.38,0.68%,16,1.20%,11.99,1.73,-13.40%,86.57,23.90%,4月11天,5.84年,3.84年,9.50%,8.20%,12,1.33%,0.84%,1.23%,-0.78%,-0.97%,87.43,90.01,14.64,104.64,2.50%,41%,21%,17%,0.51,-0.22,1.24,AA+,4.50%,19
27,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,110.561,1.23%,1.11%,5.96,3.29%,9.5,1.50%,5.64,2.59,5.70%,105.67,4.60%,4月8天,5.83年,3.83年,9.40%,10.00%,5.7,1.89%,1.20%,1.75%,-1.32%,-1.55%,87.89,95.27,24.47,119.74,-7.70%,59%,7%,16%,0.71,1.95,-0.39,AA,4.60%,43
28,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,103.5,2.08%,-0.92%,8.82,1.61%,23,4.00%,8.81,1.89,0.10%,100.11,3.40%,4月6天,5.83年,3.83年,12.40%,12.40%,5.8,2.26%,1.71%,2.15%,0.15%,-0.05%,86.85,90.5,22.48,112.97,-8.40%,74%,<2%,16%,0.72,2.01,-0.43,AA-,4.70%,47
29,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,107.29,0.08%,0.96%,8.37,1.58%,56,3.30%,8.13,1.81,3.00%,102.95,4.20%,4月6天,5.83年,3.83年,18.30%,18.90%,16,1.83%,1.25%,1.71%,-0.71%,-0.91%,88.24,93.4,23.12,116.53,-7.90%,42%,7%,16%,0.66,2.22,-0.7,AA+,4.30%,36
30,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,108.665,-0.33%,-0.12%,13.37,-0.67%,9.1,0.70%,13.62,4.12,-1.80%,98.16,10.70%,4月3天,5.83年,3.83年,8.20%,8.00%,12,1.50%,0.94%,1.38%,-1.15%,-1.33%,86.71,91.19,20.63,111.82,-2.80%,49%,13%,16%,0.67,0.77,0.59,AA,4.70%,21
31,中信转债,113021,2019-03-19,中信银行,601998,金融,103.83,-0.36%,0.24%,6.08,-0.33%,136,0.30%,7.45,0.87,-18.40%,81.61,27.20%,4月6天,5.83年,无权,13.40%,11.00%,400,2.44%,1.85%,2.33%,无权,无权,无权,95.32,10.73,106.05,-2.10%,23%,16%,17%,0.38,0.84,-0.03,AAA,4.00%,53
32,富祥转债,123020,2019-03-29,富祥股份,300497,医药,107.805,1.29%,-1.33%,18.96,-0.05%,17,3.80%,18.05,3.67,5.00%,105.04,2.60%,4月4天,5.81年,3.81年,9.90%,10.40%,4.2,2.06%,1.42%,1.94%,-0.80%,-1.02%,87.34,93.49,24.62,118.11,-8.70%,64%,<2%,16%,0.74,2.12,-0.49,AA-,4.70%,49
33,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,98.3,0.20%,1.00%,20.54,2.19%,10,1.60%,24.18,2.51,-15.10%,84.95,15.70%,4月4天,5.81年,3.81年,17.30%,14.70%,6.3,3.28%,2.70%,3.16%,1.55%,1.33%,85.78,88.86,14.33,103.19,-4.70%,55%,13%,17%,0.55,0.86,0.27,AA-,5.10%,31
34,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,99.318,0.22%,0.77%,5.94,1.71%,5.4,1.50%,6.8,2.66,-12.60%,87.35,13.70%,4月1天,5.81年,3.81年,16.50%,14.40%,3.7,3.63%,2.96%,3.49%,1.37%,1.13%,85.62,90.83,15.08,105.91,-6.20%,71%,11%,17%,0.58,1.07,0.12,A+,5.30%,46
35,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,104,0.72%,-0.47%,9.17,0.44%,33,0.80%,10.29,1.62,-10.90%,89.12,16.70%,4月1天,5.81年,3.81年,14.10%,12.60%,39.7,1.67%,1.21%,1.58%,-0.05%,-0.23%,87.45,89.19,15.61,104.8,-0.80%,64%,15%,16%,0.56,0.48,0.64,AA+,4.40%,28
36,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,113.8,1.70%,0.14%,13.54,2.19%,24,2.30%,11.41,1.23,18.70%,118.67,-4.10%,4月0天,5.81年,3.81年,18.80%,22.30%,9.1,0.26%,-0.22%,0.17%,-2.26%,-2.45%,88.05,90.76,37.06,127.82,-11.00%,31%,<2%,16%,0.84,3.06,-1.07,AA,4.30%,42
37,中来转债,123019,2019-03-22,中来股份,300393,能源电力,99.77,0.60%,1.94%,18,4.83%,24,2.40%,20.41,1.92,-11.80%,88.19,13.10%,3月26天,5.80年,3.80年,23.30%,20.50%,10,4.04%,3.28%,3.88%,1.26%,1.02%,85.95,93.74,15.25,108.99,-8.50%,48%,10%,18%,0.53,1.69,-0.51,AA-,5.20%,54
38,中宠转债!,128054,2019-03-14,中宠股份,2891,农业,103.999,1.14%,0.69%,31.69,3.16%,0.6,0.30%,37.97,4.73,-16.50%,83.46,24.60%,3月16天,5.78年,3.78年,6.10%,5.10%,1.9,1.88%,1.39%,1.78%,-0.02%,-0.21%,85.07,86.46,13.46,99.92,4.10%,48%,24%,16%,0.58,-0.98,2.19,A+,5.30%,19
39,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,105.41,0.39%,-2.23%,5.33,-2.38%,27,3.40%,4.94,1.49,7.90%,107.89,-2.30%,3月14天,5.77年,3.77年,19.90%,21.50%,7.5,1.59%,1.11%,1.50%,-0.39%,-0.58%,87.57,90.08,28.5,118.58,-11.10%,42%,<2%,16%,0.77,2.94,-1.09,AA,4.50%,71
40,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,99.49,-0.49%,1.83%,13.5,2.43%,8.1,1.10%,14.96,1.11,-9.80%,90.24,10.20%,2月23天,5.72年,3.72年,30.70%,27.70%,7.5,3.51%,2.85%,3.38%,1.17%,0.96%,86.6,92.36,16.44,108.8,-8.60%,39%,10%,18%,0.55,1.94,-0.67,AA,4.90%,51
41,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,106.71,0.01%,0.75%,13.28,0.99%,1.4,0.30%,12.31,2.37,7.90%,107.88,-1.10%,2月22天,5.71年,3.71年,13.80%,14.90%,3.9,0.72%,0.36%,0.65%,-0.77%,-0.94%,87.58,86.96,31.87,118.83,-10.20%,50%,<2%,18%,0.77,2.75,-0.94,AA,4.50%,22
42,平银转债,127010,2019-02-18,平安银行,1,金融,117.35,0.64%,-0.22%,12.95,0.62%,305,1.00%,11.77,0.89,10.00%,110.03,6.70%,2月18天,5.71年,无权,11.70%,12.90%,260,0.10%,-0.45%,-0.01%,无权,无权,无权,94.86,28.46,123.32,-4.80%,30%,8%,16%,0.68,1.79,-0.3,AAA,4.00%,63
43,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,126.28,0.77%,0.14%,8.23,0.98%,86,13.40%,5.52,1.2,49.10%,149.09,-15.30%,2月11天,5.69年,3.69年,9.50%,14.10%,5.1,-1.61%,-2.08%,-1.71%,-5.00%,-5.17%,88.86,91.87,63.87,155.74,-18.90%,45%,<2%,17%,0.92,5.62,-2.72,AA,4.20%,28
44,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,164.688,2.80%,-0.90%,14.64,1.95%,838,154%,6.97,1.6,110%,210.04,-21.60%,50天,5.62年,3.62年,6.80%,14.20%,3.3,-6.22%,-6.66%,-6.31%,-11.10%,-11.30%,89.61,92.79,122.4,215.19,-23.50%,80%,<2%,17%,0.97,7.35,-3.68,AA,4.10%,36
45,溢利转债,123018,2019-01-23,溢多利,300381,医药,105.483,2.30%,1.37%,9.15,4.69%,14,2.00%,8.41,1.69,8.80%,108.8,-3.00%,49天,5.62年,3.62年,17.90%,19.40%,6.7,1.63%,1.13%,1.53%,-0.43%,-0.62%,87.86,90.23,29.67,119.91,-12.00%,77%,<2%,17%,0.78,3.1,-1.2,AA-,4.50%,42
46,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,121.44,1.05%,-0.70%,10.29,0.39%,84,7.80%,7.95,3.11,29.40%,129.43,-6.20%,48天,5.62年,3.62年,5.30%,6.80%,8.8,-1.09%,-1.54%,-1.18%,-4.10%,-4.28%,88.88,90.98,46.02,137,-11.40%,70%,<2%,16%,0.89,3.31,-1.18,AA,4.20%,26
47,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,119.79,1.00%,1.08%,16.76,2.70%,33,0.90%,14.55,2.31,15.20%,115.19,4.00%,48天,5.61年,3.61年,2.80%,3.20%,30.1,-1.53%,-1.85%,-1.60%,-3.82%,-3.99%,89.33,88.6,35.22,123.82,-3.30%,32%,13%,16%,0.77,1.5,0.11,AAA,4.00%,28
48,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,103.57,-0.50%,0.90%,10.24,0.69%,1.1,0.20%,11.56,2.48,-11.40%,88.58,16.90%,44天,5.61年,3.61年,9.50%,8.40%,5.3,1.97%,1.46%,1.87%,0.06%,-0.14%,86.98,88.89,15.95,104.84,-1.20%,46%,18%,17%,0.58,0.34,0.82,AA,4.80%,10
49,奇精转债,113524,2019-01-07,奇精机械,603677,家电,99.52,-0.36%,-2.76%,13.21,-5.58%,4.5,1.40%,14.76,2.94,-10.50%,89.5,11.20%,43天,5.60年,3.60年,12.70%,11.40%,3.3,3.19%,2.60%,3.07%,1.13%,0.93%,86.88,91.03,16.32,107.34,-7.30%,60%,5%,18%,0.56,1.65,-0.42,AA,4.90%,51
50,光华转债!,128051,2019-01-09,光华科技,2741,汽车,99.36,1.91%,-1.28%,13.15,1.39%,5.9,2.40%,17.03,5.22,-22.80%,77.22,28.70%,43天,5.60年,3.60年,5.10%,3.90%,2.5,2.86%,2.33%,2.76%,1.32%,1.09%,85.87,87.11,10.35,97.46,2.00%,37%,19%,17%,0.45,-0.51,1.43,AA-,5.40%,22
51,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,102,2.08%,4.22%,21.22,10.00%,19,5.80%,21.74,3.17,-2.40%,97.61,4.50%,37天,5.59年,3.59年,12.40%,12.10%,3.2,3.65%,2.89%,3.50%,0.64%,0.41%,87.37,95.4,19.86,115.26,-11.50%,66%,8%,18%,0.63,2.58,-1.06,AA-,4.90%,69
52,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,107.49,0.78%,-2.58%,24.38,-2.48%,5.4,0.80%,23.92,5.22,1.90%,101.92,5.50%,37天,5.59年,3.59年,4.00%,4.10%,6.7,1.29%,0.79%,1.19%,-0.93%,-1.13%,87.95,90.33,23.61,113.93,-5.70%,43%,<2%,16%,0.72,1.51,0.01,AA,4.60%,25
53,福能转债,110048,2018-12-28,福能股份,600483,能源电力,110.7,1.92%,-2.29%,8.3,-0.60%,98,3.10%,8.69,1.18,-4.50%,95.51,15.90%,37天,5.58年,3.58年,22.00%,21.00%,28.3,0.59%,0.12%,0.49%,-1.72%,-1.91%,88.51,90.36,19.01,109.37,1.20%,29%,16%,16%,0.62,0.15,1.08,AA+,4.40%,13
54,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,101.894,0.90%,0.12%,7.36,1.52%,6.7,1.60%,7.57,1.58,-2.80%,97.23,4.80%,26天,5.56年,3.56年,17.50%,17.00%,4,2.36%,1.84%,2.26%,0.57%,0.35%,87.52,89.62,22.24,111.86,-8.90%,74%,6%,18%,0.68,2.1,-0.58,AA-,4.80%,56
55,旭升转债!,113522,2018-12-11,旭升股份,603305,汽车,101.92,1.31%,0.29%,24.35,3.62%,18,4.20%,29.86,8.27,-18.50%,81.55,25.00%,20天,5.54年,3.54年,4.30%,3.50%,4.2,3.09%,2.44%,2.96%,0.50%,0.30%,86.42,91.7,9.96,101.66,0.30%,63%,18%,16%,0.44,-0.09,0.98,AA,5.10%,21
56,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,105.49,0.54%,-0.16%,3.39,0.59%,63,2.60%,3.34,1.15,1.50%,101.5,3.90%,19天,5.54年,3.54年,14.80%,15.00%,23,2.16%,1.56%,2.04%,-0.43%,-0.63%,88.78,93.97,21.15,115.12,-8.40%,30%,<2%,16%,0.64,2.32,-0.83,AA+,4.40%,68
57,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,101.8,1.18%,-0.54%,66.28,1.25%,4.7,1.10%,81.49,9.27,-18.70%,81.34,25.20%,18天,5.54年,3.54年,3.50%,2.80%,4.4,1.62%,1.24%,1.54%,0.48%,0.29%,85.97,84.3,13.2,97.5,4.40%,77%,22%,16%,0.52,-0.86,1.93,AA-,5.20%,42
58,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,111.9,-0.87%,-2.21%,11.93,-4.18%,197,4.80%,10.89,2.75,9.60%,109.55,2.10%,18天,5.54年,3.54年,10.80%,11.80%,36.5,0.60%,0.09%,0.50%,-1.95%,-2.16%,89.35,92.19,28.36,120.55,-7.20%,60%,<2%,16%,0.74,2.17,-0.53,AA+,4.30%,38
59,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,117.39,0.17%,-2.36%,14.34,-2.78%,122,2.70%,12.51,1.44,14.60%,114.63,2.40%,15天,5.54年,3.54年,14.50%,16.70%,38,-0.68%,-1.10%,-0.77%,-3.35%,-3.52%,89.05,90.39,33.48,123.86,-5.20%,48%,<2%,16%,0.79,1.76,-0.09,AA+,4.20%,35
60,特发转债,127008,2018-12-25,特发信息,70,通信互联网,177.7,3.37%,-1.29%,13.4,2.13%,510,68.40%,6.78,1.87,97.60%,197.64,-10.10%,14天,4.53年,2.53年,5.00%,9.90%,4.2,-9.89%,-10.30%,-9.97%,-12.70%,-12.80%,91.95,93.41,107.65,201.06,-11.60%,61%,<2%,17%,0.98,3.71,-1.32,AA,4.00%,50
61,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,102.48,-0.50%,-0.09%,8.65,-0.92%,5.2,0.80%,8.95,2.09,-3.40%,96.65,6.00%,14天,5.53年,3.53年,17.00%,16.40%,6.1,2.27%,1.74%,2.16%,0.41%,0.20%,87.96,90.22,21.53,111.76,-8.30%,63%,6%,18%,0.65,2.04,-0.58,AA,4.70%,65
62,张行转债,128048,2018-11-29,张家港行,2839,金融,111.51,1.19%,-1.51%,6.38,-0.47%,53,1.90%,6.06,1.12,5.30%,105.28,5.90%,8天,5.52年,无权,21.70%,22.80%,25,0.46%,-0.01%,0.36%,无权,无权,无权,90.95,27.27,118.22,-5.70%,56%,<2%,18%,0.68,1.72,-0.24,AA+,4.30%,32
63,百合转债,113520,2018-11-26,梦百合,603313,其他,120,1.51%,-2.54%,23.31,-1.19%,37,6.10%,19.03,2.57,22.50%,122.49,-2.00%,6.3天,5.51年,3.51年,9.10%,11.10%,5.1,-0.67%,-1.17%,-0.77%,-3.85%,-4.05%,89.17,92.02,39.2,131.22,-8.60%,42%,<2%,16%,0.86,2.48,-0.56,AA-,4.30%,22
64,洲明转债,123016,2018-12-03,洲明科技,300232,电子,117.32,-2.23%,-0.39%,11.36,-3.07%,42,6.30%,9.45,3.13,20.20%,120.21,-2.40%,5.3天,5.50年,3.50年,6.30%,7.60%,5.5,-0.24%,-0.75%,-0.34%,-3.19%,-3.40%,89.34,92.01,37.38,129.39,-9.30%,69%,<2%,16%,0.85,2.63,-0.7,AA-,4.40%,24
65,长久转债,113519,2018-11-30,长久物流,603569,交通运输,105.62,-0.36%,0.04%,11.55,-0.52%,5.3,0.70%,11.99,2.71,-3.70%,96.33,9.60%,5.3天,5.50年,3.50年,10.80%,10.40%,7,2.49%,1.82%,2.36%,-0.40%,-0.61%,87.95,93.86,18.64,112.5,-6.10%,52%,10%,17%,0.62,1.43,-0.11,AA,4.80%,18
66,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,113.03,1.28%,1.21%,41.4,3.50%,3.6,0.20%,40.26,5.25,2.80%,102.83,9.90%,1.3天,5.50年,3.50年,4.00%,4.10%,13,-0.50%,-0.84%,-0.57%,-2.39%,-2.57%,88.85,87.69,25.78,113.48,-0.40%,34%,18%,16%,0.71,0.63,0.8,AA+,4.30%,11
67,利尔转债!,128046,2018-11-09,利尔化学,2258,石油天然气化工,103.2,1.08%,-0.26%,15.11,1.68%,7.5,0.80%,18.62,3.34,-18.90%,81.15,27.20%,转股中,5.44年,3.44年,10.80%,8.70%,8.5,1.76%,1.31%,1.67%,0.16%,-0.04%,87.09,87.19,11.45,98.63,4.60%,41%,23%,16%,0.48,-0.82,1.82,AA,5.00%,17
68,顾家转债,113518,2018-10-09,顾家家居,603816,其他,107.49,0.92%,-0.61%,46.78,0.54%,13,1.10%,52.2,4.77,-10.40%,89.62,19.90%,转股中,5.35年,3.35年,5.50%,4.90%,11,1.35%,0.82%,1.24%,-1.00%,-1.20%,88.08,90.03,14.97,105,2.40%,39%,20%,16%,0.58,-0.33,1.51,AA,4.80%,13
69,机电转债,128045,2018-09-14,中航机电,2013,航空航天,108.999,0.00%,0.87%,7.14,1.56%,19,0.80%,7.66,3.06,-6.80%,93.21,16.90%,转股中,5.31年,3.31年,8.20%,7.60%,21,0.18%,-0.18%,0.11%,-1.49%,-1.68%,90.43,89.68,17.48,107.16,1.70%,55%,21%,16%,0.56,0.26,0.87,AAA,4.00%,17
