,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N明泰转,113025,今日上市,明泰铝业,601677,有色金属,96.94,-3.06%,0.00%,9.86,-0.10%,643,35.90%,11.49,1.12,-14.20%,85.81,13.00%,5月11天,5.93年,3.93年,31.60%,27.10%,18.4,3.06%,2.57%,2.96%,1.71%,1.52%,85.64,87.61,14.48,102.09,-5.00%,31%,14%,16%,0.57,1.1,0.09,AA,4.90%,38
2,鼎胜转债!,113534,2019-04-30,鼎胜新材,603876,有色金属,95.22,0.88%,0.49%,15.84,3.13%,46,3.90%,20.8,2.6,-23.80%,76.15,25.00%,5月10天,5.92年,3.92年,18.40%,14.00%,12.5,3.34%,2.86%,3.25%,2.15%,1.96%,84.78,86.23,9.55,95.78,-0.60%,61%,17%,16%,0.44,0.03,0.85,AA,5.10%,36
3,核建转债,113024,2019-04-26,中国核建,601611,建筑,103.01,0.30%,-0.35%,7.99,-0.13%,41,1.30%,9.93,2.92,-19.50%,80.46,28.00%,5月9天,5.92年,3.92年,14.30%,11.50%,30,1.12%,0.80%,1.05%,0.09%,-0.07%,88.18,87.46,11.5,98.96,4.10%,42%,22%,16%,0.42,-0.37,1.21,AAA,4.00%,47
4,N司尔转,128064,今日上市,司尔特,2538,石油天然气化工,99.39,-0.61%,0.00%,5.73,2.87%,303,38.50%,6.25,1.26,-8.30%,91.68,8.40%,5月9天,5.92年,3.92年,19.40%,17.80%,8,2.59%,2.11%,2.49%,1.08%,0.89%,86.12,88.19,17.9,106.09,-6.30%,35%,12%,16%,0.64,1.47,-0.11,AA,4.70%,26
5,未来转债,128063,2019-04-24,德尔未来,2631,其他,101.513,1.11%,-0.18%,7.98,1.66%,25,3.90%,8.74,3.47,-8.70%,91.3,11.20%,5月6天,5.91年,4.91年,11.80%,10.80%,6.3,4.21%,3.37%,4.04%,1.51%,1.15%,85.4,96.63,14.91,111.54,-9.00%,52%,5%,16%,0.56,1.82,-0.56,AA-,5.10%,53
6,参林转债,113533,2019-04-24,大参林,603233,医药,109.71,1.30%,1.88%,48.6,4.29%,41,3.80%,48.05,5.96,1.10%,101.14,8.50%,5月5天,5.91年,3.91年,5.10%,5.20%,10,0.54%,0.13%,0.46%,-1.38%,-1.56%,86.76,87.61,24.96,112.56,-2.50%,46%,16%,16%,0.74,0.84,0.66,AA,4.50%,49
7,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,100,-0.20%,1.27%,6.86,1.78%,3.7,0.80%,7.8,2.26,-12.10%,87.95,13.70%,5月4天,5.91年,3.91年,14.90%,13.10%,4.6,2.18%,1.75%,2.09%,0.93%,0.74%,85.92,86.35,17.13,103.48,-3.40%,50%,15%,17%,0.6,0.82,0.41,AA,4.80%,32
8,亚药转债,128062,2019-04-24,亚太药业,2370,医药,107.512,5.81%,1.84%,18.02,10.00%,322,31.70%,16.3,3.4,10.60%,110.55,-2.70%,5月3天,5.91年,3.91年,10.00%,11.00%,9.7,1.92%,1.32%,1.80%,-0.91%,-1.08%,86.83,93.16,28.6,121.76,-11.70%,58%,<2%,16%,0.76,3.04,-1.18,AA,4.50%,67
9,现代转债,110057,2019-04-30,现代制药,600420,医药,104.91,0.39%,0.22%,9.35,1.08%,88,5.20%,10.09,1.52,-7.30%,92.67,13.20%,5月3天,5.90年,3.90年,16.40%,15.20%,16.2,0.98%,0.63%,0.91%,-0.33%,-0.50%,88.34,88.41,18.33,106.74,-1.70%,48%,15%,16%,0.57,0.96,0.21,AAA,4.00%,33
10,百姓转债,113531,2019-04-22,老百姓,603883,医药,110.91,1.55%,-0.17%,60.29,2.01%,15,4.10%,60.59,5.34,-0.50%,99.5,11.50%,5月2天,4.89年,2.89年,1.90%,1.90%,3.3,0.31%,-0.15%,0.22%,-2.81%,-2.91%,88.57,90.41,19.54,109.94,0.90%,36%,18%,16%,0.69,0.14,1.23,AA,4.60%,26
11,精测转债,123025,2019-04-19,精测电子,300567,电子,106.33,0.98%,-0.97%,67.96,0.01%,7.1,1.80%,75.88,10.04,-10.40%,89.56,18.70%,5月3天,5.89年,3.89年,3.40%,3.00%,3.8,1.79%,1.25%,1.68%,-0.52%,-0.71%,85.72,89.04,17,106.04,0.30%,72%,17%,17%,0.61,-0.09,1.32,AA-,5.00%,18
12,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,105.661,-0.05%,0.54%,24.67,0.90%,28,2.50%,28.33,7.16,-12.90%,87.08,21.30%,5月3天,5.89年,3.89年,4.70%,4.10%,10.5,1.97%,1.42%,1.86%,-0.44%,-0.62%,85.67,89.74,14.19,103.93,1.70%,43%,20%,16%,0.55,-0.32,1.43,AA,4.90%,29
13,大丰转债!,113530,2019-04-18,大丰实业,603081,建筑,97.68,-0.42%,0.76%,12.45,0.97%,14,2.30%,16.88,3.83,-26.20%,73.76,32.40%,4月27天,5.89年,3.89年,12.60%,9.30%,6.3,3.92%,3.25%,3.79%,1.55%,1.36%,84.44,90.5,7.14,97.65,0.00%,54%,18%,16%,0.35,-0.12,0.81,AA,5.30%,28
14,中装转债!,128060,2019-04-15,中装建设,2822,建筑,97.2,0.79%,0.06%,5.31,1.53%,9.1,1.80%,6.24,1.7,-14.90%,85.1,14.20%,5月3天,5.89年,3.89年,16.50%,14.00%,5.3,2.69%,2.26%,2.60%,1.65%,1.46%,85.74,86.05,15.36,101.41,-4.10%,67%,12%,17%,0.56,0.97,0.19,AA,4.90%,63
15,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,100,0.51%,0.51%,8.1,2.02%,403,8.10%,9.34,1.24,-13.30%,86.72,15.30%,4月25天,5.87年,3.87年,10.00%,8.70%,50,1.38%,1.11%,1.33%,0.51%,0.40%,87.15,86.22,14.18,100.4,-0.40%,37%,16%,15%,0.51,0.63,0.4,AAA,4.00%,57
16,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,97.85,0.40%,0.42%,20.07,1.72%,2.2,1.10%,24.9,3.86,-19.40%,80.6,21.40%,4月22天,4.87年,2.87年,12.70%,10.20%,2.1,3.11%,2.59%,3.01%,1.43%,1.29%,86.71,87.35,11.14,98.49,-0.70%,67%,19%,18%,0.48,0.03,0.92,A+,5.60%,18
