,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,一心转债,128067,2019-05-17,一心堂,2727,医药,112.91,0.14%,1.25%,28.7,1.92%,24,3.60%,27.28,4.02,5.20%,105.21,7.30%,4月26天,5.89年,3.89年,3.70%,3.90%,6,0.04%,-0.36%,-0.04%,-2.10%,-2.27%,85.25,85.39,31.44,116.83,-3.40%,37%,14%,16%,0.73,1.11,0.37,AA,5.00%,20
2,亚泰转债!,128066,2019-05-14,亚泰国际,2811,建筑,98.4,0.09%,-0.48%,14.85,-0.74%,1.9,0.40%,17.49,1.89,-15.10%,84.91,15.90%,4月24天,5.88年,3.88年,18.00%,15.20%,4.8,3.21%,2.64%,3.09%,1.47%,1.26%,82.66,84.4,19.15,103.56,-5.00%,49%,10%,16%,0.54,0.87,0.24,AA-,6.00%,22
3,永鼎转债!,110058,2019-05-08,永鼎股份,600105,通信互联网,96.17,-0.03%,1.30%,5.12,3.02%,11,1.10%,6.5,2.35,-21.20%,78.77,22.10%,4月23天,5.88年,3.88年,15.30%,12.00%,9.8,3.19%,2.70%,3.10%,1.92%,1.73%,85.38,87.02,13.31,100.34,-4.20%,58%,14%,17%,0.42,0.92,-0.04,AA,5.00%,37
4,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.453,-0.19%,-0.83%,7.06,-2.35%,43,5.70%,8.98,2.6,-21.40%,78.62,21.40%,4月23天,5.88年,3.88年,11.80%,9.30%,8,2.70%,2.33%,2.62%,2.12%,1.92%,85.38,84.02,13.8,97.82,-2.40%,50%,13%,16%,0.43,0.61,0.28,AA,5.00%,29
5,创维转债!,127013,2019-05-16,创维数字,810,电子,99.222,0.01%,-0.19%,9.38,-0.42%,7.5,0.70%,11.56,3.2,-18.90%,81.14,22.30%,4月20天,5.87年,3.87年,10.30%,8.40%,10.4,3.09%,2.53%,2.98%,1.13%,0.95%,85.39,89.29,12.93,102.22,-2.90%,47%,13%,16%,0.42,0.67,0.19,AA,5.00%,40
6,核能转债,113026,2019-05-08,中国核电,601985,能源电力,103.55,0.02%,-0.20%,5.52,-0.36%,53,0.70%,6.32,1.8,-12.70%,87.34,18.60%,4月20天,5.87年,3.87年,9.10%,7.90%,78,1.05%,0.73%,0.99%,-0.01%,-0.18%,88.44,87.71,15.18,102.89,0.60%,18%,16%,15%,0.51,0.29,0.73,AAA,4.00%,52
7,明泰转债!,113025,2019-05-07,明泰铝业,601677,有色金属,98.24,-0.14%,0.95%,10.17,1.50%,24,1.30%,11.49,0.99,-11.50%,88.51,11.00%,4月17天,5.86年,3.86年,30.70%,27.10%,18.4,2.85%,2.36%,2.76%,1.40%,1.21%,85.48,87.25,18.35,105.6,-7.00%,31%,9%,16%,0.54,1.69,-0.48,AA,5.00%,49
8,鼎胜转债!,113534,2019-04-30,鼎胜新材,603876,有色金属,96.55,0.29%,1.48%,17.45,3.68%,19,1.60%,20.8,2.18,-16.10%,83.89,15.10%,4月16天,5.86年,3.86年,16.70%,14.00%,12.5,3.13%,2.64%,3.04%,1.83%,1.64%,85.46,87.1,15.54,102.64,-5.90%,60%,11%,16%,0.48,1.34,-0.29,AA,5.00%,44
9,核建转债,113024,2019-04-26,中国核建,601611,建筑,101.69,-0.26%,0.51%,7.72,0.65%,4.4,0.10%,9.93,2.27,-22.30%,77.74,30.80%,4月15天,5.86年,3.86年,14.80%,11.50%,30,1.36%,1.03%,1.29%,0.42%,0.25%,88.41,87.68,10.56,98.24,3.50%,43%,23%,16%,0.38,-0.38,1.14,AAA,4.00%,54
10,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,98.11,-0.41%,-0.61%,5.22,-2.06%,6.2,0.80%,6.15,1.05,-15.10%,84.88,15.60%,4月15天,5.86年,3.86年,21.30%,18.10%,8,2.85%,2.36%,2.75%,1.43%,1.24%,85.47,87.12,16.12,103.23,-5.00%,35%,10%,16%,0.49,1.14,-0.1,AA,5.00%,44
