,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
16,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,110.2,0.59%,-0.92%,25.7,-0.54%,6.4,0.60%,28.33,7.16,-9.30%,90.72,21.50%,4月25天,5.87年,3.87年,4.50%,4.10%,10.5,1.24%,0.69%,1.13%,-1.49%,-1.66%,87.04,91.76,15.38,107.14,2.90%,43%,19%,16%,0.6,-0.61,1.83,AA,4.50%,35
17,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,99.76,0.96%,1.38%,13.5,5.47%,9.1,1.50%,16.88,3.83,-20.00%,79.98,24.70%,4月19天,5.87年,3.87年,11.60%,9.30%,6.3,3.56%,2.89%,3.42%,1.03%,0.83%,85.75,92.48,9.45,101.94,-2.10%,54%,16%,16%,0.43,0.19,0.67,AA,4.90%,28
18,中装转债,128060,2019-04-15,中装建设,2822,建筑,100.098,0.68%,-0.13%,5.5,0.92%,6.3,1.20%,6.24,1.7,-11.90%,88.14,13.60%,4月25天,5.86年,3.86年,15.90%,14.00%,5.3,2.18%,1.75%,2.09%,0.91%,0.73%,87.08,87.97,16.47,104.44,-4.20%,67%,12%,17%,0.6,0.85,0.38,AA,4.50%,63
19,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,101.46,0.54%,0.10%,8.15,1.24%,101,2.00%,9.34,1.24,-12.70%,87.26,16.30%,4月17天,5.85年,3.85年,9.90%,8.70%,50,1.13%,0.86%,1.08%,0.14%,0.04%,88.1,87.54,13.85,101.38,0.10%,37%,16%,15%,0.51,0.41,0.62,AAA,3.70%,77
20,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,99.088,0.60%,1.02%,20.86,3.17%,2.7,1.30%,24.9,3.86,-16.20%,83.78,18.30%,4月14天,4.85年,2.85年,12.20%,10.20%,2.1,2.85%,2.34%,2.75%,1.02%,0.88%,87.73,88.93,12.27,101.21,-2.10%,67%,18%,18%,0.51,0.19,0.84,A+,5.20%,21
21,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,101.879,1.56%,0.04%,6.69,2.61%,3.3,0.50%,7.39,1.93,-9.50%,90.53,12.50%,4月14天,5.85年,4.85年,24.70%,22.40%,6,2.18%,1.70%,2.08%,0.73%,0.52%,85.14,89.74,17.99,107.73,-5.40%,41%,12%,18%,0.61,1.07,0.2,AA,4.50%,36
22,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,98.53,1.35%,0.15%,16.26,3.63%,115,6.70%,21.79,3.22,-25.40%,74.62,32.00%,4月12天,5.84年,3.84年,5.60%,4.20%,17.3,2.74%,2.26%,2.65%,1.27%,1.09%,85.44,87.13,8.39,95.52,3.10%,46%,22%,16%,0.41,-0.83,1.69,AA+,5.00%,53
23,通威转债,110054,2019-04-10,通威股份,600438,农业,134.58,7.00%,-0.20%,16.55,7.82%,312,4.80%,12.44,3.17,33.00%,133.04,1.20%,4月9天,5.84年,3.84年,7.80%,10.40%,50,-2.62%,-3.07%,-2.71%,-6.27%,-6.44%,90.16,93.93,47.3,141.23,-4.70%,61%,<2%,16%,0.87,1.71,0.1,AA+,3.70%,21
24,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,105.58,0.27%,0.62%,5.16,1.78%,8.3,0.60%,6.38,2.81,-19.10%,80.88,30.50%,4月10天,5.84年,3.84年,10.40%,8.40%,12.3,1.55%,1.07%,1.45%,-0.43%,-0.61%,86.33,88.36,11.16,99.52,6.10%,79%,26%,16%,0.5,-1.3,2.39,AA,4.80%,12
25,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,115.25,2.59%,1.03%,17.66,5.06%,46,4.60%,17.6,2.95,0.30%,100.34,14.90%,4月10天,5.83年,3.83年,11.20%,11.30%,8.8,0.04%,-0.43%,-0.06%,-2.56%,-2.75%,88.35,91.24,22.26,113.51,1.50%,42%,20%,16%,0.72,-0.16,1.6,AA,4.20%,29
26,苏银转债,110053,2019-04-03,江苏银行,600919,金融,108.22,0.40%,-0.26%,7.47,0.27%,403,1.90%,7.9,0.87,-5.40%,94.56,14.40%,4月7天,5.83年,无权,23.20%,21.90%,200,1.73%,1.14%,1.61%,无权,无权,无权,96.8,18.49,115.29,-6.10%,25%,11%,18%,0.51,1.74,-0.57,AAA,3.70%,64
27,浙商转债,113022,2019-03-28,浙商证券,601878,金融,107.44,0.63%,-0.14%,9.17,1.44%,27,0.70%,12.53,3,-26.80%,73.18,46.80%,4月6天,5.83年,无权,11.50%,8.40%,35,0.41%,0.09%,0.35%,无权,无权,无权,88.71,8.6,97.31,10.40%,50%,33%,18%,0.34,-1.65,2.45,AAA,3.80%,33
28,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,122.61,2.45%,4.35%,48.2,8.19%,83,6.80%,40.52,5.19,19.00%,118.95,3.10%,4月3天,5.82年,3.82年,5.10%,6.00%,10,-0.62%,-1.16%,-0.73%,-4.13%,-4.30%,89.16,94.93,34.24,129.17,-5.10%,46%,15%,16%,0.83,1.47,0.24,AA,3.90%,22
29,视源转债,128059,2019-04-02,视源股份,2841,电子,115.38,1.48%,0.68%,78.68,2.88%,3.6,0.30%,75.71,13.73,3.90%,103.92,11.00%,4月3天,5.82年,3.82年,1.80%,1.90%,9.4,-0.16%,-0.60%,-0.25%,-2.64%,-2.82%,88.48,90.73,25.15,115.88,-0.40%,55%,17%,16%,0.75,0.29,1.21,AA,4.10%,15
30,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,107.96,0.62%,0.26%,10.22,1.79%,7.1,0.50%,11.99,1.73,-14.80%,85.24,26.70%,4月3天,5.81年,3.81年,9.60%,8.20%,12,1.22%,0.73%,1.12%,-0.94%,-1.13%,88.26,91.21,13.4,104.61,3.20%,42%,23%,17%,0.49,-0.51,1.5,AA+,4.30%,21
31,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,112.767,1.59%,-0.51%,5.83,1.57%,16,2.50%,5.64,2.59,3.40%,103.37,9.10%,4月0天,5.81年,3.81年,9.60%,10.00%,5.7,1.54%,0.86%,1.40%,-1.82%,-2.05%,88.97,96.93,21.83,118.76,-5.00%,59%,9%,16%,0.69,1.17,0.25,AA,4.30%,40
32,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,108,0.93%,0.15%,8.96,1.47%,10,1.60%,8.81,1.89,1.70%,101.7,6.20%,3月28天,5.81年,3.81年,12.20%,12.40%,5.8,1.51%,0.96%,1.40%,-0.93%,-1.13%,88.26,92.59,22.47,115.06,-6.10%,74%,8%,16%,0.74,1.36,0.17,AA-,4.30%,50
33,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,116.59,0.51%,1.32%,9.26,2.43%,66,3.50%,8.13,1.81,13.90%,113.9,2.40%,3月28天,5.81年,3.81年,16.60%,18.90%,16,0.36%,-0.21%,0.25%,-2.79%,-2.99%,89.88,95.88,29.86,125.74,-7.30%,43%,<2%,16%,0.75,2.08,-0.43,AA+,3.90%,33
