,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N一心转,128067,2019-05-17,一心堂,2727,医药,116.7,16.70%,0.00%,30.1,-3.12%,397,55.70%,27.28,3.82,10.30%,110.34,5.80%,5月9天,5.92年,3.92年,3.50%,3.90%,6,-0.52%,-0.92%,-0.60%,-2.87%,-3.04%,88.51,90.19,30.49,120.67,-3.30%,36%,<2%,16%,0.81,1.04,0.59,AA,4.00%,14
2,亚泰转债,128066,2019-05-14,亚泰国际,2811,建筑,98.35,-1.06%,-0.17%,14.77,-2.19%,7.6,1.60%,17.49,2.22,-15.60%,84.45,16.50%,5月7天,5.92年,3.92年,18.10%,15.20%,4.8,3.19%,2.63%,3.08%,1.47%,1.26%,86.32,89.9,12.89,102.79,-4.30%,49%,11%,16%,0.56,0.59,0.55,AA-,4.80%,15
3,永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,98.31,-0.85%,-1.38%,5.26,-4.36%,25,2.60%,6.5,2.98,-19.10%,80.92,21.50%,5月6天,5.91年,3.91年,14.90%,12.00%,9.8,2.78%,2.30%,2.69%,1.35%,1.17%,86.13,88.19,12.14,100.33,-2.00%,58%,13%,17%,0.51,0.21,0.81,AA,4.70%,29
4,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.41,-0.65%,-0.94%,6.52,-4.12%,37,4.80%,8.98,3.31,-27.40%,72.61,31.40%,5月6天,5.91年,3.91年,12.80%,9.30%,8,2.69%,2.32%,2.62%,2.11%,1.92%,85.11,83.7,9.13,92.83,2.80%,51%,19%,16%,0.39,-0.67,1.46,AA,5.00%,26
5,创维转债!,127013,2019-05-16,创维数字,810,电子,99.871,-0.01%,2.17%,9.91,3.99%,230,22.20%,11.56,3.94,-14.30%,85.73,16.50%,5月3天,5.91年,3.91年,9.80%,8.40%,10.4,2.96%,2.40%,2.85%,0.96%,0.77%,86.41,90.89,12.96,103.85,-3.80%,47%,15%,16%,0.54,0.62,0.48,AA,4.60%,31
6,核能转债,113026,2019-05-08,中国核电,601985,能源电力,103.97,-0.56%,-0.89%,5.55,-2.80%,98,1.20%,6.32,2.06,-12.20%,87.82,18.40%,5月3天,5.91年,3.91年,9.00%,7.90%,78,0.97%,0.65%,0.91%,-0.11%,-0.28%,89.21,88.86,14.25,103.12,0.80%,18%,16%,15%,0.52,0.26,0.78,AAA,3.70%,49
7,明泰转债,113025,2019-05-07,明泰铝业,601677,有色金属,99.01,-0.91%,-0.72%,9.95,-2.83%,33,1.80%,11.49,1.12,-13.40%,86.6,14.30%,5月0天,5.90年,3.90年,31.30%,27.10%,18.4,2.70%,2.21%,2.60%,1.19%,1.00%,86.76,89.21,14.2,103.42,-4.30%,31%,10%,16%,0.57,0.78,0.39,AA,4.60%,47
8,鼎胜转债,113534,2019-04-30,鼎胜新材,603876,有色金属,96.79,-0.80%,-0.90%,15.89,-3.87%,10,0.80%,20.8,2.6,-23.60%,76.39,26.70%,4月29天,5.90年,3.90年,18.40%,14.00%,12.5,3.07%,2.58%,2.97%,1.75%,1.56%,85.63,87.42,9.24,96.66,0.10%,61%,16%,16%,0.44,-0.26,1.14,AA,4.90%,38
9,核建转债,113024,2019-04-26,中国核建,601611,建筑,103.11,-0.78%,-0.90%,7.85,-4.15%,22,0.70%,9.93,2.92,-20.90%,79.05,30.40%,4月28天,5.89年,3.89年,14.50%,11.50%,30,1.11%,0.79%,1.04%,0.07%,-0.09%,88.98,88.55,10.26,98.8,4.40%,43%,21%,16%,0.4,-0.54,1.36,AAA,3.80%,54
10,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,100.7,-1.71%,0.28%,5.8,-2.19%,30,3.70%,6.25,1.26,-7.20%,92.8,8.50%,4月28天,5.89年,3.89年,19.20%,17.80%,8,2.37%,1.89%,2.27%,0.76%,0.57%,87.4,90.03,17.72,107.75,-6.50%,35%,9%,16%,0.65,1.37,0,AA,4.40%,38
11,未来转债,128063,2019-04-24,德尔未来,2631,其他,106.56,-2.40%,-2.05%,8.77,-6.80%,31,4.60%,8.74,3.47,0.30%,100.34,6.20%,4月25天,5.88年,4.88年,10.80%,10.80%,6.3,3.35%,2.52%,3.18%,0.53%,0.18%,87.83,99.81,19.14,118.95,-10.40%,52%,<2%,16%,0.65,2.16,-0.67,AA-,4.50%,63
12,参林转债,113533,2019-04-24,大参林,603233,医药,118.99,-0.59%,1.25%,57.56,0.77%,156,13.10%,48.05,5.96,19.80%,119.79,-0.70%,4月24天,5.88年,3.88年,4.30%,5.20%,10,-0.86%,-1.26%,-0.94%,-3.37%,-3.54%,89.07,90.94,37.71,128.65,-7.50%,46%,<2%,16%,0.85,2.16,-0.31,AA,3.90%,51
13,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.51,-1.57%,-0.96%,6.92,-4.16%,1.9,0.40%,7.8,2.26,-11.30%,88.72,14.40%,4月23天,5.88年,3.88年,14.80%,13.10%,4.6,1.92%,1.50%,1.84%,0.56%,0.37%,87.1,88.01,16.85,104.86,-3.20%,50%,12%,17%,0.61,0.64,0.59,AA,4.50%,33
14,亚药转债,128062,2019-04-24,亚太药业,2370,医药,105.678,-2.29%,0.45%,16.8,-2.61%,23,2.20%,16.3,3.4,3.10%,103.07,2.50%,4月22天,5.88年,3.88年,10.70%,11.00%,9.7,2.24%,1.63%,2.12%,-0.49%,-0.67%,87.73,94.49,22.11,116.61,-9.40%,59%,<2%,16%,0.71,2.2,-0.61,AA,4.20%,71
15,现代转债,110057,2019-04-30,现代制药,600420,医药,107.45,-0.74%,-0.94%,9.27,-3.03%,36,2.10%,10.09,1.52,-8.10%,91.87,17.00%,4月22天,5.87年,3.87年,16.50%,15.20%,16.2,0.56%,0.22%,0.49%,-0.93%,-1.10%,89.39,89.88,17.07,106.96,0.50%,48%,17%,16%,0.56,0.36,0.75,AAA,3.70%,42
16,百姓转债,113531,2019-04-22,老百姓,603883,医药,113.45,-1.77%,2.31%,62.77,0.74%,15,4.20%,60.59,5.34,3.60%,103.6,9.50%,4月21天,4.87年,2.87年,1.80%,1.90%,3.3,-0.16%,-0.62%,-0.25%,-3.56%,-3.66%,89.84,92.41,21.38,113.8,-0.30%,36%,20%,16%,0.73,0.3,1.15,AA,4.20%,28
17,精测转债,123025,2019-04-19,精测电子,300567,电子,108.611,-0.68%,-0.65%,68.4,-2.15%,3.6,0.90%,75.88,10.04,-9.90%,90.14,20.50%,4月22天,5.87年,3.87年,3.40%,3.00%,3.8,1.42%,0.88%,1.31%,-1.05%,-1.25%,86.9,90.75,16.58,107.34,1.20%,73%,19%,17%,0.62,-0.42,1.67,AA-,4.60%,26
18,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,109.67,-0.70%,-1.23%,24.38,-3.56%,12,1.00%,28.33,7.16,-13.90%,86.06,27.40%,4月22天,5.86年,3.86年,4.80%,4.10%,10.5,1.32%,0.77%,1.21%,-1.37%,-1.55%,86.61,91.09,13.02,104.11,5.30%,43%,22%,16%,0.54,-1.17,2.33,AA,4.60%,35
19,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,98.93,-1.04%,-0.92%,12.6,-5.48%,6.6,1.10%,16.88,3.83,-25.40%,74.64,32.50%,4月16天,5.86年,3.86年,12.40%,9.30%,6.3,3.71%,3.04%,3.58%,1.24%,1.05%,85.22,91.64,7.16,98.8,0.10%,54%,15%,16%,0.36,-0.25,0.97,AA,5.10%,28
20,中装转债,128060,2019-04-15,中装建设,2822,建筑,98.16,-2.07%,-0.03%,5.29,-3.82%,8.8,1.70%,6.24,1.7,-15.20%,84.78,15.80%,4月22天,5.86年,3.86年,16.50%,14.00%,5.3,2.53%,2.10%,2.44%,1.41%,1.22%,86.68,87.37,14.58,101.95,-3.70%,67%,13%,17%,0.55,0.74,0.38,AA,4.60%,63
21,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,101,-0.73%,-0.01%,8.11,-1.46%,129,2.60%,9.34,1.24,-13.20%,86.83,16.30%,4月14天,5.85年,3.85年,10.00%,8.70%,50,1.21%,0.94%,1.16%,0.26%,0.16%,88.11,87.55,13.56,101.11,-0.10%,37%,16%,15%,0.51,0.45,0.58,AAA,3.70%,76
