,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
22,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,98.011,-1.50%,-1.93%,19.49,-7.76%,1.2,0.60%,24.9,3.86,-21.70%,78.27,25.20%,4月11天,4.84年,2.84年,13.10%,10.20%,2.1,3.09%,2.57%,2.99%,1.39%,1.25%,87.14,87.96,9.61,97.57,0.40%,67%,16%,18%,0.44,-0.3,1.19,A+,5.50%,19
23,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,99.93,-1.89%,-1.10%,6.35,-5.37%,4,0.70%,7.39,1.93,-14.10%,85.93,16.30%,4月11天,5.84年,4.84年,26.00%,22.40%,6,2.53%,2.04%,2.43%,1.13%,0.91%,84.58,89.05,15.28,104.33,-4.20%,41%,12%,18%,0.56,0.78,0.35,AA,4.60%,36
24,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,97.15,0.03%,0.40%,16.18,1.06%,65,3.80%,21.79,3.22,-25.70%,74.25,30.80%,4月9天,5.84年,3.84年,5.60%,4.20%,17.3,3.00%,2.51%,2.90%,1.63%,1.45%,85.42,87.09,8.22,95.31,1.90%,46%,21%,16%,0.41,-0.6,1.43,AA+,5.00%,50
25,通威转债,110054,2019-04-10,通威股份,600438,农业,131.04,-1.97%,-0.78%,15.65,-3.28%,44,0.70%,12.44,3.17,25.80%,125.8,4.20%,4月6天,5.83年,3.83年,8.20%,10.40%,50,-2.17%,-2.62%,-2.26%,-5.65%,-5.82%,90.04,93.73,41.08,134.81,-2.80%,61%,<2%,16%,0.84,1.22,0.49,AA+,3.70%,19
26,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,104.25,-1.28%,-0.57%,4.98,-4.05%,3.1,0.20%,6.38,2.81,-21.90%,78.06,33.60%,4月7天,5.83年,3.83年,10.70%,8.40%,12.3,1.77%,1.29%,1.68%,-0.11%,-0.29%,86.02,87.89,9.82,97.71,6.70%,79%,25%,16%,0.46,-1.42,2.44,AA,4.90%,13
27,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,115.01,-0.82%,-1.65%,17.06,-3.62%,22,2.20%,17.6,2.95,-3.10%,96.93,18.70%,4月7天,5.83年,3.83年,11.60%,11.30%,8.8,0.07%,-0.40%,-0.02%,-2.51%,-2.70%,88.09,90.85,20.06,110.92,3.70%,42%,20%,16%,0.68,-0.63,2.03,AA,4.30%,29
28,苏银转债,110053,2019-04-03,江苏银行,600919,金融,106.87,-0.87%,0.00%,7.3,-1.75%,203,0.90%,7.9,0.87,-7.60%,92.41,15.70%,4月4天,5.82年,无权,23.70%,21.90%,200,1.96%,1.36%,1.84%,无权,无权,无权,96.79,17.17,113.95,-6.20%,25%,11%,18%,0.5,1.73,-0.59,AAA,3.80%,65
29,浙商转债,113022,2019-03-28,浙商证券,601878,金融,106.52,-0.36%,-1.11%,8.69,-5.13%,37,1.00%,12.53,3,-30.60%,69.35,53.60%,4月3天,5.82年,无权,12.10%,8.40%,35,0.56%,0.24%,0.50%,无权,无权,无权,88.59,7.04,95.64,11.40%,50%,33%,18%,0.29,-1.87,2.6,AAA,3.90%,32
30,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,122.2,-0.08%,-1.07%,47.52,-1.41%,41,3.40%,40.52,5.19,17.30%,117.28,4.20%,4月0天,5.82年,3.82年,5.10%,6.00%,10,-0.57%,-1.11%,-0.67%,-4.05%,-4.22%,89.09,94.81,32.93,127.74,-4.30%,46%,<2%,16%,0.82,1.29,0.39,AA,4.00%,21
31,视源转债,128059,2019-04-02,视源股份,2841,电子,115.49,-0.46%,-2.12%,75.89,-3.57%,3.7,0.30%,75.71,13.73,0.20%,100.24,15.20%,4月0天,5.82年,3.82年,1.90%,1.90%,9.4,-0.18%,-0.62%,-0.27%,-2.67%,-2.84%,88.27,90.41,22.57,112.98,2.20%,55%,17%,16%,0.72,-0.28,1.74,AA,4.20%,17
32,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,108,-0.38%,-1.49%,10.14,-3.89%,1.8,0.10%,11.99,1.73,-15.40%,84.57,27.70%,4月0天,5.81年,3.81年,9.70%,8.20%,12,1.22%,0.73%,1.12%,-0.95%,-1.14%,88.24,91.17,13.05,104.22,3.60%,42%,21%,17%,0.48,-0.61,1.58,AA+,4.30%,21
33,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,112.011,-1.66%,-0.38%,5.7,-3.06%,5.1,0.80%,5.64,2.59,1.10%,101.06,10.80%,3月27天,5.80年,3.80年,9.90%,10.00%,5.7,1.66%,0.98%,1.52%,-1.65%,-1.88%,88.82,96.67,20.44,117.11,-4.40%,59%,10%,16%,0.67,0.96,0.4,AA,4.30%,40
34,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,107.799,-6.26%,0.97%,9.17,-7.00%,104,16.50%,8.81,1.89,4.10%,104.09,3.60%,3月25天,5.80年,3.80年,12.00%,12.40%,5.8,1.54%,1.00%,1.43%,-0.89%,-1.08%,88.49,92.93,24.06,116.99,-7.90%,74%,<2%,16%,0.76,1.79,-0.17,AA-,4.20%,51
35,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,113.69,-1.65%,-1.28%,8.66,-4.20%,44,2.40%,8.13,1.81,6.50%,106.52,6.70%,3月25天,5.80年,3.80年,17.70%,18.90%,16,0.81%,0.23%,0.69%,-2.17%,-2.37%,89.63,95.49,24.57,120.07,-5.30%,43%,<2%,16%,0.7,1.49,-0.02,AA+,4.00%,33
36,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,110.028,-2.44%,-0.29%,13.21,-4.14%,9.9,0.70%,13.62,4.12,-3.00%,96.99,13.40%,3月22天,5.80年,3.80年,8.30%,8.00%,12,1.28%,0.72%,1.17%,-1.47%,-1.65%,87.82,92.83,18.97,111.79,-1.60%,49%,15%,16%,0.66,0.33,0.98,AA,4.40%,23
37,中信转债,113021,2019-03-19,中信银行,601998,金融,104.2,-0.76%,0.20%,5.8,-1.69%,166,0.40%,7.45,0.87,-22.10%,77.85,33.80%,3月25天,5.80年,无权,14.10%,11.00%,400,2.39%,1.80%,2.27%,无权,无权,无权,96.29,8.52,104.81,-0.60%,23%,17%,17%,0.33,0.38,0.3,AAA,3.80%,53
38,富祥转债,123020,2019-03-29,富祥股份,300497,医药,109.85,-0.96%,-1.18%,18.39,-3.01%,4.8,1.00%,18.05,3.67,1.90%,101.88,7.80%,3月23天,5.79年,3.79年,10.20%,10.40%,4.2,1.74%,1.10%,1.61%,-1.29%,-1.50%,88.38,95.06,21.42,116.48,-5.70%,64%,7%,16%,0.71,1.21,0.26,AA-,4.40%,51
39,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,98.57,-2.26%,0.21%,20.25,-3.80%,5.9,0.90%,24.18,2.51,-16.30%,83.75,17.70%,3月23天,5.79年,3.79年,17.50%,14.70%,6.3,3.24%,2.67%,3.13%,1.49%,1.27%,86.71,90.19,13.07,103.27,-4.50%,55%,12%,17%,0.54,0.64,0.46,AA-,4.90%,32
40,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,99.9,-2.24%,-0.29%,6.01,-4.30%,4.3,1.10%,6.8,2.66,-11.60%,88.38,13.00%,3月20天,5.78年,3.78年,16.30%,14.40%,3.7,3.54%,2.87%,3.40%,1.23%,0.99%,86.79,92.57,14.92,107.49,-7.10%,71%,8%,17%,0.59,1.13,0.1,A+,4.90%,46
41,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,104.33,-2.21%,0.14%,8.91,-3.99%,32,0.80%,10.29,1.62,-13.40%,86.59,20.50%,3月20天,5.78年,3.78年,14.50%,12.60%,39.7,1.62%,1.16%,1.53%,-0.13%,-0.32%,88.3,90.41,13.5,103.9,0.40%,64%,17%,16%,0.52,0.07,0.97,AA+,4.20%,32
42,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,119.202,-2.57%,-5.63%,8.95,-9.69%,134,12.00%,7.41,0.8,20.80%,120.78,-1.30%,3月19天,5.78年,3.78年,18.90%,22.90%,9.1,-0.55%,-1.03%,-0.65%,-3.43%,-3.61%,89.63,93.08,37.13,130.21,-8.50%,41%,<2%,16%,0.85,2.36,-0.49,AA,3.90%,47
43,中来转债,123019,2019-03-22,中来股份,300393,能源电力,101.802,-2.04%,-1.03%,16.97,-6.45%,5,0.50%,20.41,1.92,-16.90%,83.15,22.40%,3月15天,5.77年,3.77年,24.70%,20.50%,10,3.69%,2.93%,3.53%,0.75%,0.51%,86.45,94.46,12.05,106.52,-4.40%,48%,11%,18%,0.48,0.6,0.38,AA-,5.10%,58
44,中宠转债,128054,2019-03-14,中宠股份,2891,农业,105.48,-1.32%,-0.92%,33.81,-3.48%,1.6,0.80%,37.97,4.73,-11.00%,89.04,18.50%,3月5天,5.75年,3.75年,5.70%,5.10%,1.9,1.64%,1.14%,1.54%,-0.38%,-0.57%,86.83,89,15.64,104.65,0.80%,48%,17%,16%,0.64,-0.39,1.69,A+,4.70%,23
45,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,106.6,-2.68%,-0.53%,5.14,-4.28%,26,3.30%,4.94,1.49,4.00%,104.05,2.50%,3月3天,5.74年,3.74年,20.70%,21.50%,7.5,1.40%,0.91%,1.30%,-0.68%,-0.87%,88.74,91.78,24.53,116.31,-8.30%,43%,<2%,16%,0.75,2.02,-0.39,AA,4.10%,82
46,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,99.1,-3.23%,1.38%,13.44,-3.38%,19,2.50%,14.96,1.11,-10.20%,89.84,10.30%,2月12天,5.69年,3.69年,30.80%,27.70%,7.5,3.60%,2.94%,3.47%,1.28%,1.07%,87.54,93.77,15.58,109.36,-9.40%,39%,8%,18%,0.55,1.98,-0.71,AA,4.60%,56
47,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,110.16,-3.30%,-1.42%,13.45,-6.08%,0.7,0.20%,12.31,2.37,9.30%,109.26,0.80%,2月11天,5.68年,3.68年,13.60%,14.90%,3.9,0.15%,-0.21%,0.08%,-1.59%,-1.77%,89,88.98,31.66,120.64,-8.70%,49%,<2%,18%,0.78,2.26,-0.53,AA,4.10%,26
48,平银转债,127010,2019-02-18,平安银行,1,金融,118.6,-0.64%,-1.41%,12.44,-3.19%,102,0.30%,11.77,0.89,5.70%,105.69,12.20%,2月7天,5.68年,无权,12.20%,12.90%,260,-0.09%,-0.65%,-0.20%,无权,无权,无权,96.61,24.22,120.83,-1.80%,30%,12%,16%,0.64,0.93,0.39,AAA,3.70%,55
49,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,130.585,-4.42%,2.50%,8.58,-2.05%,103,15.10%,5.52,1.2,55.40%,155.43,-16.00%,2月0天,5.66年,3.66年,9.10%,14.10%,5.1,-2.21%,-2.68%,-2.31%,-5.87%,-6.04%,90.56,94.4,67.59,161.99,-19.40%,45%,<2%,17%,0.93,5.77,-2.8,AA,3.70%,29
50,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,161.2,-8.30%,-1.35%,13.21,-10.00%,328,59.10%,6.97,1.6,89.50%,189.53,-14.90%,39天,5.59年,3.59年,7.50%,14.20%,3.3,-5.89%,-6.33%,-5.97%,-10.70%,-10.90%,91.22,95.2,99.91,195.11,-17.40%,80%,<2%,17%,0.96,5.28,-2.44,AA,3.60%,37
51,溢利转债,123018,2019-01-23,溢多利,300381,医药,111.33,-1.51%,1.34%,9.73,-0.21%,7,0.90%,8.41,1.69,15.70%,115.7,-3.80%,38天,5.59年,3.59年,16.80%,19.40%,6.7,0.64%,0.15%,0.54%,-1.86%,-2.05%,89.65,92.9,33.5,126.41,-11.90%,77%,<2%,17%,0.83,3.05,-1.08,AA-,4.00%,45
52,佳都转债!,110050,2019-01-21,佳都科技,600728,计算机及应用,123.03,-4.65%,0.74%,10.08,-4.45%,55,4.90%,7.95,3.11,26.80%,126.79,-3.00%,37天,5.59年,3.59年,5.40%,6.80%,8.8,-1.33%,-1.78%,-1.42%,-4.46%,-4.64%,90.35,93.15,41.99,135.14,-9.00%,42%,<2%,16%,0.88,2.59,-0.62,AA,3.80%,28
53,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,119.35,-1.31%,-1.35%,15.78,-3.66%,19,0.50%,14.55,2.31,8.50%,108.45,10.00%,37天,5.59年,3.59年,3.00%,3.20%,30.1,-1.47%,-1.80%,-1.54%,-3.75%,-3.92%,90.61,90.41,28.47,118.89,0.40%,32%,15%,16%,0.72,0.57,0.88,AAA,3.60%,29
54,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,108.29,-2.40%,-0.54%,10.79,-4.68%,1,0.20%,11.56,2.48,-6.70%,93.34,16.00%,33天,5.58年,3.58年,9.00%,8.40%,5.3,1.15%,0.65%,1.05%,-1.13%,-1.33%,88.37,90.93,18.11,109.04,-0.70%,46%,16%,17%,0.63,0.13,1.12,AA,4.40%,8
55,奇精转债,113524,2019-01-07,奇精机械,603677,家电,100.17,-2.25%,0.18%,12.62,-4.10%,7.7,2.30%,14.76,2.94,-14.50%,85.5,17.20%,32天,5.57年,3.57年,13.30%,11.40%,3.3,3.09%,2.49%,2.97%,0.97%,0.76%,87.45,91.85,13.67,105.52,-5.10%,60%,13%,18%,0.51,0.92,0.13,AA,4.70%,47
56,光华转债!,128051,2019-01-09,光华科技,2741,汽车,99.23,-0.63%,-0.60%,12.86,-2.87%,0.6,0.20%,17.03,5.22,-24.50%,75.51,31.40%,32天,5.57年,3.57年,5.20%,3.90%,2.5,2.90%,2.37%,2.80%,1.36%,1.13%,86.44,87.9,9.25,97.14,2.10%,37%,20%,17%,0.43,-0.7,1.58,AA-,5.20%,22
57,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,105.5,-2.57%,-1.07%,21.63,-5.75%,14,4.20%,21.74,3.17,-0.50%,99.49,6.00%,26天,5.56年,3.56年,12.20%,12.10%,3.2,3.03%,2.27%,2.88%,-0.28%,-0.50%,88.5,97.16,20.22,117.38,-10.10%,66%,<2%,18%,0.63,2.11,-0.67,AA-,4.60%,81
58,伟明转债!,113523,2018-12-26,DR伟明环,603568,城市公用设施,110.21,-1.60%,0.57%,18.5,-2.37%,5.3,0.70%,23.92,5.22,-22.70%,77.34,42.50%,26天,5.56年,3.56年,5.30%,4.10%,6.7,0.83%,0.33%,0.73%,-1.61%,-1.80%,86.93,88.72,8.94,97.66,12.80%,43%,<2%,16%,0.43,-2.45,3.63,AA,4.90%,21
59,福能转债,110048,2018-12-28,福能股份,600483,能源电力,112,-0.72%,-0.78%,8.16,-2.51%,15,0.50%,8.69,1.18,-6.10%,93.9,19.30%,26天,5.56年,3.56年,22.30%,21.00%,28.3,0.37%,-0.09%,0.28%,-2.04%,-2.23%,89.5,91.8,17.21,109.01,2.70%,29%,20%,16%,0.6,-0.31,1.51,AA+,4.10%,12
60,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,104.112,-2.52%,-0.98%,7.48,-5.08%,14,3.40%,7.57,1.58,-1.20%,98.81,5.40%,15天,5.53年,3.53年,17.20%,17.00%,4,1.97%,1.45%,1.86%,-0.02%,-0.23%,88.8,91.5,22.39,113.89,-8.60%,75%,<2%,18%,0.69,1.9,-0.39,AA-,4.40%,60
61,旭升转债,113522,2018-12-11,XD旭升股,603305,汽车,102.88,-2.00%,0.02%,23.31,-4.90%,4,0.90%,29.6,8.19,-21.30%,78.75,30.60%,9天,5.51年,3.51年,4.50%,3.50%,4.2,2.93%,2.27%,2.80%,0.24%,0.04%,86.93,92.45,8.37,100.81,2.00%,63%,19%,16%,0.41,-0.61,1.44,AA,5.00%,23
62,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,108.75,-1.41%,-0.62%,3.44,-3.10%,16,0.70%,3.34,1.15,3.00%,102.99,5.60%,8天,5.51年,3.51年,14.60%,15.00%,23,1.60%,1.00%,1.48%,-1.26%,-1.46%,89.96,95.77,21.24,117.01,-7.10%,30%,<2%,16%,0.66,1.88,-0.43,AA+,4.00%,69
63,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,103.3,-1.34%,-0.80%,65.41,-4.27%,5.8,1.30%,81.49,9.27,-19.70%,80.27,28.70%,7天,5.51年,3.51年,3.50%,2.80%,4.4,1.35%,0.97%,1.28%,0.08%,-0.11%,86.73,85.35,12.05,97.4,6.10%,77%,24%,16%,0.5,-1.28,2.37,AA-,5.00%,41
64,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,117.31,-1.82%,-1.04%,12.23,-3.78%,48,1.10%,10.89,2.75,12.30%,112.3,4.50%,7天,5.51年,3.51年,10.60%,11.80%,36.5,-0.27%,-0.77%,-0.37%,-3.23%,-3.44%,90.71,94.23,29.24,123.47,-5.00%,60%,<2%,16%,0.76,1.57,0.03,AA+,3.90%,36
65,桐昆转债!,113020,2018-12-12,桐昆股份,601233,服装纺织,117.57,-1.25%,2.15%,14.1,1.15%,98,2.20%,12.51,1.44,12.70%,112.71,4.30%,4.8天,5.51年,3.51年,14.80%,16.70%,38,-0.71%,-1.14%,-0.80%,-3.41%,-3.59%,90.34,92.29,30.58,122.88,-4.30%,48%,14%,16%,0.78,1.43,0.18,AA+,3.80%,29
66,特发转债,127008,2018-12-25,特发信息,70,通信互联网,217.351,0.72%,-0.27%,13.18,0.46%,"1,287",141%,5.61,1.55,135%,234.94,-7.50%,3.8天,4.50年,2.50年,4.20%,10.00%,4.2,-12.90%,-13.20%,-13.00%,-16.20%,-16.30%,93.25,95.57,142.66,238.23,-8.80%,61%,<2%,17%,0.99,2.98,-0.75,AA,3.50%,50
67,科森转债!,113521,2018-12-07,科森科技,603626,通信互联网,103.81,-3.05%,-0.37%,8.51,-5.44%,23,3.50%,8.95,2.09,-4.90%,95.08,9.20%,3.8天,5.50年,3.50年,17.20%,16.40%,6.1,2.03%,1.51%,1.93%,0.06%,-0.16%,88.93,91.65,19.77,111.42,-6.80%,64%,8%,18%,0.63,1.51,-0.16,AA,4.40%,60
68,张行转债,128048,2018-11-29,张家港行,2839,金融,112.41,-1.18%,-1.70%,6.12,-4.38%,28,1.00%,6.06,1.12,1.00%,100.99,11.30%,转股中,5.49年,无权,22.60%,22.80%,25,0.31%,-0.16%,0.22%,无权,无权,无权,92.49,23.25,115.75,-2.90%,55%,12%,18%,0.66,0.91,0.43,AA+,4.00%,27
