,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,一心转债,128067,2019-05-17,一心堂,2727,医药,112.91,0.14%,1.25%,28.7,1.92%,24,3.60%,27.28,4.02,5.20%,105.21,7.30%,4月25天,5.88年,3.88年,3.70%,3.90%,6,0.04%,-0.36%,-0.04%,-2.10%,-2.27%,85.26,85.4,31.42,116.83,-3.40%,37%,14%,16%,0.73,1.11,0.37,AA,5.00%,20
2,亚泰转债!,128066,2019-05-14,亚泰国际,2811,建筑,98.4,0.09%,-0.48%,14.85,-0.74%,1.9,0.40%,17.49,1.89,-15.10%,84.91,15.90%,4月23天,5.88年,3.88年,18.00%,15.20%,4.8,3.21%,2.64%,3.09%,1.48%,1.26%,82.67,84.42,19.15,103.57,-5.00%,49%,10%,16%,0.54,0.87,0.24,AA-,6.00%,22
3,永鼎转债!,110058,2019-05-08,永鼎股份,600105,通信互联网,96.17,-0.03%,1.30%,5.12,3.02%,11,1.10%,6.5,2.35,-21.20%,78.77,22.10%,4月22天,5.87年,3.87年,15.30%,12.00%,9.8,3.20%,2.71%,3.10%,1.93%,1.74%,85.39,87.04,13.31,100.34,-4.20%,58%,14%,17%,0.42,0.92,-0.04,AA,5.00%,37
4,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.453,-0.19%,-0.83%,7.06,-2.35%,43,5.70%,8.98,2.6,-21.40%,78.62,21.40%,4月22天,5.87年,3.87年,11.80%,9.30%,8,2.70%,2.33%,2.63%,2.12%,1.93%,85.39,84.03,13.79,97.83,-2.40%,50%,13%,16%,0.43,0.61,0.28,AA,5.00%,29
5,创维转债!,127013,2019-05-16,创维数字,810,电子,99.222,0.01%,-0.19%,9.38,-0.42%,7.5,0.70%,11.56,3.2,-18.90%,81.14,22.30%,4月19天,5.87年,3.87年,10.30%,8.40%,10.4,3.10%,2.53%,2.98%,1.13%,0.95%,85.4,89.3,12.92,102.22,-2.90%,47%,13%,16%,0.42,0.67,0.19,AA,5.00%,40
6,核能转债,113026,2019-05-08,中国核电,601985,能源电力,103.55,0.02%,-0.20%,5.52,-0.36%,53,0.70%,6.32,1.8,-12.70%,87.34,18.60%,4月19天,5.87年,3.87年,9.10%,7.90%,78,1.05%,0.73%,0.99%,-0.01%,-0.18%,88.45,87.72,15.17,102.89,0.60%,18%,16%,15%,0.51,0.29,0.73,AAA,4.00%,52
7,明泰转债!,113025,2019-05-07,明泰铝业,601677,有色金属,98.24,-0.14%,0.95%,10.17,1.50%,24,1.30%,11.49,0.99,-11.50%,88.51,11.00%,4月16天,5.86年,3.86年,30.70%,27.10%,18.4,2.86%,2.36%,2.76%,1.40%,1.21%,85.49,87.26,18.34,105.61,-7.00%,31%,9%,16%,0.54,1.69,-0.48,AA,5.00%,51
8,鼎胜转债!,113534,2019-04-30,鼎胜新材,603876,有色金属,96.55,0.29%,1.48%,17.45,3.68%,19,1.60%,20.8,2.18,-16.10%,83.89,15.10%,4月15天,5.86年,3.86年,16.70%,14.00%,12.5,3.14%,2.64%,3.04%,1.83%,1.64%,85.47,87.12,15.53,102.64,-5.90%,60%,11%,16%,0.48,1.34,-0.29,AA,5.00%,44
9,核建转债,113024,2019-04-26,中国核建,601611,建筑,101.69,-0.26%,0.51%,7.72,0.65%,4.4,0.10%,9.93,2.27,-22.30%,77.74,30.80%,4月14天,5.85年,3.85年,14.80%,11.50%,30,1.36%,1.03%,1.29%,0.42%,0.25%,88.42,87.69,10.55,98.24,3.50%,43%,23%,16%,0.38,-0.38,1.14,AAA,4.00%,54
10,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,98.11,-0.41%,-0.61%,5.22,-2.06%,6.2,0.80%,6.15,1.05,-15.10%,84.88,15.60%,4月14天,5.85年,3.85年,21.30%,18.10%,8,2.85%,2.36%,2.75%,1.43%,1.24%,85.48,87.13,16.11,103.23,-5.00%,35%,10%,16%,0.49,1.14,-0.1,AA,5.00%,44
11,未来转债,128063,2019-04-24,德尔未来,2631,其他,106.25,-0.70%,0.77%,9.28,0.11%,12,1.80%,8.68,3.68,6.90%,106.91,-0.60%,4月11天,5.84年,4.84年,10.20%,10.90%,6.3,3.42%,2.59%,3.26%,0.59%,0.24%,82.2,92.39,31.62,124.01,-14.30%,52%,<2%,16%,0.68,3.45,-1.63,AA-,6.00%,68
12,参林转债,113533,2019-04-24,大参林,603233,医药,119.54,1.39%,2.26%,45.88,4.27%,25,2.10%,36.5,5.69,25.70%,125.7,-4.90%,4月10天,5.84年,3.84年,4.20%,5.30%,10,-0.94%,-1.35%,-1.03%,-3.52%,-3.68%,85.44,85.59,48.43,134.01,-10.80%,46%,<2%,16%,0.85,3.15,-1.11,AA,5.00%,53
13,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101,0.20%,0.21%,6.99,0.72%,2.3,0.50%,7.8,2.03,-10.40%,89.62,12.70%,4月9天,5.84年,3.84年,14.60%,13.10%,4.6,2.03%,1.60%,1.94%,0.69%,0.50%,85.55,85.69,20.67,106.36,-5.00%,50%,12%,17%,0.57,1.25,-0.04,AA,5.00%,30
14,亚药转债,128062,2019-04-24,亚太药业,2370,医药,100.582,-2.03%,0.14%,15.21,-3.43%,44,4.40%,16.3,3.18,-6.70%,93.31,7.80%,4月8天,5.84年,3.84年,11.80%,11.00%,9.7,3.14%,2.52%,3.01%,0.75%,0.57%,85.36,90.77,19.64,110.41,-8.90%,59%,6%,16%,0.55,2.15,-0.85,AA,5.00%,76
15,现代转债,110057,2019-04-30,现代制药,600420,医药,105.85,-0.06%,-0.18%,9.05,-0.44%,8,0.50%,10.09,1.37,-10.30%,89.69,18.00%,4月8天,5.83年,3.83年,16.90%,15.20%,16.2,0.83%,0.48%,0.76%,-0.56%,-0.73%,88.58,88.65,16.94,105.58,0.30%,48%,17%,16%,0.53,0.37,0.71,AAA,4.00%,38
16,百姓转债,113531,2019-04-22,老百姓,603883,医药,110.04,-0.07%,-0.65%,56.92,-1.27%,1.3,0.40%,60.59,5.02,-6.10%,93.94,17.10%,4月7天,4.83年,2.83年,2.00%,1.90%,3.3,0.48%,0.01%,0.39%,-2.61%,-2.72%,87.92,89.17,18.28,107.45,2.40%,36%,19%,16%,0.57,-0.23,1.38,AA,5.00%,24
17,精测转债,123025,2019-04-19,精测电子,300567,电子,106.498,0.09%,0.57%,43.57,1.21%,1.9,0.50%,50.25,5.76,-13.30%,86.71,22.80%,4月8天,5.83年,3.83年,3.50%,3.00%,3.8,1.78%,1.23%,1.67%,-0.57%,-0.77%,82.75,84.5,20.84,105.34,1.10%,72%,20%,17%,0.55,-0.34,1.44,AA-,6.00%,26
18,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,108.6,-0.46%,-0.77%,24.32,-2.56%,10,0.90%,28.33,6.15,-14.20%,85.85,26.50%,4月8天,5.82年,3.82年,4.80%,4.10%,10.5,1.51%,0.95%,1.40%,-1.14%,-1.32%,85.62,89.53,15.64,105.17,3.30%,42%,20%,16%,0.48,-0.56,1.53,AA,5.00%,37
19,大丰转债!,113530,2019-04-18,大丰实业,603081,建筑,98.1,0.03%,0.02%,12.44,0.16%,2,0.30%,16.88,2.82,-26.30%,73.7,33.10%,4月2天,5.82年,3.82年,12.60%,9.30%,6.3,3.89%,3.21%,3.76%,1.47%,1.27%,85.72,92.34,8.26,100.6,-2.50%,54%,14%,16%,0.29,0.5,0.1,AA,5.00%,28
20,中装转债!,128060,2019-04-15,中装建设,2822,建筑,101.036,0.44%,-0.11%,6.12,0.49%,11,2.20%,6.24,1.67,-1.90%,98.08,3.00%,4月8天,5.82年,3.82年,14.30%,14.00%,5.3,2.03%,1.60%,1.94%,0.69%,0.50%,85.63,85.77,26.51,112.28,-10.00%,67%,<2%,17%,0.65,2.57,-1.01,AA,5.00%,67
21,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,100.822,0.03%,0.42%,8.18,0.86%,35,0.70%,9.34,1.08,-12.40%,87.58,15.10%,4月0天,5.81年,3.81年,9.90%,8.70%,50,1.25%,0.98%,1.20%,0.31%,0.20%,87.39,86.45,15.16,101.61,-0.80%,37%,16%,15%,0.52,0.59,0.46,AAA,4.00%,77
22,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,97.8,-0.11%,-0.24%,20.36,-0.68%,0.3,0.10%,24.9,3.16,-18.20%,81.77,19.60%,3月27天,4.80年,2.80年,12.50%,10.20%,2.1,3.17%,2.64%,3.06%,1.48%,1.34%,82.5,80.47,19.02,99.5,-1.70%,66%,16%,18%,0.51,0.04,0.97,A+,7.50%,21
23,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,99.479,0.15%,-0.07%,6.26,0.16%,1.3,0.20%,7.19,1.63,-12.90%,87.07,14.30%,3月27天,5.80年,4.80年,26.40%,23.00%,6,2.63%,2.13%,2.53%,1.23%,1.01%,83.2,87.35,18.87,106.22,-6.30%,40%,11%,18%,0.52,1.51,-0.38,AA,5.00%,38
24,亨通转债!,110056,2019-04-16,亨通光电,600487,通信互联网,96.3,0.15%,0.71%,15.85,2.39%,14,0.90%,21.79,2.34,-27.30%,72.74,32.40%,3月25天,5.80年,3.80年,5.70%,4.20%,17.3,3.18%,2.69%,3.08%,1.88%,1.69%,83.94,84.85,10.5,95.35,1.00%,46%,20%,16%,0.36,-0.31,1.03,AA+,5.50%,53
25,通威转债,110054,2019-04-10,通威股份,600438,农业,127.69,0.99%,-0.18%,15.4,0.98%,79,1.20%,12.28,3.93,25.40%,125.41,1.80%,3月22天,5.80年,3.80年,8.40%,10.50%,50,-1.73%,-2.20%,-1.83%,-5.08%,-5.26%,87.62,90.05,44.49,134.55,-5.10%,61%,<2%,16%,0.82,1.8,-0.06,AA+,4.50%,16
26,长信转债!,123022,2019-04-10,长信科技,300088,通信互联网,103.8,0.29%,-0.46%,4.95,-0.40%,7.3,0.60%,6.25,2.18,-20.80%,79.2,31.10%,3月23天,5.80年,3.80年,10.80%,8.60%,12.3,1.86%,1.38%,1.77%,0.00%,-0.19%,85.72,87.37,12.47,99.84,4.00%,79%,22%,16%,0.42,-0.69,1.55,AA,5.00%,18
27,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,111.27,-0.04%,-0.14%,17.43,-0.29%,7.5,0.80%,17.6,2.92,-1.00%,99.03,12.40%,3月23天,5.79年,3.79年,11.40%,11.30%,8.8,0.66%,0.18%,0.56%,-1.71%,-1.90%,85.95,87.6,25.39,112.98,-1.50%,42%,15%,16%,0.65,0.63,0.68,AA,5.00%,26
28,苏银转债,110053,2019-04-03,江苏银行,600919,金融,105.54,0.11%,-0.25%,7.26,-0.27%,76,0.40%,7.9,0.8,-8.10%,91.9,14.80%,3月20天,5.78年,无权,23.90%,21.90%,200,2.20%,1.59%,2.08%,无权,无权,无权,95.63,18.04,113.67,-7.20%,25%,9%,18%,0.5,1.94,-0.78,AAA,4.00%,66
29,浙商转债!,113022,2019-03-28,浙商证券,601878,金融,103.9,-1.09%,1.05%,8.84,-0.11%,12,0.30%,12.53,2.12,-29.40%,70.55,47.30%,3月19天,5.78年,无权,11.90%,8.40%,35,1.01%,0.68%,0.94%,无权,无权,无权,88.04,8.16,96.2,8.00%,50%,33%,18%,0.3,-1.28,1.95,AAA,4.00%,34
