,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
16,百姓转债,113531,2019-04-22,老百姓,603883,医药,111.04,-0.41%,0.42%,60.56,0.02%,2,0.50%,60.59,5.34,0.00%,99.95,11.10%,4月12天,4.84年,2.84年,1.90%,1.90%,3.3,0.29%,-0.18%,0.20%,-2.90%,-3.00%,87.86,89.11,22.33,111.44,-0.40%,36%,17%,16%,0.64,0.43,0.85,AA,5.00%,24
17,精测转债,123025,2019-04-19,精测电子,300567,电子,107.623,0.21%,3.86%,65.83,7.44%,3.1,0.80%,75.88,8.71,-13.20%,86.76,24.10%,4月13天,5.84年,3.84年,3.50%,3.00%,3.8,1.59%,1.04%,1.48%,-0.83%,-1.03%,82.69,84.43,20.93,105.36,2.10%,72%,26%,17%,0.55,-0.54,1.65,AA-,6.00%,27
18,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,108.65,0.21%,1.80%,24.76,4.08%,4.3,0.40%,28.33,6.26,-12.60%,87.4,24.30%,4月13天,5.83年,3.83年,4.70%,4.10%,10.5,1.50%,0.94%,1.38%,-1.15%,-1.33%,85.56,89.47,16.61,106.07,2.40%,42%,23%,16%,0.49,-0.38,1.37,AA,5.00%,37
19,大丰转债!,113530,2019-04-18,大丰实业,603081,建筑,97.78,0.16%,0.67%,12.4,2.90%,2.7,0.40%,16.88,2.81,-26.50%,73.46,33.10%,4月7天,5.83年,3.83年,12.60%,9.30%,6.3,3.94%,3.26%,3.81%,1.55%,1.35%,85.66,92.28,8.2,100.47,-2.70%,54%,14%,16%,0.29,0.54,0.06,AA,5.00%,28
20,中装转债!,128060,2019-04-15,中装建设,2822,建筑,99.111,0.48%,1.06%,5.49,2.81%,3,0.60%,6.24,1.49,-12.00%,87.98,12.70%,4月13天,5.83年,3.83年,15.90%,14.00%,5.3,2.37%,1.93%,2.28%,1.17%,0.98%,85.57,85.72,19.51,105.23,-5.80%,67%,12%,17%,0.55,1.42,-0.23,AA,5.00%,62
21,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,101.001,0.00%,0.68%,7.99,1.40%,41,0.80%,9.34,1.06,-14.50%,85.55,18.10%,4月5天,5.82年,3.82年,10.10%,8.70%,50,1.22%,0.95%,1.16%,0.26%,0.16%,87.34,86.4,13.89,100.3,0.70%,37%,17%,15%,0.49,0.29,0.69,AAA,4.00%,79
22,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,98.55,0.15%,1.34%,19.93,3.10%,0.2,0.10%,24.9,3.09,-20.00%,80.04,23.10%,4月2天,4.82年,2.82年,12.80%,10.20%,2.1,2.99%,2.47%,2.89%,1.22%,1.07%,82.42,80.39,17.86,98.26,0.30%,67%,22%,18%,0.48,-0.35,1.32,A+,7.50%,21
23,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,99.399,0.05%,1.99%,6.22,4.01%,8.8,1.50%,7.19,1.62,-13.50%,86.51,14.90%,4月2天,5.81年,4.81年,26.60%,23.00%,6,2.63%,2.14%,2.54%,1.25%,1.02%,83.15,87.29,18.53,105.82,-6.10%,40%,13%,18%,0.51,1.45,-0.33,AA,5.00%,36
24,亨通转债!,110056,2019-04-16,亨通光电,600487,通信互联网,97.16,0.19%,0.75%,15.9,2.58%,18,1.10%,21.79,2.35,-27.00%,72.97,33.20%,4月0天,5.81年,3.81年,5.70%,4.20%,17.3,3.01%,2.52%,2.91%,1.64%,1.46%,83.88,84.79,10.67,95.46,1.80%,46%,21%,16%,0.36,-0.46,1.19,AA+,5.50%,55
25,通威转债,110054,2019-04-10,通威股份,600438,农业,128.52,3.15%,2.14%,15.46,6.40%,87,1.40%,12.28,3.94,25.90%,125.9,2.10%,3月27天,5.81年,3.81年,8.30%,10.50%,50,-1.84%,-2.30%,-1.93%,-5.22%,-5.40%,87.57,90,44.98,134.98,-4.80%,61%,14%,16%,0.83,1.73,0.01,AA+,4.50%,15
26,长信转债!,123022,2019-04-10,长信科技,300088,通信互联网,104.03,0.42%,1.01%,5.02,3.29%,10,0.80%,6.25,2.21,-19.70%,80.32,29.50%,3月28天,5.81年,3.81年,10.70%,8.60%,12.3,1.82%,1.34%,1.72%,-0.06%,-0.24%,85.67,87.31,13.2,100.51,3.50%,79%,23%,16%,0.43,-0.61,1.49,AA,5.00%,19
