,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
61,旭升转债!,113522,2018-12-11,旭升股份,603305,汽车,101.35,0.34%,0.44%,22.14,2.64%,1.1,0.30%,29.6,6.13,-25.20%,74.8,35.50%,0.3天,5.49年,3.49年,4.70%,3.50%,4.2,3.23%,2.57%,3.10%,0.66%,0.46%,87,92.5,8.12,100.62,0.70%,63%,19%,16%,0.29,-0.12,0.71,AA,5.00%,27
62,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,107.92,0.56%,0.18%,3.44,1.18%,11,0.40%,3.34,1.19,3.00%,102.99,4.80%,转股中,5.49年,3.49年,14.60%,15.00%,23,1.75%,1.15%,1.63%,-1.06%,-1.26%,88.56,93.51,23.84,117.36,-8.00%,30%,6%,16%,0.63,2.21,-0.76,AA+,4.50%,63
63,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,101.177,0.42%,0.99%,63.21,3.25%,1.8,0.40%,81.49,7.19,-22.40%,77.57,30.40%,转股中,5.48年,3.48年,3.60%,2.80%,4.4,1.75%,1.37%,1.68%,0.66%,0.46%,83.91,81.21,14.97,96.18,5.20%,76%,26%,16%,0.43,-1.03,1.95,AA-,6.00%,38
64,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,117.69,1.02%,1.15%,12.47,2.89%,18,0.40%,10.89,3.14,14.50%,114.51,2.80%,转股中,5.48年,3.48年,10.30%,11.80%,36.5,-0.33%,-0.84%,-0.43%,-3.34%,-3.55%,88.83,91.29,34.17,125.46,-6.20%,60%,8%,16%,0.75,1.93,-0.3,AA+,4.50%,33
65,桐昆转债!,113020,2018-12-12,桐昆股份,601233,服装纺织,116.35,0.47%,1.17%,13.9,2.21%,45,1.00%,12.51,1.6,11.10%,111.11,4.70%,转股中,5.48年,3.48年,15.00%,16.70%,38,-0.52%,-0.95%,-0.61%,-3.16%,-3.34%,88.36,89.25,32.46,121.71,-4.40%,48%,12%,16%,0.74,1.52,0.04,AA+,4.50%,26
66,特发转债,127008,2018-12-25,特发信息,70,通信互联网,222.83,6.14%,0.37%,12.56,6.62%,"1,031",241%,5.61,3.47,124%,223.89,-0.50%,转股中,4.47年,2.47年,2.10%,4.60%,2,-13.40%,-13.70%,-13.50%,-16.80%,-16.90%,89.96,89.92,137.3,227.22,-1.90%,63%,<2%,17%,0.98,1.38,0.61,AA,5.00%,43
67,科森转债!,113521,2018-12-07,科森科技,603626,通信互联网,101.24,-0.09%,0.69%,8.05,1.13%,4.5,0.70%,8.95,1.88,-10.10%,89.94,12.60%,转股中,5.47年,3.47年,18.30%,16.50%,6.1,2.52%,1.99%,2.42%,0.76%,0.54%,87.29,89.1,19.67,108.78,-6.90%,63%,11%,18%,0.53,1.67,-0.48,AA,5.00%,58
68,张行转债,128048,2018-11-29,张家港行,2839,金融,105.6,-2.77%,3.47%,5.78,1.23%,87,3.30%,6.06,1.07,-4.60%,95.38,10.70%,转股中,5.46年,无权,23.90%,22.80%,25,1.49%,1.01%,1.39%,无权,无权,无权,90.31,21.76,112.06,-5.80%,55%,16%,18%,0.57,1.61,-0.36,AA+,4.50%,28
69,百合转债,113520,2018-11-26,梦百合,603313,其他,121.37,-1.80%,0.18%,22.85,-1.93%,10,1.90%,18.96,3.08,20.50%,120.52,0.70%,转股中,5.45年,3.45年,7.90%,9.60%,4.4,-0.89%,-1.40%,-0.99%,-4.22%,-4.41%,84.48,84.81,45.36,130.17,-6.80%,42%,<2%,16%,0.84,1.97,-0.17,AA-,6.00%,17
70,洲明转债,123016,2018-12-03,洲明科技,300232,电子,120.235,2.37%,0.00%,11.1,2.87%,9.1,1.40%,9.45,3.68,17.50%,117.46,2.40%,转股中,5.45年,3.45年,6.50%,7.60%,5.5,-0.70%,-1.21%,-0.80%,-3.90%,-4.12%,84.73,84.93,42.79,127.73,-5.90%,69%,<2%,16%,0.82,1.7,0.03,AA-,6.00%,20
71,长久转债,113519,2018-11-30,XD长久物,603569,交通运输,106.68,0.16%,1.31%,11.53,2.58%,2.2,0.30%,11.85,2.61,-2.70%,97.3,9.60%,转股中,5.45年,3.45年,10.80%,10.50%,7,2.32%,1.65%,2.19%,-0.68%,-0.90%,87.46,92.97,21.8,114.77,-7.00%,52%,10%,17%,0.57,1.73,-0.46,AA,5.00%,15
72,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,117.05,-0.26%,2.02%,33.38,2.39%,5,0.30%,30.87,4.35,8.10%,108.13,8.20%,转股中,5.44年,3.44年,3.80%,4.10%,13,-1.15%,-1.49%,-1.22%,-3.38%,-3.55%,88.41,86.95,31.51,118.46,-1.20%,38%,18%,16%,0.74,0.82,0.67,AA+,4.50%,8
73,利尔转债!,128046,2018-11-09,利尔化学,2258,石油天然气化工,102.6,-0.11%,0.59%,13.57,1.50%,1.9,0.20%,18.62,2.43,-27.10%,72.88,40.80%,转股中,5.39年,3.39年,12.00%,8.70%,8.5,1.89%,1.43%,1.80%,0.33%,0.12%,87.42,87.57,8.65,96.22,6.60%,40%,28%,16%,0.32,-1.21,1.91,AA,5.00%,12
74,顾家转债,113518,2018-10-09,顾家家居,603816,其他,105.61,0.37%,-0.20%,43.37,0.39%,3.1,0.30%,52.2,3.96,-16.90%,83.08,27.10%,转股中,5.29年,3.29年,5.90%,4.90%,11,1.71%,1.18%,1.60%,-0.50%,-0.72%,87.83,89.52,13.23,102.76,2.80%,39%,21%,16%,0.44,-0.44,1.33,AA,5.00%,13
75,机电转债,128045,2018-09-14,中航机电,2013,航空航天,112.3,0.26%,0.86%,7.19,1.99%,4.1,0.20%,7.66,2.87,-6.10%,93.86,19.60%,转股中,5.25年,3.25年,8.10%,7.60%,21,-0.40%,-0.75%,-0.47%,-2.38%,-2.57%,90.62,89.87,18.33,108.21,3.80%,54%,23%,16%,0.56,-0.24,1.37,AAA,4.00%,14
76,岭南转债!,128044,2018-09-04,岭南股份,2717,城市公用设施,100.03,0.23%,2.06%,7.7,4.62%,0.8,0.10%,8.96,1.78,-14.10%,85.94,16.40%,转股中,5.21年,3.21年,8.40%,7.20%,6.6,2.25%,1.81%,2.16%,1.05%,0.84%,87.98,87.35,15.59,102.94,-2.80%,65%,16%,16%,0.5,0.8,0.22,AA,5.00%,35
77,蓝盾转债!!,123015,2018-09-13,蓝盾股份,300297,计算机及应用,114.2,2.55%,2.52%,6.5,5.18%,5.6,4.90%,5.82,1.69,11.70%,111.68,2.30%,转股中,5.21年,3.21年,1.20%,1.40%,1,-0.15%,-0.62%,-0.25%,-2.81%,-3.02%,88.19,88.33,23.36,111.7,2.20%,38%,56%,16%,0.98,0.54,1.41,AA,5.00%,27
78,曙光转债!,113517,2018-08-23,中科曙光,603019,计算机及应用,123.01,1.12%,2.81%,40.48,5.20%,29,2.10%,36.53,7.03,10.80%,110.81,11.00%,转股中,5.19年,3.19年,3.10%,3.40%,11.2,-1.60%,-2.05%,-1.69%,-4.98%,-5.18%,88.27,88.42,33.11,121.52,1.20%,53%,23%,16%,0.76,0.25,1.25,AA,5.00%,7
79,东音转债!!,128043,2018-08-27,东音股份,2793,机械装备制造,142.5,2.00%,-0.30%,15.53,1.70%,72,24.80%,11.13,3.84,39.50%,139.53,2.10%,转股中,5.18年,3.18年,6.60%,9.20%,2.1,-4.05%,-4.54%,-4.15%,-9.10%,-9.29%,85.62,85.95,53.58,139.53,2.10%,68%,81%,17%,1,0.56,1.43,AA-,6.00%,31
80,苏农转债,113516,2018-08-20,苏农银行,603323,金融,107.07,-1.89%,2.54%,6.15,1.15%,22,1.60%,6.34,0.91,-3.00%,97,10.40%,转股中,5.18年,无权,12.80%,12.40%,12.9,1.52%,0.97%,1.41%,无权,无权,无权,92.51,21.45,113.95,-6.00%,48%,14%,18%,0.57,1.69,-0.43,AA+,4.50%,29
81,凯发转债!,123014,2018-08-21,凯发电气,300407,能源电力,103.1,0.68%,0.75%,7.61,2.28%,1.5,0.50%,8.15,2.13,-6.60%,93.37,10.40%,转股中,4.17年,2.17年,14.70%,13.80%,3.2,1.48%,1.04%,1.39%,-0.36%,-0.55%,86.48,81.41,25.27,106.67,-3.30%,64%,15%,18%,0.63,0.7,0.57,A+,7.50%,17
82,凯中转债!,128042,2018-09-03,凯中精密,2823,能源电力,98.1,0.20%,0.82%,10.02,3.19%,2,0.50%,13.25,2.37,-24.40%,75.62,29.70%,转股中,5.17年,3.17年,14.30%,10.80%,4.2,3.59%,2.97%,3.46%,1.72%,1.49%,88.35,91.61,9.16,100.77,-2.60%,66%,15%,17%,0.32,0.56,0.11,AA,5.00%,48
83,横河转债!,123013,2018-08-20,横河模具,300539,机械装备制造,107.545,1.27%,0.26%,9.32,2.08%,0.5,1.30%,9.26,4.27,0.60%,100.65,6.90%,转股中,5年59天,3年59天,1.90%,1.90%,0.4,1.60%,1.02%,1.48%,-0.82%,-1.09%,82.56,81.01,34.07,115.08,-6.60%,76%,8%,17%,0.74,1.34,0.19,A+,7.50%,29
84,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,111.83,0.02%,1.98%,9.8,2.83%,2.4,0.30%,9.33,2.52,5.00%,105.04,6.50%,转股中,5年59天,3年59天,11.30%,11.90%,7.5,0.26%,-0.21%,0.16%,-2.24%,-2.45%,88.4,88.55,28.44,116.99,-4.40%,67%,14%,16%,0.71,1.36,0.11,AA,5.00%,29
85,万顺转债,123012,2018-08-29,万顺新材,300057,造纸包装印刷,110.342,1.01%,0.86%,5.77,2.49%,1.7,0.90%,5.36,0.97,7.60%,107.65,2.50%,转股中,5年53天,3年53天,4.40%,4.80%,1.7,0.17%,-0.23%,0.09%,-1.85%,-2.06%,85.77,83.01,36.5,119.52,-7.70%,41%,<2%,18%,0.75,2.03,-0.39,AA-,6.00%,22
86,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,100.82,0.11%,1.61%,5.5,2.80%,1.3,0.60%,5.92,3.29,-7.10%,92.91,8.50%,转股中,4年53天,2年53天,10.10%,9.40%,2,2.50%,1.97%,2.39%,0.61%,0.42%,86.6,83,24,107,-5.80%,70%,13%,18%,0.61,1.16,0.11,A+,7.50%,50
87,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,98.076,0.13%,0.64%,29.07,1.64%,2.6,0.50%,34.96,1.66,-16.80%,83.15,17.90%,转股中,5年51天,2.64年,18.20%,15.10%,5.6,3.68%,3.04%,3.55%,1.88%,1.65%,87.85,87.77,15.86,103.63,-5.40%,41%,12%,17%,0.47,1.01,-0.03,AA-,6.00%,47
88,盛路转债!!,128041,2018-08-14,盛路通信,2446,通信互联网,143.5,3.35%,-1.49%,9.88,1.86%,18,13.70%,6.88,2.47,43.60%,143.6,-0.10%,转股中,5年50天,3年50天,1.00%,1.50%,0.9,-4.22%,-4.72%,-4.32%,-9.38%,-9.57%,88.7,90.4,53.2,143.6,-0.10%,53%,<2%,16%,1,1.02,0.99,AA,5.00%,13
89,海澜转债!,110045,2018-07-31,海澜之家,600398,服装纺织,101.8,0.12%,0.19%,8.54,1.18%,6.3,0.20%,12.02,2.84,-29.00%,71.05,43.30%,转股中,5年46天,3年46天,7.80%,5.60%,30,1.89%,1.45%,1.80%,0.30%,0.14%,89.05,89.62,6.1,95.72,6.40%,30%,28%,16%,0.26,-1.08,1.64,AA+,4.50%,37
90,安井转债,113513,2018-07-31,安井食品,603345,食品饮料,130.13,1.58%,0.42%,46.58,2.24%,36,10.20%,35.46,5.05,31.40%,131.36,-0.90%,转股中,5年45天,3年45天,2.70%,3.60%,2.7,-2.75%,-3.19%,-2.84%,-6.75%,-6.94%,85.68,84.41,54.38,138.79,-6.20%,50%,<2%,16%,0.89,2.03,-0.13,AA-,6.00%,20
91,博世转债!,123010,2018-08-14,博世科,300422,城市公用设施,100.816,0.31%,0.59%,10.21,1.90%,3.4,0.80%,12.45,2.47,-18.00%,82.01,22.90%,转股中,5年38天,3年38天,11.80%,9.70%,4.3,2.36%,1.87%,2.26%,0.91%,0.68%,85.97,84.7,16.22,100.92,-0.10%,68%,19%,17%,0.48,-0.02,0.97,AA-,6.00%,49
92,湖广转债!,127007,2018-08-01,湖北广电,665,传媒娱乐,109.235,0.12%,1.93%,8.14,3.17%,4.4,0.30%,7.92,0.86,2.80%,102.78,6.30%,转股中,5年31天,3年31天,23.90%,24.60%,13.3,0.79%,0.30%,0.69%,-1.49%,-1.73%,90.39,91.3,25.33,116.63,-6.30%,32%,11%,17%,0.65,1.82,-0.4,AA+,4.50%,34
93,广电转债!,110044,2018-07-24,广电网络,600831,传媒娱乐,165.03,2.62%,1.28%,10.22,4.29%,191,141%,6.91,1.92,47.90%,147.9,11.60%,转股中,5年30天,3年30天,1.20%,1.70%,0.8,-7.26%,-7.67%,-7.34%,-13.10%,-13.30%,88.74,88.89,65.82,154.71,6.70%,43%,36%,17%,0.91,-0.49,2.34,AA,5.00%,12
94,千禾转债!,113511,2018-07-10,千禾味业,603027,食品饮料,105.65,-0.09%,0.05%,16.87,-0.06%,6.1,1.60%,18.31,4.27,-7.90%,92.14,14.70%,转股中,5年23天,3年23天,4.60%,4.30%,3.6,1.38%,0.90%,1.28%,-0.61%,-0.83%,85.99,84.71,22.12,106.83,-1.10%,61%,16%,16%,0.61,0.29,0.93,AA-,6.00%,37
95,再升转债!,113510,2018-07-13,再升科技,603601,城市公用设施,102.88,0.86%,1.63%,7.44,5.68%,6.7,5.70%,8.59,2.97,-13.40%,86.61,18.80%,转股中,5年22天,1年22天,2.20%,1.90%,1.1,1.97%,1.47%,1.87%,-1.36%,-1.55%,94.2,84.91,19.14,104.06,-1.10%,67%,19%,17%,0.44,0.42,0.47,AA-,6.00%,36
96,华通转债!,128040,2018-07-13,华通医药,2758,医药,103.601,0.37%,1.38%,9.86,3.35%,7.1,3.10%,11.45,3.42,-13.90%,86.11,20.30%,转股中,5年17天,3年17天,10.70%,9.20%,2.2,1.83%,1.33%,1.73%,0.06%,-0.17%,86.26,84.98,19.25,104.23,-0.60%,77%,20%,18%,0.52,0.16,0.89,AA-,6.00%,60
97,三力转债!,128039,2018-06-29,三 力 士,2224,机械装备制造,114.05,0.88%,2.28%,6.56,3.96%,47,14.50%,5.84,2.34,12.30%,112.33,1.50%,转股中,5年11天,3年11天,6.30%,7.00%,2.8,-0.62%,-1.00%,-0.70%,-3.06%,-3.25%,85.94,82.97,39.15,122.12,-6.60%,39%,10%,17%,0.8,1.86,-0.16,AA-,6.00%,20
98,新泉转债!,113509,2018-06-22,新泉股份,603179,汽车,100,0.00%,0.46%,13.36,1.67%,17,3.80%,18.89,1.96,-29.30%,70.73,41.40%,转股中,5年7天,3年7天,14.80%,10.50%,4.5,2.16%,1.74%,2.08%,1.13%,0.90%,88.82,87.4,8.09,95.5,4.70%,55%,27%,17%,0.28,-0.83,1.4,AA,5.00%,24
99,新凤转债!,113508,2018-05-16,新凤鸣,603225,服装纺织,100.14,0.43%,0.25%,12.42,2.22%,6.8,0.30%,16.83,1.86,-26.20%,73.8,35.70%,转股中,4.92年,2.92年,14.50%,10.70%,21.5,2.50%,2.00%,2.40%,1.02%,0.81%,88.98,89.13,7.82,96.95,3.30%,55%,23%,16%,0.3,-0.58,1.19,AA,5.00%,30
100,天马转债!,113507,2018-05-07,天马科技,603668,农业,157.09,14.70%,-5.37%,11.09,10.00%,73,50.30%,7.37,3.53,50.50%,150.47,4.40%,转股中,4.89年,2.89年,2.80%,4.20%,1,-6.64%,-7.07%,-6.73%,-12.70%,-12.80%,86.69,85.4,71.27,156.66,0.30%,53%,<2%,17%,0.93,0.73,1.12,AA-,6.00%,17
101,金农转债!!,128036,2018-04-02,金新农,2548,农业,134.27,5.41%,-0.43%,12.87,4.98%,215,90.30%,9.62,4.11,33.80%,133.78,0.40%,转股中,4.78年,2.78年,3.30%,4.40%,1.8,-3.99%,-4.38%,-4.07%,-8.54%,-8.73%,87.2,84.39,49.39,133.78,0.40%,41%,<2%,17%,1,0.92,1.07,AA-,6.00%,38
102,利欧转债!!,128038,2018-04-19,利欧股份,2131,传媒娱乐,121.09,1.66%,0.79%,2.09,2.45%,11,5.00%,1.72,1.76,21.50%,121.51,-0.30%,转股中,4.82年,2.82年,1.30%,1.60%,1.9,-1.30%,-1.81%,-1.40%,-5.22%,-5.42%,89.4,90.34,31.17,121.51,-0.30%,80%,60%,16%,1,1.07,0.93,AA,5.00%,43
103,岩土转债!,128037,2018-04-25,中化岩土,2542,建筑,94.908,0.02%,0.40%,4.81,3.44%,12,2.10%,8.03,2.32,-40.10%,59.9,58.40%,转股中,4.80年,2.80年,6.90%,4.10%,6,3.73%,3.22%,3.63%,2.92%,2.69%,89.48,89.63,2.62,92.25,2.90%,53%,25%,16%,0.12,-0.54,0.78,AA,5.00%,71
104,敖东转债!,127006,2018-05-11,吉林敖东,623,金融,100.7,0.20%,0.67%,16.59,2.34%,4.3,0.20%,20.82,0.91,-20.30%,79.68,26.40%,转股中,4.80年,2.80年,12.50%,9.90%,24.1,1.57%,1.23%,1.50%,0.46%,0.32%,89.66,88.01,10.25,98.26,2.50%,31%,22%,16%,0.37,-0.25,0.99,AA+,4.50%,45
105,长证转债!,127005,2018-04-11,长江证券,783,金融,114.769,-0.37%,1.96%,7.26,2.69%,45,0.80%,7.45,1.53,-2.60%,97.45,17.80%,转股中,4.79年,无权,12.50%,12.10%,50,-0.95%,-1.32%,-1.03%,无权,无权,无权,91.21,20.85,112.07,2.40%,33%,25%,18%,0.59,0.02,1.16,AAA,4.00%,33
106,星源转债!,123009,2018-04-10,星源材质,300568,汽车,106.504,0.00%,1.78%,24.71,3.35%,0.9,0.20%,27.49,3.15,-10.10%,89.89,18.50%,转股中,4.78年,2.78年,10.10%,9.10%,4.8,0.75%,0.34%,0.67%,-1.12%,-1.32%,89.36,87.72,17.81,105.53,0.90%,63%,22%,17%,0.53,0.07,0.99,AA,5.00%,13
107,杭电转债!,113505,2018-03-27,杭电股份,603618,能源电力,99.93,-0.48%,1.51%,5.87,2.62%,4.4,0.60%,7.29,1.92,-19.50%,80.52,24.10%,转股中,4.78年,2.78年,19.30%,15.50%,7.8,2.62%,2.11%,2.52%,1.14%,0.92%,89.59,89.74,10.69,100.43,-0.50%,42%,19%,16%,0.39,0.23,0.56,AA,5.00%,42
108,艾华转债!,113504,2018-03-23,艾华集团,603989,电子,103.9,-0.52%,1.36%,18.45,1.82%,0.3,0.00%,21.73,3.69,-15.10%,84.91,22.40%,转股中,4.77年,2.77年,9.60%,8.20%,6.9,1.38%,0.95%,1.30%,-0.20%,-0.42%,89.64,88.21,13.88,102.09,1.80%,40%,22%,16%,0.46,-0.15,1.07,AA,5.00%,13
109,玲珑转债!,113019,2018-03-22,玲珑轮胎,601966,汽车,108.62,0.11%,0.31%,17.2,0.94%,7.7,0.40%,18.84,2.11,-8.70%,91.3,19.00%,转股中,3.76年,1.76年,9.70%,8.80%,20,1.07%,0.44%,0.94%,-3.34%,-3.51%,93.5,95.95,11.34,107.29,1.20%,34%,20%,16%,0.45,0.07,0.83,AA+,4.50%,17
110,大族转债!,128035,2018-03-05,大族激光,2008,电子,104.55,0.05%,0.17%,33.31,2.24%,24,1.00%,52.5,4.46,-36.60%,63.45,64.80%,转股中,4.70年,2.70年,6.50%,4.10%,23,0.78%,0.44%,0.71%,0.08%,-0.24%,92.45,88.39,5.77,94.16,11.00%,40%,39%,16%,0.1,-1.92,2.23,AA+,4.50%,31
111,无锡转债!,110043,2018-03-14,无锡银行,600908,金融,102.79,-0.92%,2.01%,5.82,2.11%,36,1.20%,6.7,1.04,-13.10%,86.87,18.30%,转股中,4.68年,无权,27.90%,24.20%,30,0.55%,0.32%,0.50%,无权,无权,无权,86.07,16.34,102.41,0.40%,46%,23%,18%,0.52,0.24,0.8,AA+,4.50%,59
112,江银转债!,128034,2018-02-14,江阴银行,2807,金融,108.022,-1.44%,2.12%,4.73,1.07%,15,0.80%,4.68,0.81,1.10%,101.07,6.90%,转股中,4.67年,无权,17.10%,17.30%,17.6,0.32%,-0.07%,0.24%,无权,无权,无权,89.53,24.16,113.69,-5.00%,50%,15%,18%,0.64,1.52,-0.16,AA+,4.50%,57
113,道氏转债!,123007,2018-01-26,道氏技术,300409,建筑,107.28,-0.11%,1.09%,13.86,1.69%,0.3,0.10%,15.2,2.75,-8.80%,91.18,17.70%,转股中,4.59年,2.59年,4.80%,4.40%,3,0.96%,0.48%,0.87%,-1.31%,-1.55%,88.29,86.23,19.73,105.95,1.30%,77%,21%,16%,0.58,-0.13,1.29,AA-,6.00%,17
114,迪龙转债!,128033,2018-01-29,雪迪龙,2658,城市公用设施,99.58,0.33%,0.94%,7.56,2.86%,5.6,1.10%,8.93,2.29,-15.30%,84.66,17.60%,转股中,4.58年,2.58年,11.40%,9.60%,5.2,2.30%,1.86%,2.21%,1.26%,1.04%,90.2,88.56,13.86,102.42,-2.80%,38%,16%,17%,0.45,0.8,0.13,AA,5.00%,59
115,吉视转债!,113017,2018-01-15,吉视传媒,601929,传媒娱乐,100.5,-0.30%,1.30%,2.45,2.51%,3.1,0.20%,2.96,1.15,-17.20%,82.77,21.40%,转股中,4.58年,2.58年,20.50%,16.90%,15.6,2.09%,1.66%,2.00%,0.92%,0.70%,91.39,90.48,10.8,101.28,-0.80%,29%,18%,16%,0.4,0.4,0.41,AA+,4.50%,30
116,航电转债,110042,2018-01-15,中航电子,600372,航空航天,116.7,0.00%,1.95%,15.03,2.87%,3.4,0.10%,14.23,3.71,5.60%,105.62,10.50%,转股中,4.58年,2.58年,9.10%,9.60%,24,-1.35%,-1.74%,-1.42%,-4.38%,-4.59%,92.83,92.08,24.44,116.52,0.20%,35%,21%,16%,0.68,0.6,0.76,AAA,4.00%,13
117,蒙电转债!,110041,2018-01-09,内蒙华电,600863,能源电力,111,0.86%,0.18%,2.88,1.77%,7.3,0.40%,2.92,1.46,-1.40%,98.63,12.50%,转股中,4.57年,2.57年,11.20%,11.00%,18.7,-0.02%,-0.46%,-0.11%,-2.58%,-2.81%,92.96,93.04,18.92,111.96,-0.90%,23%,16%,16%,0.59,0.7,0.5,AAA,4.00%,17
118,双环转债!,128032,2018-01-25,双环传动,2472,机械装备制造,96.178,0.19%,0.02%,5.82,2.46%,0.9,0.10%,9.99,1.18,-41.70%,58.26,65.10%,转股中,4.58年,2.58年,25.00%,14.60%,10,3.20%,2.74%,3.11%,2.66%,2.41%,90.45,89.01,3.05,92.06,4.50%,54%,30%,16%,0.08,-0.83,0.99,AA,5.00%,24
119,天康转债!,128030,2018-01-29,天康生物,2100,农业,121,1.33%,3.31%,9.05,6.22%,2.5,0.30%,8.15,2.74,11.00%,111.04,9.00%,转股中,4.57年,2.57年,7.60%,8.40%,6.6,-1.55%,-2.05%,-1.65%,-5.65%,-5.87%,90.48,90.65,30.62,121.27,-0.20%,35%,21%,16%,0.75,0.57,0.93,AA,5.00%,13
120,太阳转债!,128029,2018-01-16,太阳纸业,2078,造纸包装印刷,104.413,-0.46%,0.69%,6.48,1.09%,3.1,0.20%,8.65,1.33,-25.10%,74.91,39.40%,转股中,3.57年,1.57年,7.10%,5.40%,12,1.04%,0.60%,0.95%,-1.64%,-1.80%,94.01,92.7,4.83,97.53,7.10%,38%,32%,16%,0.21,-1.15,1.61,AA+,4.50%,10
121,赣锋转债!,128028,2018-01-19,赣锋锂业,2460,有色金属,98.8,-0.35%,0.55%,23.76,2.77%,7.1,0.80%,42.58,3.94,-44.20%,55.8,77.10%,转股中,4.57年,2.57年,3.00%,1.70%,9.3,2.38%,1.96%,2.29%,1.38%,1.19%,89.83,88.18,3.1,91.28,8.20%,70%,41%,17%,0.07,-1.49,1.68,AA,5.00%,17
122,铁汉转债!,123004,2018-01-26,铁汉生态,300197,城市公用设施,100.849,-0.15%,1.15%,3.46,2.06%,0.5,0.10%,3.99,1.28,-13.30%,86.72,16.30%,转股中,4.56年,2.56年,5.90%,5.10%,4.8,2.02%,1.59%,1.93%,0.80%,0.58%,90.31,88.67,13.54,102.21,-1.30%,68%,16%,15%,0.48,0.51,0.47,AA,5.00%,47
123,崇达转债,128027,2018-01-22,崇达技术,2815,电子,110.79,1.36%,0.54%,14.71,2.94%,7.8,0.90%,14.75,4.25,-0.30%,99.73,11.10%,转股中,4.55年,2.55年,6.20%,6.20%,7.6,0.00%,-0.44%,-0.09%,-2.56%,-2.79%,90.57,89.13,22.92,112.05,-1.10%,62%,17%,16%,0.65,0.62,0.68,AA,5.00%,10
124,泰晶转债!,113503,2018-01-02,XD泰晶科,603738,电子,100.14,0.62%,0.31%,14.15,2.61%,9.6,4.40%,17.9,3.79,-20.90%,79.05,26.70%,转股中,4.55年,2.55年,9.60%,7.60%,2.2,2.72%,2.19%,2.62%,1.20%,0.95%,90.67,90.83,9.3,100.13,0.00%,64%,18%,16%,0.36,0.1,0.62,AA,5.00%,37
125,众兴转债!,128026,2018-01-03,众兴菌业,2772,农业,96.228,0.04%,0.71%,8.17,2.90%,4.5,0.50%,11.54,1.2,-29.20%,70.8,35.90%,转股中,4.55年,2.55年,30.60%,21.70%,9.2,3.24%,2.77%,3.14%,2.71%,2.45%,88.41,85.57,8.34,93.91,2.50%,34%,23%,16%,0.26,-0.51,1.03,AA-,6.00%,45
126,蓝思转债!,123003,2018-01-17,蓝思科技,300433,电子,97.5,0.30%,0.40%,7.19,3.75%,33,0.70%,10.46,1.76,-31.30%,68.74,41.80%,转股中,4.53年,2.53年,17.00%,11.70%,48,2.81%,2.37%,2.72%,2.09%,1.86%,91.59,90.69,4.91,95.59,2.00%,87%,23%,16%,0.19,-0.29,0.66,AA+,4.50%,38
127,特一转债!,128025,2017-12-28,特一药业,2728,医药,109.1,0.23%,1.60%,16,2.56%,0.5,0.10%,15.45,3.35,3.60%,103.56,5.30%,转股中,4.53年,2.53年,10.50%,10.90%,3.4,0.25%,-0.18%,0.16%,-2.11%,-2.33%,88.2,85.15,29.65,114.81,-5.00%,36%,13%,17%,0.71,1.39,0.1,AA-,6.00%,29
128,宁行转债,128024,2018-01-12,宁波银行,2142,金融,126.6,-0.67%,1.57%,22.85,1.11%,210,2.60%,18.01,1.7,26.90%,126.87,-0.20%,转股中,4.52年,无权,5.40%,6.80%,64.8,-3.30%,-3.65%,-3.37%,无权,无权,无权,91.54,43,134.54,-5.90%,31%,<2%,18%,0.82,2.08,-0.31,AAA,4.00%,35
129,亚太转债!,128023,2017-12-26,亚太股份,2284,汽车,92.476,-0.08%,0.15%,5.06,2.02%,4.5,0.50%,10.34,1.44,-51.10%,48.94,89.00%,转股中,4.52年,2.52年,26.80%,13.10%,10,4.58%,4.03%,4.47%,4.24%,3.98%,90.7,90.87,1.05,91.91,0.60%,37%,25%,17%,0.03,-0.11,0.17,AA,5.00%,44
130,众信转债!,128022,2017-12-28,众信旅游,2707,旅游餐饮酒店,99.02,-0.26%,0.80%,6.09,1.67%,5.5,0.80%,7.92,2.37,-23.10%,76.89,28.80%,转股中,4.51年,2.51年,13.00%,10.00%,7,2.46%,2.02%,2.38%,1.51%,1.28%,90.52,88.87,9.63,98.5,0.50%,56%,20%,17%,0.33,0.04,0.61,AA,5.00%,12
