,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N永鼎转,110058,今日上市,永鼎股份,600105,通信互联网,95.56,-4.44%,0.00%,5.21,-1.14%,208,22.20%,6.5,2.98,-19.80%,80.15,19.20%,5月16天,5.94年,3.94年,15.00%,12.00%,9.8,3.27%,2.79%,3.17%,2.05%,1.87%,85.12,86.75,12.27,99.03,-3.50%,58%,18%,17%,0.5,0.68,0.34,AA,5.00%,19
2,N核能转,113026,今日上市,中国核电,601985,能源电力,102.71,2.71%,0.00%,5.62,-1.40%,"1,558",19.40%,6.32,2.06,-11.10%,88.92,15.50%,5月13天,5.94年,3.94年,8.90%,7.90%,78,1.18%,0.86%,1.12%,0.19%,0.02%,88.22,87.49,15.69,103.18,-0.50%,18%,11%,15%,0.54,0.66,0.43,AAA,4.00%,36
3,明泰转债,113025,2019-05-07,明泰铝业,601677,有色金属,96.95,0.01%,-0.46%,9.78,-0.81%,104,5.80%,11.49,1.12,-14.90%,85.12,13.90%,5月10天,5.92年,3.92年,31.90%,27.10%,18.4,3.06%,2.57%,2.96%,1.71%,1.52%,85.59,87.53,14.11,101.64,-4.60%,31%,11%,16%,0.56,0.98,0.17,AA,4.90%,40
4,鼎胜转债,113534,2019-04-30,鼎胜新材,603876,有色金属,95.48,0.27%,-0.27%,15.84,0.00%,34,2.90%,20.8,2.6,-23.80%,76.15,25.40%,5月9天,5.92年,3.92年,18.40%,14.00%,12.5,3.30%,2.81%,3.20%,2.08%,1.90%,84.79,86.24,9.55,95.78,-0.30%,61%,17%,16%,0.44,-0.03,0.9,AA,5.10%,36
5,核建转债,113024,2019-04-26,中国核建,601611,建筑,102.91,-0.10%,0.15%,8,0.13%,31,1.00%,9.93,2.92,-19.40%,80.56,27.70%,5月8天,5.92年,3.92年,14.30%,11.50%,30,1.13%,0.82%,1.07%,0.12%,-0.05%,88.19,87.46,11.55,99.01,3.90%,42%,22%,16%,0.42,-0.34,1.18,AAA,4.00%,53
6,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,99,-0.39%,-1.20%,5.58,-2.62%,65,8.30%,6.25,1.26,-10.70%,89.28,10.90%,5月8天,5.92年,3.92年,20.00%,17.80%,8,2.66%,2.18%,2.56%,1.18%,0.99%,85.94,87.91,16.39,104.3,-5.10%,35%,9%,16%,0.61,1.18,0.1,AA,4.80%,29
7,未来转债,128063,2019-04-24,德尔未来,2631,其他,101.898,0.38%,-0.86%,7.91,-0.88%,16,2.50%,8.74,3.47,-9.50%,90.5,12.60%,5月5天,5.91年,4.91年,11.90%,10.80%,6.3,4.14%,3.30%,3.97%,1.43%,1.08%,85.36,96.57,14.45,111.02,-8.20%,52%,5%,16%,0.55,1.63,-0.41,AA-,5.10%,57
8,参林转债,113533,2019-04-24,大参林,603233,医药,113.6,3.55%,0.75%,51.28,5.51%,96,8.70%,48.05,5.96,6.70%,106.72,6.40%,5月4天,5.91年,3.91年,4.90%,5.20%,10,-0.06%,-0.46%,-0.14%,-2.23%,-2.40%,87.03,87.99,28.98,116.98,-2.90%,46%,13%,16%,0.78,1.02,0.56,AA,4.40%,49
9,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,100.55,0.55%,-0.55%,6.86,0.00%,2.8,0.60%,7.8,2.26,-12.10%,87.95,14.30%,5月3天,5.90年,3.90年,14.90%,13.10%,4.6,2.08%,1.66%,2.00%,0.79%,0.61%,85.93,86.36,17.12,103.48,-2.80%,50%,14%,17%,0.6,0.7,0.51,AA,4.80%,32
10,亚药转债,128062,2019-04-24,亚太药业,2370,医药,107.5,-0.01%,-0.66%,17.86,-0.89%,378,36.40%,16.3,3.4,9.60%,109.57,-1.90%,5月2天,5.90年,3.90年,10.10%,11.00%,9.7,1.93%,1.33%,1.81%,-0.91%,-1.08%,86.79,93.09,27.89,120.98,-11.10%,58%,<2%,16%,0.76,2.87,-1.06,AA,4.50%,71
11,现代转债,110057,2019-04-30,现代制药,600420,医药,105.35,0.42%,-0.84%,9.28,-0.75%,51,3.00%,10.09,1.52,-8.00%,91.97,14.50%,5月2天,5.90年,3.90年,16.50%,15.20%,16.2,0.90%,0.55%,0.83%,-0.44%,-0.60%,88.35,88.42,17.88,106.3,-0.90%,48%,15%,16%,0.56,0.77,0.37,AAA,4.00%,35
12,百姓转债,113531,2019-04-22,老百姓,603883,医药,114.1,2.88%,-2.57%,60.56,0.45%,14,3.60%,60.59,5.34,0.00%,99.95,14.20%,5月1天,4.89年,2.89年,1.90%,1.90%,3.3,-0.27%,-0.74%,-0.37%,-3.71%,-3.81%,88.61,90.46,19.83,110.3,3.40%,36%,18%,16%,0.69,-0.36,1.75,AA,4.60%,27
