,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
13,精测转债,123025,2019-04-19,精测电子,300567,电子,107.16,0.78%,1.86%,70.7,4.03%,4.6,1.20%,75.88,10.04,-6.80%,93.17,15.00%,5月2天,5.89年,3.89年,3.20%,3.00%,3.8,1.65%,1.11%,1.54%,-0.71%,-0.91%,86.08,89.58,19.2,108.78,-1.50%,72%,18%,17%,0.66,0.29,1.02,AA-,4.90%,20
14,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,108.101,2.31%,-2.57%,24.55,-0.49%,37,3.30%,28.33,7.16,-13.30%,86.66,24.70%,5月2天,5.89年,3.89年,4.70%,4.10%,10.5,1.57%,1.02%,1.46%,-1.01%,-1.19%,85.65,89.69,13.96,103.65,4.30%,43%,20%,16%,0.55,-0.83,1.96,AA,4.90%,31
15,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,98,0.33%,-0.04%,12.55,0.80%,7.8,1.30%,16.88,3.83,-25.70%,74.35,31.80%,4月26天,5.89年,3.89年,12.50%,9.30%,6.3,3.86%,3.20%,3.73%,1.47%,1.28%,84.51,90.6,7.34,97.94,0.10%,54%,17%,16%,0.36,-0.11,0.83,AA,5.30%,31
16,中装转债,128060,2019-04-15,中装建设,2822,建筑,97.65,0.46%,-0.57%,5.3,-0.19%,6.8,1.30%,6.24,1.7,-15.10%,84.94,15.00%,5月2天,5.88年,3.88年,16.50%,14.00%,5.3,2.61%,2.18%,2.52%,1.53%,1.35%,85.73,86.04,15.27,101.31,-3.60%,67%,12%,17%,0.56,0.85,0.3,AA,4.90%,64
17,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,100.33,0.33%,-0.01%,8.15,0.62%,316,6.30%,9.34,1.24,-12.70%,87.26,15.00%,4月24天,5.87年,3.87年,9.90%,8.70%,50,1.32%,1.05%,1.27%,0.42%,0.32%,87.16,86.23,14.52,100.75,-0.40%,37%,16%,15%,0.51,0.64,0.41,AAA,4.00%,69
18,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,97.864,0.01%,-0.04%,20.06,-0.05%,1.4,0.70%,24.9,3.86,-19.40%,80.56,21.50%,4月21天,4.87年,2.87年,12.70%,10.20%,2.1,3.11%,2.59%,3.01%,1.43%,1.29%,86.72,87.36,11.11,98.47,-0.60%,67%,18%,18%,0.48,0.02,0.93,A+,5.60%,19
19,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,99.7,-0.06%,-0.47%,6.45,-0.92%,8.1,1.40%,7.39,1.93,-12.70%,87.28,14.20%,4月21天,5.87年,4.87年,25.60%,22.40%,6,2.56%,2.07%,2.46%,1.17%,0.95%,83.52,87.78,16.75,104.53,-4.60%,41%,12%,18%,0.57,1.03,0.16,AA,4.90%,36
20,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,103.48,0.29%,-1.04%,17.65,-1.67%,21,1.20%,21.79,3.22,-19.00%,81,27.80%,4月19天,5.86年,3.86年,5.20%,4.20%,17.3,1.86%,1.39%,1.77%,0.03%,-0.15%,86.71,89.05,10.93,99.98,3.50%,46%,20%,16%,0.45,-0.47,1.38,AA+,4.60%,49
21,通威转债,110054,2019-04-10,通威股份,600438,农业,120.57,-0.48%,-2.43%,14.25,-3.72%,45,0.80%,12.44,3.17,14.50%,114.55,5.30%,4月16天,5.86年,3.86年,9.00%,10.40%,50,-0.73%,-1.20%,-0.82%,-3.62%,-3.80%,88.31,91.19,33.44,124.63,-3.30%,61%,<2%,16%,0.78,1.3,0.31,AA+,4.20%,21
22,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,105.86,0.82%,-1.38%,5.09,-1.17%,11,0.90%,6.38,2.81,-20.20%,79.78,32.70%,4月17天,5.86年,3.86年,10.50%,8.40%,12.3,1.50%,1.02%,1.40%,-0.49%,-0.67%,85.34,86.94,11.07,98.01,8.00%,79%,26%,16%,0.48,-1.49,2.58,AA,5.00%,9
23,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,110.85,0.82%,-1.49%,16.71,-1.01%,19,2.00%,17.6,2.95,-5.10%,94.94,16.80%,4月17天,5.85年,3.85年,11.90%,11.30%,8.8,0.72%,0.24%,0.62%,-1.59%,-1.78%,86.73,88.88,19.8,108.68,2.00%,42%,18%,16%,0.66,-0.22,1.55,AA,4.70%,29
24,苏银转债,110053,2019-04-03,江苏银行,600919,金融,106.26,0.68%,-0.82%,7.4,-0.27%,520,2.50%,7.9,0.87,-6.30%,93.67,13.40%,4月14天,5.85年,无权,23.40%,21.90%,200,2.05%,1.46%,1.93%,无权,无权,无权,95.38,18.59,113.97,-6.80%,25%,9%,18%,0.5,2.01,-0.82,AAA,4.00%,67
25,浙商转债,113022,2019-03-28,浙商证券,601878,金融,103.77,-0.19%,-0.51%,9.02,-2.17%,79,2.20%,12.53,3,-28.00%,71.99,44.20%,4月13天,5.84年,无权,11.60%,8.40%,35,1.02%,0.70%,0.95%,无权,无权,无权,87.81,8.33,96.14,7.90%,50%,29%,18%,0.33,-1.13,1.82,AAA,4.00%,32
26,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,119.25,0.54%,0.17%,47,0.88%,100,8.40%,40.52,5.19,16.00%,115.99,2.80%,4月10天,5.84年,3.84年,5.20%,6.00%,10,-0.14%,-0.68%,-0.25%,-3.43%,-3.61%,87.57,92.53,33.42,125.95,-5.30%,46%,<2%,16%,0.81,1.61,0.08,AA,4.40%,23
27,视源转债,128059,2019-04-02,视源股份,2841,电子,112.8,0.00%,-3.11%,75,-4.41%,6.9,0.60%,76.25,13.83,-1.60%,98.36,14.70%,4月10天,5.84年,3.84年,1.90%,1.90%,9.4,0.23%,-0.21%,0.14%,-2.07%,-2.25%,86.86,88.37,22.33,110.7,1.90%,55%,15%,16%,0.7,-0.1,1.51,AA,4.60%,15
28,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,107,-0.28%,-0.66%,10.18,-1.93%,30,2.30%,11.99,1.73,-15.10%,84.9,26.00%,4月10天,5.83年,3.83年,9.70%,8.20%,12,1.38%,0.89%,1.28%,-0.71%,-0.90%,87.37,89.91,13.75,103.66,3.20%,41%,21%,17%,0.49,-0.38,1.36,AA+,4.50%,20
29,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,110.2,-0.33%,-1.84%,5.77,-3.19%,12,1.90%,5.64,2.59,2.30%,102.3,7.70%,4月7天,5.83年,3.83年,9.70%,10.00%,5.7,1.94%,1.26%,1.81%,-1.23%,-1.47%,87.69,94.96,22.2,117.16,-5.90%,59%,<2%,16%,0.68,1.49,-0.06,AA,4.60%,41
30,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,104.52,0.99%,-2.34%,8.65,-1.93%,22,3.60%,8.81,1.89,-1.80%,98.18,6.50%,4月5天,5.83年,3.83年,12.70%,12.40%,5.8,2.09%,1.54%,1.98%,-0.10%,-0.30%,86.71,90.29,21.28,111.56,-6.30%,74%,<2%,16%,0.7,1.47,0.01,AA-,4.70%,48
31,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,109.72,2.26%,-2.34%,8.36,-0.12%,54,3.10%,8.13,1.81,2.80%,102.83,6.70%,4月5天,5.83年,3.83年,18.40%,18.90%,16,1.43%,0.85%,1.32%,-1.27%,-1.47%,88.24,93.41,23.02,116.43,-5.80%,42%,<2%,16%,0.66,1.71,-0.27,AA+,4.30%,35
32,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,109.1,0.40%,-0.95%,13.26,-0.82%,18,1.40%,13.62,4.12,-2.60%,97.36,12.10%,4月2天,5.82年,3.82年,8.20%,8.00%,12,1.43%,0.87%,1.31%,-1.25%,-1.43%,86.67,91.12,20.12,111.24,-1.90%,49%,13%,16%,0.66,0.56,0.77,AA,4.70%,21
33,中信转债,113021,2019-03-19,中信银行,601998,金融,103.9,0.07%,-0.78%,5.96,-1.97%,134,0.30%,7.45,0.87,-20.00%,80,29.90%,4月5天,5.82年,无权,13.70%,11.00%,400,2.43%,1.84%,2.31%,无权,无权,无权,95.33,9.88,105.21,-1.20%,23%,15%,17%,0.36,0.66,0.09,AAA,4.00%,55
34,富祥转债,123020,2019-03-29,富祥股份,300497,医药,107.526,-0.26%,0.53%,19.03,0.37%,9.3,2.00%,18.05,3.67,5.40%,105.43,2.00%,4月3天,5.81年,3.81年,9.80%,10.40%,4.2,2.11%,1.47%,1.98%,-0.74%,-0.95%,87.38,93.55,24.88,118.43,-9.20%,64%,<2%,16%,0.74,2.24,-0.58,AA-,4.60%,45
35,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,98.67,0.38%,-0.46%,20.51,-0.15%,19,3.10%,24.18,2.51,-15.20%,84.82,16.30%,4月3天,5.81年,3.81年,17.30%,14.70%,6.3,3.21%,2.64%,3.10%,1.45%,1.23%,85.78,88.85,14.26,103.11,-4.30%,55%,12%,17%,0.55,0.77,0.35,AA-,5.10%,33
36,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,99.812,0.50%,0.20%,6.01,1.18%,2.3,0.60%,6.8,2.66,-11.60%,88.38,12.90%,4月0天,5.81年,3.81年,16.30%,14.40%,3.7,3.54%,2.87%,3.40%,1.24%,1.00%,85.75,91.02,15.6,106.63,-6.40%,71%,10%,17%,0.59,1.14,0.09,A+,5.20%,47
37,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,103.88,-0.12%,-1.04%,8.97,-2.18%,35,0.80%,10.29,1.62,-12.80%,87.17,19.20%,4月0天,5.81年,3.81年,14.40%,12.60%,39.7,1.69%,1.23%,1.60%,-0.02%,-0.21%,87.38,89.08,14.41,103.49,0.40%,64%,16%,16%,0.53,0.23,0.83,AA+,4.50%,31
38,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,113.7,-0.09%,-2.16%,8.59,-2.72%,20,1.90%,7.41,0.8,15.90%,115.92,-1.90%,3月29天,5.81年,3.81年,29.60%,34.30%,9.1,0.28%,-0.20%,0.18%,-2.24%,-2.43%,87.99,90.67,34.83,125.5,-9.40%,31%,<2%,16%,0.83,2.62,-0.73,AA,4.30%,44
39,中来转债,123019,2019-03-22,中来股份,300393,能源电力,100.803,1.04%,-1.70%,17.77,-1.28%,12,1.10%,20.41,1.92,-12.90%,87.07,15.80%,3月25天,5.80年,3.80年,23.60%,20.50%,10,3.85%,3.09%,3.70%,1.00%,0.76%,85.92,93.68,14.62,108.3,-6.90%,48%,8%,18%,0.52,1.31,-0.2,AA-,5.20%,57
40,中宠转债,128054,2019-03-14,中宠股份,2891,农业,104.112,0.11%,1.99%,32.78,3.44%,1.3,0.70%,37.97,4.73,-13.70%,86.33,20.60%,3月15天,5.77年,3.77年,5.90%,5.10%,1.9,1.86%,1.37%,1.76%,-0.04%,-0.24%,85.37,86.89,15,101.88,2.20%,48%,23%,16%,0.61,-0.56,1.8,A+,5.20%,20
41,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,105,-0.39%,-0.19%,5.29,-0.75%,21,2.70%,4.94,1.49,7.10%,107.09,-1.90%,3月13天,5.77年,3.77年,20.10%,21.50%,7.5,1.66%,1.18%,1.57%,-0.29%,-0.48%,87.54,90.03,27.91,117.94,-11.00%,42%,<2%,16%,0.77,2.89,-1.05,AA,4.50%,71
42,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,99.75,0.26%,-0.38%,13.47,-0.22%,3.5,0.50%,14.96,1.11,-10.00%,90.04,10.80%,2月22天,5.71年,3.71年,30.70%,27.70%,7.5,3.46%,2.81%,3.33%,1.10%,0.89%,86.59,92.34,16.32,108.66,-8.20%,39%,8%,18%,0.55,1.86,-0.61,AA,4.90%,51
43,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,106.86,0.14%,-1.39%,13.06,-1.66%,1.2,0.30%,12.31,2.37,6.10%,106.09,0.70%,2月21天,5.71年,3.71年,14.00%,14.90%,3.9,0.70%,0.33%,0.62%,-0.80%,-0.98%,87.48,86.81,30.5,117.31,-8.90%,50%,<2%,18%,0.75,2.41,-0.7,AA,4.50%,24
44,平银转债,127010,2019-02-18,平安银行,1,金融,117.39,0.03%,-1.81%,12.6,-2.70%,215,0.70%,11.77,0.89,7.10%,107.05,9.70%,2月17天,5.71年,无权,12.00%,12.90%,260,0.09%,-0.46%,-0.02%,无权,无权,无权,94.87,26.25,121.12,-3.10%,30%,9%,16%,0.66,1.34,0.04,AAA,4.00%,59
45,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,126.311,0.02%,-0.58%,8.18,-0.61%,59,9.20%,5.52,1.2,48.20%,148.19,-14.80%,2月10天,5.69年,3.69年,9.50%,14.10%,5.1,-1.62%,-2.08%,-1.71%,-5.01%,-5.18%,88.86,91.86,63.03,154.89,-18.50%,45%,<2%,17%,0.92,5.46,-2.63,AA,4.20%,27
46,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,163,-1.02%,0.16%,14.51,-0.89%,856,162%,6.97,1.6,108%,208.18,-21.70%,49天,5.62年,3.62年,6.80%,14.20%,3.3,-6.05%,-6.49%,-6.14%,-10.90%,-11.10%,89.61,92.79,120.55,213.34,-23.60%,80%,<2%,17%,0.97,7.39,-3.71,AA,4.10%,35
47,溢利转债,123018,2019-01-23,溢多利,300381,医药,109,3.33%,0.04%,9.53,4.15%,19,2.70%,8.41,1.69,13.30%,113.32,-3.80%,48天,5.62年,3.62年,17.20%,19.40%,6.7,1.02%,0.53%,0.93%,-1.30%,-1.49%,88.12,90.62,33.09,123.7,-11.90%,77%,<2%,17%,0.81,3.13,-1.17,AA-,4.50%,40
48,佳都转债!,110050,2019-01-21,佳都科技,600728,计算机及应用,121.03,-0.34%,-1.20%,10.11,-1.75%,53,5.00%,7.95,3.11,27.20%,127.17,-4.80%,47天,5.61年,3.61年,5.30%,6.80%,8.8,-1.03%,-1.48%,-1.12%,-4.02%,-4.20%,88.86,90.94,44.03,134.97,-10.30%,70%,<2%,16%,0.88,3.02,-0.96,AA,4.20%,27
49,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,119.57,-0.18%,-1.04%,16.49,-1.61%,73,2.00%,14.55,2.31,13.30%,113.33,5.50%,47天,5.61年,3.61年,2.90%,3.20%,30.1,-1.50%,-1.82%,-1.56%,-3.77%,-3.94%,89.34,88.61,33.7,122.31,-2.20%,32%,11%,16%,0.76,1.26,0.31,AAA,4.00%,27
50,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,104.5,0.90%,-0.90%,10.24,0.00%,0.6,0.10%,11.56,2.48,-11.40%,88.58,18.00%,43天,5.61年,3.61年,9.50%,8.40%,5.3,1.80%,1.30%,1.70%,-0.18%,-0.37%,86.99,88.9,15.94,104.85,-0.30%,46%,17%,17%,0.58,0.16,1,AA,4.80%,9
51,奇精转债,113524,2019-01-07,奇精机械,603677,家电,99.54,0.02%,-1.46%,12.85,-2.73%,1.5,0.50%,14.76,2.94,-12.90%,87.06,14.30%,42天,5.60年,3.60年,13.10%,11.40%,3.3,3.19%,2.59%,3.07%,1.13%,0.93%,86.7,90.74,15,105.74,-5.90%,60%,9%,18%,0.53,1.28,-0.15,AA,4.90%,51
52,光华转债!,128051,2019-01-09,光华科技,2741,汽车,99.349,-0.01%,-0.09%,13.12,-0.23%,2.7,1.10%,17.03,5.22,-23.00%,77.04,29.00%,42天,5.60年,3.60年,5.10%,3.90%,2.5,2.87%,2.33%,2.76%,1.32%,1.09%,85.86,87.09,10.26,97.36,2.00%,37%,21%,17%,0.45,-0.53,1.44,AA-,5.40%,23
53,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,102.823,0.81%,-0.81%,21.22,0.00%,8.9,2.70%,21.74,3.17,-2.40%,97.61,5.30%,36天,5.59年,3.59年,12.40%,12.10%,3.2,3.50%,2.74%,3.35%,0.42%,0.19%,87.39,95.41,19.85,115.26,-10.80%,66%,<2%,18%,0.63,2.4,-0.91,AA-,4.90%,77
54,伟明转债!,113523,2018-12-26,伟明环保,603568,城市公用设施,108.2,0.66%,-1.34%,24.15,-0.94%,2.1,0.30%,23.92,5.22,1.00%,100.96,7.20%,36天,5.59年,3.59年,4.00%,4.10%,6.7,1.16%,0.67%,1.07%,-1.11%,-1.30%,87.91,90.25,22.92,113.17,-4.40%,43%,8%,16%,0.72,1.22,0.26,AA,4.60%,23
55,福能转债,110048,2018-12-28,福能股份,600483,能源电力,110.38,-0.29%,-0.22%,8.23,-0.84%,35,1.10%,8.69,1.18,-5.30%,94.71,16.50%,36天,5.58年,3.58年,22.20%,21.00%,28.3,0.64%,0.17%,0.55%,-1.64%,-1.83%,88.49,90.33,18.49,108.83,1.40%,29%,19%,16%,0.61,0.09,1.12,AA+,4.40%,12
56,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,101.86,-0.03%,-0.78%,7.27,-1.22%,3.8,0.90%,7.57,1.58,-4.00%,96.04,6.10%,25天,5.55年,3.55年,17.70%,17.00%,4,2.37%,1.85%,2.26%,0.58%,0.36%,87.43,89.49,21.52,111.01,-8.20%,74%,<2%,18%,0.66,1.91,-0.44,AA-,4.80%,55
57,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,102.84,0.90%,-1.58%,23.96,-1.60%,14,3.40%,29.86,8.27,-19.80%,80.24,28.20%,19天,5.54年,3.54年,4.40%,3.50%,4.2,2.92%,2.27%,2.79%,0.25%,0.05%,86.32,91.54,9.39,100.92,1.90%,63%,17%,16%,0.42,-0.44,1.29,AA,5.20%,24
58,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,105.53,0.04%,-0.41%,3.37,-0.59%,13,0.60%,3.34,1.15,0.90%,100.9,4.60%,18天,5.54年,3.54年,14.90%,15.00%,23,2.16%,1.56%,2.04%,-0.44%,-0.64%,88.77,93.95,20.76,114.71,-8.00%,30%,<2%,16%,0.63,2.22,-0.75,AA+,4.40%,67
59,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,102.212,0.40%,-0.83%,65.73,-0.83%,8.1,1.80%,81.49,9.27,-19.30%,80.66,26.70%,17天,5.54年,3.54年,3.50%,2.80%,4.4,1.55%,1.16%,1.47%,0.37%,0.18%,85.92,84.23,12.83,97.06,5.30%,77%,23%,16%,0.51,-1.03,2.1,AA-,5.20%,41
60,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,113.49,1.42%,-0.48%,12.08,1.26%,164,4.00%,10.89,2.75,10.90%,110.93,2.30%,17天,5.54年,3.54年,10.70%,11.80%,36.5,0.34%,-0.16%,0.24%,-2.33%,-2.54%,89.39,92.25,29.42,121.67,-6.70%,60%,<2%,16%,0.75,2.07,-0.43,AA+,4.30%,37
61,桐昆转债!,113020,2018-12-12,桐昆股份,601233,服装纺织,116.69,-0.60%,-2.01%,13.85,-3.42%,72,1.60%,12.51,1.44,10.70%,110.71,5.40%,14天,5.53年,3.53年,15.10%,16.70%,38,-0.57%,-1.00%,-0.66%,-3.19%,-3.37%,88.98,90.28,30.31,120.59,-3.20%,48%,<2%,16%,0.76,1.29,0.28,AA+,4.20%,32
62,特发转债,127008,2018-12-25,特发信息,70,通信互联网,179.5,1.01%,-1.01%,13.4,0.00%,641,86.70%,6.78,1.87,97.60%,197.64,-9.20%,13天,4.52年,2.52年,5.00%,9.90%,4.2,-10.10%,-10.50%,-10.20%,-12.90%,-13.00%,91.96,93.42,107.64,201.06,-10.70%,61%,<2%,17%,0.98,3.47,-1.14,AA,4.00%,49
63,科森转债!,113521,2018-12-07,科森科技,603626,通信互联网,103.05,0.56%,0.13%,8.74,1.04%,4,0.60%,8.95,2.09,-2.30%,97.65,5.50%,13天,5.52年,3.52年,16.80%,16.40%,6.1,2.16%,1.64%,2.06%,0.26%,0.05%,88.03,90.33,22.14,112.47,-8.40%,63%,7%,18%,0.66,2.08,-0.6,AA,4.70%,63
64,张行转债,128048,2018-11-29,张家港行,2839,金融,110.2,-1.17%,0.12%,6.28,-1.57%,20,0.70%,6.06,1.12,3.60%,103.63,6.30%,7天,5.51年,无权,22.00%,22.80%,25,0.68%,0.21%,0.58%,无权,无权,无权,90.9,26.09,116.99,-5.80%,56%,10%,18%,0.67,1.71,-0.26,AA+,4.30%,29
65,百合转债,113520,2018-11-26,梦百合,603313,其他,120.97,0.81%,0.27%,23.6,1.24%,17,2.70%,19.03,2.57,24.00%,124.01,-2.50%,5.3天,5.50年,3.50年,8.90%,11.10%,5.1,-0.82%,-1.32%,-0.92%,-4.07%,-4.27%,89.23,92.11,40.49,132.6,-8.80%,42%,<2%,16%,0.87,2.55,-0.6,AA-,4.30%,20
66,洲明转债,123016,2018-12-03,洲明科技,300232,电子,118.011,0.59%,-2.00%,11.17,-1.67%,15,2.40%,9.45,3.13,18.20%,118.2,-0.20%,4.3天,5.50年,3.50年,6.40%,7.60%,5.5,-0.35%,-0.86%,-0.45%,-3.35%,-3.56%,89.27,91.91,35.77,127.69,-7.60%,69%,<2%,16%,0.84,2.16,-0.33,AA-,4.40%,21
67,长久转债,113519,2018-11-30,长久物流,603569,交通运输,106.1,0.45%,-0.29%,11.58,0.26%,2.9,0.40%,11.99,2.71,-3.40%,96.58,9.90%,4.3天,5.50年,3.50年,10.80%,10.40%,7,2.41%,1.74%,2.27%,-0.52%,-0.74%,87.98,93.9,18.78,112.68,-5.80%,52%,10%,17%,0.62,1.37,-0.05,AA,4.80%,17
68,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,114.255,1.08%,0.44%,42.26,2.08%,14,0.90%,40.26,5.25,5.00%,104.97,8.80%,0.3天,5.49年,3.49年,3.90%,4.10%,13,-0.70%,-1.03%,-0.77%,-2.68%,-2.86%,88.92,87.79,27.31,115.1,-0.70%,34%,17%,16%,0.73,0.74,0.73,AA+,4.30%,11
69,利尔转债!,128046,2018-11-09,利尔化学,2258,石油天然气化工,103.561,0.35%,-0.94%,14.92,-1.26%,2,0.20%,18.62,3.34,-19.90%,80.13,29.20%,转股中,5.44年,3.44年,10.90%,8.70%,8.5,1.70%,1.24%,1.61%,0.06%,-0.14%,87.01,87.06,10.91,97.97,5.70%,41%,23%,16%,0.47,-1.02,2,AA,5.10%,17
