,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,97.31,1.43%,1.78%,5.42,6.07%,57,6.00%,6.5,2.98,-16.60%,83.38,16.70%,5月13天,5.93年,3.93年,14.40%,12.00%,9.8,2.96%,2.47%,2.86%,1.60%,1.42%,85.35,87.07,14.01,101.08,-3.70%,58%,15%,17%,0.53,0.76,0.33,AA,4.90%,22
2,N雅化转!,128065,2019-05-10,雅化集团,2497,石油天然气化工,96.05,-3.95%,0.00%,6.77,2.42%,263,34.40%,8.98,3.31,-24.60%,75.39,27.40%,5月13天,5.93年,3.93年,12.30%,9.30%,8,2.56%,2.19%,2.49%,1.93%,1.74%,84.73,83.2,10.66,93.86,2.30%,50%,27%,16%,0.43,-0.45,1.33,AA,5.10%,22
3,核能转债,113026,2019-05-08,中国核电,601985,能源电力,104.13,0.47%,0.51%,5.69,1.79%,856,10.60%,6.32,2.06,-10.00%,90.03,15.70%,5月10天,5.93年,3.93年,8.80%,7.90%,78,0.94%,0.63%,0.88%,-0.15%,-0.32%,88.25,87.52,16.39,103.91,0.20%,18%,17%,15%,0.55,0.52,0.59,AAA,4.00%,41
4,明泰转债,113025,2019-05-07,明泰铝业,601677,有色金属,98.05,1.07%,-0.14%,9.88,1.65%,70,3.90%,11.49,1.12,-14.00%,85.99,14.00%,5月7天,5.92年,3.92年,31.60%,27.10%,18.4,2.86%,2.37%,2.76%,1.43%,1.24%,85.69,87.67,14.55,102.22,-4.10%,31%,12%,16%,0.57,0.89,0.28,AA,4.90%,44
5,鼎胜转债,113534,2019-04-30,鼎胜新材,603876,有色金属,97.36,1.16%,0.05%,16.58,2.47%,27,2.20%,20.8,2.6,-20.30%,79.71,22.10%,5月6天,5.91年,3.91年,17.60%,14.00%,12.5,2.96%,2.47%,2.86%,1.60%,1.41%,85.17,86.78,11.14,97.92,-0.60%,61%,17%,16%,0.49,0.09,0.89,AA,5.00%,38
6,核建转债,113024,2019-04-26,中国核建,601611,建筑,103.63,0.67%,0.97%,8.17,3.68%,58,1.90%,9.93,2.92,-17.70%,82.28,26.00%,5月5天,5.91年,3.91年,14.00%,11.50%,30,1.01%,0.70%,0.95%,-0.05%,-0.22%,88.22,87.49,12.43,99.93,3.70%,42%,23%,16%,0.45,-0.25,1.14,AAA,4.00%,53
7,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,99.91,0.46%,1.02%,5.69,2.34%,66,8.30%,6.25,1.26,-9.00%,91.04,9.70%,5月5天,5.91年,3.91年,19.60%,17.80%,8,2.50%,2.02%,2.40%,0.95%,0.77%,86.11,88.15,17.47,105.62,-5.40%,35%,11%,16%,0.63,1.26,0.06,AA,4.70%,35
8,未来转债,128063,2019-04-24,德尔未来,2631,其他,103.833,1.30%,1.41%,8,4.85%,17,2.70%,8.74,3.47,-8.50%,91.53,13.40%,5月2天,5.90年,4.90年,11.80%,10.80%,6.3,3.80%,2.97%,3.64%,1.05%,0.70%,85.45,96.69,15.01,111.69,-7.00%,52%,9%,16%,0.56,1.37,-0.17,AA-,5.10%,56
9,参林转债,113533,2019-04-24,大参林,603233,医药,115.6,3.11%,0.76%,52.58,4.85%,56,5.00%,48.05,5.96,9.40%,109.43,5.60%,5月1天,5.90年,3.90年,4.80%,5.20%,10,-0.36%,-0.76%,-0.44%,-2.66%,-2.83%,87.19,88.22,31,119.22,-3.00%,46%,13%,16%,0.8,1.09,0.53,AA,4.40%,49
10,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.68,0.72%,1.38%,7.08,3.36%,3.3,0.70%,7.8,2.26,-9.20%,90.77,12.00%,5月0天,5.89年,3.89年,14.40%,13.10%,4.6,1.89%,1.46%,1.80%,0.51%,0.33%,86.14,86.65,18.88,105.53,-3.60%,50%,15%,17%,0.63,0.9,0.38,AA,4.70%,33
11,亚药转债,128062,2019-04-24,亚太药业,2370,医药,106.36,1.63%,0.21%,16.5,2.68%,64,6.20%,16.3,3.4,1.20%,101.23,5.10%,4月29天,5.89年,3.89年,10.90%,11.00%,9.7,2.12%,1.51%,2.00%,-0.65%,-0.82%,86.37,92.42,22.03,114.45,-7.10%,58%,8%,16%,0.69,1.75,-0.26,AA,4.60%,69
12,现代转债,110057,2019-04-30,现代制药,600420,医药,107,1.62%,-0.18%,9.46,2.49%,73,4.30%,10.09,1.52,-6.20%,93.76,14.10%,4月29天,5.89年,3.89年,16.20%,15.20%,16.2,0.64%,0.29%,0.57%,-0.82%,-0.99%,88.38,88.44,19,107.45,-0.40%,48%,16%,16%,0.58,0.71,0.47,AAA,4.00%,41
