,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,N亚泰转,128066,今日上市,亚泰国际,2811,建筑,98.306,-1.69%,0.00%,14.71,-1.41%,58,12.40%,17.49,2.22,-15.90%,84.11,16.90%,5月11天,5.93年,3.93年,18.10%,15.20%,4.8,3.20%,2.64%,3.08%,1.48%,1.27%,86.24,89.8,12.74,102.54,-4.10%,49%,13%,16%,0.56,0.55,0.58,AA-,4.80%,10
2,永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,97.16,-0.38%,-1.05%,5.45,-2.68%,24,2.50%,6.5,2.98,-16.20%,83.85,15.90%,5月10天,5.92年,3.92年,14.40%,12.00%,9.8,2.99%,2.50%,2.89%,1.64%,1.46%,86.31,88.47,13.7,102.17,-4.90%,58%,10%,17%,0.54,0.87,0.24,AA,4.70%,26
3,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.32,0.02%,-0.91%,6.58,-2.23%,49,6.50%,8.98,3.31,-26.70%,73.27,30.10%,5月10天,5.92年,3.92年,12.70%,9.30%,8,2.70%,2.33%,2.63%,2.13%,1.94%,85.16,83.79,9.42,93.21,2.30%,51%,19%,16%,0.4,-0.57,1.37,AA,5.00%,27
4,核能转债,113026,2019-05-08,中国核电,601985,能源电力,104,0.09%,0.01%,5.62,0.18%,194,2.40%,6.32,2.06,-11.10%,88.92,17.00%,5月7天,5.92年,3.92年,8.90%,7.90%,78,0.97%,0.65%,0.90%,-0.12%,-0.29%,89.2,88.87,14.97,103.84,0.20%,18%,16%,15%,0.54,0.4,0.68,AAA,3.70%,44
5,明泰转债,113025,2019-05-07,明泰铝业,601677,有色金属,97.7,0.30%,-0.69%,9.76,-0.71%,40,2.20%,11.49,1.12,-15.10%,84.94,15.00%,5月4天,5.91年,3.91年,32.00%,27.10%,18.4,2.93%,2.44%,2.83%,1.52%,1.33%,86.55,88.92,13.4,102.32,-4.50%,31%,10%,16%,0.55,0.8,0.34,AA,4.60%,48
6,鼎胜转债,113534,2019-04-30,鼎胜新材,603876,有色金属,96.66,-0.25%,-0.73%,15.94,-2.21%,15,1.20%,20.8,2.6,-23.40%,76.63,26.10%,5月3天,5.91年,3.91年,18.30%,14.00%,12.5,3.09%,2.60%,2.99%,1.78%,1.59%,85.62,87.43,9.36,96.79,-0.10%,61%,16%,16%,0.44,-0.2,1.09,AA,4.90%,43
7,核建转债,113024,2019-04-26,中国核建,601611,建筑,104.01,0.34%,-0.50%,8.05,-0.37%,23,0.70%,9.93,2.92,-18.90%,81.07,28.30%,5月2天,5.90年,3.90年,14.20%,11.50%,30,0.95%,0.64%,0.89%,-0.15%,-0.31%,88.98,88.57,11.31,99.87,4.10%,43%,22%,16%,0.42,-0.48,1.33,AAA,3.80%,57
8,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,99.9,0.20%,-0.63%,5.55,-0.72%,16,2.00%,6.25,1.26,-11.20%,88.8,12.50%,5月2天,5.90年,3.90年,20.10%,17.80%,8,2.50%,2.02%,2.41%,0.95%,0.77%,86.96,89.39,15.36,104.75,-4.60%,35%,10%,16%,0.6,0.91,0.32,AA,4.50%,40
9,未来转债,128063,2019-04-24,德尔未来,2631,其他,109.61,5.80%,1.06%,9.09,10.10%,137,20.40%,8.74,3.47,4.00%,104,5.40%,4月29天,5.89年,4.89年,10.40%,10.80%,6.3,2.83%,2.01%,2.67%,-0.04%,-0.39%,88.15,100.23,21.39,121.61,-9.90%,52%,4%,16%,0.68,2.1,-0.57,AA-,4.50%,66
10,参林转债,113533,2019-04-24,大参林,603233,医药,116.84,1.48%,0.69%,54.2,2.63%,25,2.20%,48.05,5.96,12.80%,112.8,3.60%,4月28天,5.89年,3.89年,4.60%,5.20%,10,-0.55%,-0.95%,-0.63%,-2.92%,-3.09%,88.77,90.51,32.27,122.78,-4.80%,46%,10%,16%,0.82,1.41,0.29,AA,3.90%,53
11,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.6,0.17%,-0.08%,7.1,0.14%,2.1,0.40%,7.8,2.26,-9.00%,91.03,11.60%,4月27天,5.89年,3.89年,14.40%,13.10%,4.6,1.90%,1.48%,1.82%,0.54%,0.35%,87.22,88.2,18.28,106.48,-4.60%,50%,12%,17%,0.63,0.95,0.33,AA,4.40%,32
12,亚药转债,128062,2019-04-24,亚太药业,2370,医药,106.672,0.03%,-0.40%,16.56,-0.54%,28,2.70%,16.3,3.4,1.60%,101.6,5.00%,4月26天,5.89年,3.89年,10.90%,11.00%,9.7,2.07%,1.47%,1.95%,-0.72%,-0.90%,87.58,94.28,21.26,115.54,-7.70%,59%,5%,16%,0.69,1.75,-0.26,AA,4.30%,75
13,现代转债,110057,2019-04-30,现代制药,600420,医药,107.08,-0.12%,-0.71%,9.24,-1.49%,35,2.00%,10.09,1.52,-8.40%,91.58,16.90%,4月26天,5.88年,3.88年,16.60%,15.20%,16.2,0.62%,0.27%,0.55%,-0.84%,-1.01%,89.36,89.85,16.91,106.75,0.30%,48%,17%,16%,0.55,0.38,0.73,AAA,3.70%,45
14,百姓转债,113531,2019-04-22,老百姓,603883,医药,112.11,0.82%,-0.82%,59.25,0.00%,3.7,1.00%,60.59,5.34,-2.20%,97.79,14.60%,4月25天,4.87年,2.87年,1.90%,1.90%,3.3,0.09%,-0.38%,0.00%,-3.17%,-3.27%,89.41,91.73,17.7,109.43,2.40%,36%,19%,16%,0.67,-0.33,1.67,AA,4.30%,29
15,精测转债,123025,2019-04-19,精测电子,300567,电子,108.523,-0.58%,-0.90%,70.46,-2.27%,1.7,0.40%,75.88,10.04,-7.10%,92.86,16.90%,4月26天,5.87年,3.87年,3.30%,3.00%,3.8,1.43%,0.89%,1.33%,-1.03%,-1.22%,87.19,91.21,18.2,109.4,-0.80%,73%,16%,17%,0.65,-0.01,1.31,AA-,4.50%,25
16,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,109.55,-0.18%,-1.89%,25.84,-3.44%,37,3.30%,28.33,7.16,-8.80%,91.21,20.10%,4月26天,5.87年,3.87年,4.50%,4.10%,10.5,1.34%,0.79%,1.23%,-1.34%,-1.52%,87.08,91.83,15.68,107.51,1.90%,43%,17%,16%,0.6,-0.42,1.64,AA,4.50%,36
17,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,98.81,-0.14%,-0.06%,12.8,-0.54%,2.8,0.40%,16.88,3.83,-24.20%,75.83,30.30%,4月20天,5.87年,3.87年,12.20%,9.30%,6.3,3.73%,3.06%,3.59%,1.27%,1.08%,85.32,91.82,7.67,99.5,-0.70%,54%,16%,16%,0.38,-0.1,0.85,AA,5.10%,29
18,中装转债,128060,2019-04-15,中装建设,2822,建筑,99.421,0.54%,0.00%,5.45,0.93%,8.1,1.60%,6.24,1.7,-12.70%,87.34,13.80%,4月26天,5.87年,3.87年,16.10%,14.00%,5.3,2.30%,1.87%,2.21%,1.08%,0.90%,86.93,87.74,16.05,103.79,-4.20%,67%,12%,17%,0.58,0.87,0.33,AA,4.50%,66
19,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,100.92,-0.02%,-0.29%,8.05,-0.62%,102,2.00%,9.34,1.24,-13.80%,86.19,17.10%,4月18天,5.86年,3.86年,10.10%,8.70%,50,1.23%,0.95%,1.17%,0.28%,0.18%,88.06,87.49,13.19,100.68,0.20%,37%,16%,15%,0.5,0.38,0.63,AAA,3.80%,77
20,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,98.494,-0.01%,-1.57%,20.22,-3.25%,1,0.50%,24.9,3.86,-18.80%,81.2,21.30%,4月15天,4.85年,2.85年,12.60%,10.20%,2.1,2.98%,2.46%,2.88%,1.22%,1.08%,87.46,88.51,11.03,99.53,-1.00%,67%,15%,18%,0.48,-0.02,0.99,A+,5.30%,19
21,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,100.31,-0.19%,-0.17%,6.52,-0.61%,2.2,0.40%,7.39,1.93,-11.80%,88.23,13.70%,4月15天,5.85年,4.85年,25.40%,22.40%,6,2.45%,1.97%,2.36%,1.05%,0.83%,84.84,89.38,16.65,106.04,-5.40%,41%,12%,18%,0.59,1.05,0.17,AA,4.50%,38
22,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,97.22,1.66%,-2.90%,15.69,-3.33%,146,8.70%,21.79,3.22,-28.00%,72.01,35.00%,4月13天,5.85年,3.85年,5.80%,4.20%,17.3,2.98%,2.50%,2.88%,1.61%,1.43%,85.1,86.65,7.28,93.93,3.50%,46%,18%,16%,0.37,-0.88,1.65,AA+,5.10%,55
23,通威转债,110054,2019-04-10,通威股份,600438,农业,125.78,2.12%,1.25%,15.35,4.07%,62,1.00%,12.44,3.17,23.40%,123.39,1.90%,4月10天,5.84年,3.84年,8.40%,10.40%,50,-1.46%,-1.92%,-1.55%,-4.66%,-4.84%,89.94,93.6,39.06,132.66,-5.20%,61%,<2%,16%,0.83,1.74,0,AA+,3.80%,23
24,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,105.3,0.00%,-0.93%,5.07,-1.93%,4.9,0.40%,6.38,2.81,-20.50%,79.47,32.50%,4月11天,5.84年,3.84年,10.60%,8.40%,12.3,1.59%,1.11%,1.50%,-0.36%,-0.54%,86.15,88.1,10.44,98.54,6.90%,79%,25%,16%,0.48,-1.43,2.49,AA,4.80%,12
25,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,112.34,0.12%,-0.56%,16.81,-0.65%,5.3,0.50%,17.6,2.95,-4.50%,95.51,17.60%,4月11天,5.84年,3.84年,11.80%,11.30%,8.8,0.49%,0.01%,0.39%,-1.93%,-2.12%,87.94,90.64,19.25,109.89,2.20%,42%,19%,16%,0.67,-0.39,1.74,AA,4.30%,30
26,苏银转债,110053,2019-04-03,江苏银行,600919,金融,107.79,0.19%,0.16%,7.45,0.68%,417,1.90%,7.9,0.87,-5.70%,94.3,14.30%,4月8天,5.83年,无权,23.30%,21.90%,200,1.80%,1.21%,1.68%,无权,无权,无权,96.79,18.35,115.13,-6.40%,25%,11%,18%,0.51,1.79,-0.62,AAA,3.70%,66
27,浙商转债,113022,2019-03-28,浙商证券,601878,金融,106.77,-0.21%,-0.33%,9.04,-1.63%,29,0.80%,12.53,3,-27.90%,72.15,48.00%,4月7天,5.83年,无权,11.60%,8.40%,35,0.52%,0.20%,0.46%,无权,无权,无权,88.66,8.14,96.8,10.30%,50%,33%,18%,0.33,-1.64,2.41,AAA,3.80%,35
28,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,119.68,-0.10%,-1.36%,44.55,-1.89%,13,1.10%,40.52,5.19,9.90%,109.95,8.90%,4月4天,5.83年,3.83年,5.50%,6.00%,10,-0.20%,-0.75%,-0.31%,-3.54%,-3.71%,88.64,94.14,27.58,121.72,-1.70%,46%,13%,16%,0.77,0.59,0.95,AA,4.10%,23
29,视源转债,128059,2019-04-02,视源股份,2841,电子,113.701,-0.09%,-0.66%,76.48,-1.02%,2.2,0.20%,75.71,13.73,1.00%,101.02,12.60%,4月4天,5.83年,3.83年,1.90%,1.90%,9.4,0.09%,-0.35%,0.00%,-2.28%,-2.45%,88.3,90.47,23.13,113.6,0.10%,55%,16%,16%,0.73,0.15,1.31,AA,4.20%,16
30,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,107.3,-0.19%,-0.19%,10.04,-0.79%,3.7,0.30%,11.99,1.73,-16.30%,83.74,28.10%,4月4天,5.82年,3.82年,9.80%,8.20%,12,1.33%,0.84%,1.23%,-0.78%,-0.98%,88.15,91.05,12.65,103.7,3.50%,42%,23%,17%,0.47,-0.59,1.55,AA+,4.30%,21
31,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,111,0.36%,-0.48%,5.74,-0.17%,1.6,0.20%,5.64,2.59,1.80%,101.77,9.10%,4月1天,5.81年,3.81年,9.80%,10.00%,5.7,1.82%,1.14%,1.68%,-1.42%,-1.65%,88.84,96.73,20.89,117.62,-5.60%,59%,8%,16%,0.67,1.26,0.14,AA,4.30%,43
32,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,107,-0.09%,0.42%,8.83,0.46%,9.3,1.50%,8.81,1.89,0.20%,100.23,6.80%,3月29天,5.81年,3.81年,12.40%,12.40%,5.8,1.67%,1.13%,1.56%,-0.70%,-0.89%,88.12,92.38,21.49,113.87,-6.00%,74%,9%,16%,0.72,1.31,0.18,AA-,4.30%,55
33,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,116,2.12%,0.21%,9.04,3.20%,127,6.90%,8.13,1.81,11.20%,111.19,4.30%,3月29天,5.81年,3.81年,17.00%,18.90%,16,0.45%,-0.12%,0.34%,-2.66%,-2.86%,89.76,95.71,27.91,123.61,-6.20%,43%,8%,16%,0.73,1.77,-0.2,AA+,3.90%,36
34,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,112.01,-0.36%,-0.14%,13.67,-0.73%,15,1.10%,13.62,4.12,0.40%,100.37,11.60%,3月26天,5.81年,3.81年,8.00%,8.00%,12,0.96%,0.41%,0.85%,-1.92%,-2.09%,88.06,93.22,21,114.22,-1.90%,49%,14%,16%,0.69,0.49,0.89,AA,4.30%,22
35,中信转债,113021,2019-03-19,中信银行,601998,金融,105.13,0.20%,-0.43%,5.83,-0.68%,88,0.20%,7.45,0.87,-21.70%,78.26,34.30%,3月29天,5.81年,无权,14.00%,11.00%,400,2.23%,1.63%,2.11%,无权,无权,无权,96.27,8.7,104.97,0.20%,23%,17%,17%,0.34,0.24,0.44,AAA,3.80%,53
36,富祥转债,123020,2019-03-29,富祥股份,300497,医药,108.021,-0.35%,-0.23%,18.45,-0.81%,9.2,2.00%,18.05,3.67,2.20%,102.22,5.70%,3月27天,5.80年,3.80年,10.10%,10.40%,4.2,2.03%,1.39%,1.91%,-0.86%,-1.07%,88.37,95.07,21.64,116.71,-7.40%,64%,6%,16%,0.71,1.62,-0.1,AA-,4.40%,55
37,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,99.77,-0.14%,-0.85%,20.47,-1.82%,1.9,0.30%,24.18,2.51,-15.30%,84.66,17.90%,3月27天,5.80年,3.80年,17.40%,14.70%,6.3,3.02%,2.44%,2.90%,1.17%,0.95%,86.7,90.2,13.6,103.8,-3.90%,55%,12%,17%,0.54,0.52,0.58,AA-,4.90%,32
38,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,101.24,0.29%,0.85%,6.37,1.76%,12,3.20%,6.8,2.66,-6.30%,93.68,8.10%,3月24天,5.79年,3.79年,15.30%,14.40%,3.7,3.29%,2.62%,3.15%,0.88%,0.64%,87.46,93.62,17.74,111.36,-9.10%,71%,7%,17%,0.65,1.69,-0.29,A+,4.70%,52
39,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,105,1.71%,-1.89%,8.94,-0.33%,64,1.50%,10.29,1.62,-13.10%,86.88,20.90%,3月24天,5.79年,3.79年,14.50%,12.60%,39.7,1.50%,1.05%,1.41%,-0.29%,-0.48%,88.29,90.4,13.67,104.07,0.90%,64%,16%,16%,0.53,-0.02,1.07,AA+,4.20%,32
40,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,114.72,0.10%,0.57%,8.65,0.82%,17,1.60%,7.41,0.8,16.70%,116.73,-1.70%,3月23天,5.79年,3.79年,19.60%,22.90%,9.1,0.12%,-0.36%,0.02%,-2.47%,-2.66%,89.43,92.81,34.01,126.82,-9.50%,41%,<2%,16%,0.83,2.55,-0.68,AA,3.90%,51
