,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,未来转债,128063,2019-04-24,德尔未来,2631,其他,108.6,0.91%,1.81%,9.74,3.73%,33,4.80%,8.68,3.86,12.20%,112.21,-3.20%,4月14天,5.85年,4.85年,9.70%,10.90%,6.3,3.02%,2.19%,2.86%,0.14%,-0.21%,82.15,92.34,35.88,128.22,-15.30%,52%,<2%,16%,0.73,3.79,-1.8,AA-,6.00%,67
12,参林转债,113533,2019-04-24,大参林,603233,医药,117.74,0.02%,-1.29%,55.61,-1.59%,27,2.30%,48.05,6.9,15.70%,115.73,1.70%,4月13天,5.85年,3.85年,4.50%,5.20%,10,-0.68%,-1.08%,-0.76%,-3.14%,-3.31%,85.4,85.55,39.88,125.43,-6.10%,46%,<2%,16%,0.8,1.88,-0.17,AA,5.00%,52
13,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,100.63,-0.41%,0.16%,6.95,-0.43%,2.4,0.50%,7.8,2.02,-10.90%,89.1,12.90%,4月12天,5.85年,3.85年,14.70%,13.10%,4.6,2.09%,1.66%,2.00%,0.78%,0.60%,85.51,85.65,20.35,106,-5.10%,50%,12%,17%,0.56,1.25,-0.06,AA,5.00%,30
14,亚药转债,128062,2019-04-24,亚太药业,2370,医药,106.61,-0.37%,-1.99%,17.22,-3.48%,67,6.50%,16.3,3.6,5.60%,105.64,0.90%,4月11天,5.85年,3.85年,10.40%,11.00%,9.7,2.09%,1.49%,1.97%,-0.72%,-0.89%,85.32,90.73,28.42,119.15,-10.50%,59%,<2%,16%,0.68,2.72,-1.08,AA,5.00%,73
15,现代转债,110057,2019-04-30,现代制药,600420,医药,106.38,-0.26%,0.26%,9.19,0.00%,30,1.70%,10.09,1.39,-8.90%,91.08,16.80%,4月11天,5.84年,3.84年,16.60%,15.20%,16.2,0.74%,0.39%,0.67%,-0.69%,-0.86%,88.55,88.61,17.85,106.46,-0.10%,48%,17%,16%,0.54,0.45,0.65,AAA,4.00%,40
16,百姓转债,113531,2019-04-22,老百姓,603883,医药,111.4,0.32%,-1.18%,59.73,-1.37%,4.6,1.30%,60.59,5.26,-1.40%,98.58,13.00%,4月10天,4.83年,2.83年,1.90%,1.90%,3.3,0.22%,-0.25%,0.13%,-3.00%,-3.11%,87.88,89.13,21.38,110.51,0.80%,36%,18%,16%,0.63,0.17,1.08,AA,5.00%,24
17,精测转债,123025,2019-04-19,精测电子,300567,电子,107.1,-0.49%,0.61%,43.65,0.23%,4.7,1.20%,50.25,5.78,-13.10%,86.87,23.30%,4月11天,5.83年,3.83年,3.50%,3.00%,3.8,1.68%,1.13%,1.57%,-0.71%,-0.91%,82.71,84.46,20.98,105.44,1.60%,72%,20%,17%,0.55,-0.43,1.53,AA-,6.00%,27
18,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,109,0.32%,-0.04%,24.9,0.57%,7.6,0.70%,28.33,6.29,-12.10%,87.89,24.00%,4月11天,5.83年,3.83年,4.70%,4.10%,10.5,1.44%,0.88%,1.33%,-1.23%,-1.41%,85.58,89.48,16.89,106.38,2.50%,42%,20%,16%,0.5,-0.37,1.38,AA,5.00%,37
19,大丰转债!,113530,2019-04-18,大丰实业,603081,建筑,98.18,0.41%,-0.29%,12.45,0.40%,5.4,0.90%,16.88,2.83,-26.20%,73.76,33.10%,4月5天,5.83年,3.83年,12.60%,9.30%,6.3,3.87%,3.19%,3.73%,1.45%,1.25%,85.68,92.29,8.31,100.61,-2.40%,54%,14%,16%,0.29,0.48,0.12,AA,5.00%,28
20,中装转债!,128060,2019-04-15,中装建设,2822,建筑,99.188,0.08%,2.14%,5.7,3.83%,8.2,1.60%,6.24,1.55,-8.70%,91.35,8.60%,4月11天,5.83年,3.83年,15.40%,14.00%,5.3,2.35%,1.92%,2.27%,1.16%,0.97%,85.59,85.73,21.78,107.52,-7.70%,67%,8%,17%,0.58,1.89,-0.58,AA,5.00%,63
21,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,101,0.00%,-0.24%,7.95,-0.50%,63,1.20%,9.34,1.05,-14.90%,85.12,18.70%,4月3天,5.82年,3.82年,10.20%,8.70%,50,1.22%,0.95%,1.16%,0.26%,0.16%,87.36,86.42,13.65,100.07,0.90%,37%,17%,15%,0.48,0.23,0.74,AAA,4.00%,78
22,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,98,-0.56%,0.20%,19.78,-0.75%,1.5,0.70%,24.9,3.07,-20.60%,79.44,23.40%,4月0天,4.81年,2.81年,12.90%,10.20%,2.1,3.12%,2.59%,3.01%,1.41%,1.26%,82.45,80.42,17.41,97.83,0.20%,66%,19%,18%,0.47,-0.32,1.27,A+,7.50%,21
23,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,99.511,0.11%,-0.11%,6.22,0.00%,6.8,1.10%,7.19,1.62,-13.50%,86.51,15.00%,4月0天,5.81年,4.81年,26.60%,23.00%,6,2.62%,2.13%,2.52%,1.22%,1.00%,83.17,87.31,18.51,105.82,-6.00%,40%,11%,18%,0.51,1.42,-0.31,AA,5.00%,37
24,亨通转债!,110056,2019-04-16,亨通光电,600487,通信互联网,97.17,0.01%,-0.08%,15.87,-0.19%,12,0.70%,21.79,2.34,-27.20%,72.83,33.40%,3月28天,5.81年,3.81年,5.70%,4.20%,17.3,3.01%,2.52%,2.91%,1.64%,1.46%,83.9,84.81,10.58,95.39,1.90%,46%,20%,16%,0.36,-0.48,1.21,AA+,5.50%,53
25,通威转债,110054,2019-04-10,通威股份,600438,农业,128.6,0.06%,0.64%,15.59,0.84%,92,1.40%,12.28,3.98,27.00%,126.95,1.30%,3月25天,5.80年,3.80年,8.30%,10.50%,50,-1.85%,-2.32%,-1.95%,-5.24%,-5.42%,87.59,90.02,45.9,135.92,-5.40%,61%,<2%,16%,0.83,1.87,-0.1,AA+,4.50%,15
26,长信转债!,123022,2019-04-10,长信科技,300088,通信互联网,104.099,0.07%,-0.24%,5,-0.40%,2,0.20%,6.25,2.2,-20.00%,80,30.10%,3月26天,5.80年,3.80年,10.70%,8.60%,12.3,1.81%,1.33%,1.71%,-0.07%,-0.26%,85.68,87.33,12.98,100.31,3.80%,79%,22%,16%,0.43,-0.66,1.53,AA,5.00%,19
27,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,112.36,0.04%,0.72%,17.25,1.17%,6.6,0.70%,17.6,2.89,-2.00%,98.01,14.60%,3月26天,5.80年,3.80年,11.50%,11.30%,8.8,0.49%,0.01%,0.39%,-1.95%,-2.14%,85.91,87.56,24.69,112.25,0.10%,42%,17%,16%,0.64,0.28,1,AA,5.00%,27
28,苏银转债,110053,2019-04-03,江苏银行,600919,金融,106.02,-0.17%,0.44%,7.38,0.54%,287,1.30%,7.9,0.81,-6.60%,93.42,13.50%,3月23天,5.79年,无权,23.50%,21.90%,200,2.11%,1.51%,1.99%,无权,无权,无权,95.59,19.01,114.6,-7.50%,25%,9%,18%,0.5,2.03,-0.84,AAA,4.00%,65
29,浙商转债!,113022,2019-03-28,浙商证券,601878,金融,106.28,-0.24%,-0.14%,8.94,-1.22%,17,0.50%,12.53,2.14,-28.70%,71.35,49.00%,3月22天,5.79年,无权,11.70%,8.40%,35,0.61%,0.28%,0.54%,无权,无权,无权,88.01,8.52,96.52,10.10%,50%,34%,18%,0.31,-1.62,2.36,AAA,4.00%,35
30,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,119.52,1.59%,1.55%,47.55,4.03%,53,4.50%,40.52,6.09,17.30%,117.35,1.80%,3月19天,5.79年,3.79年,5.10%,6.00%,10,-0.18%,-0.73%,-0.29%,-3.54%,-3.71%,85.76,89.68,38.35,128.03,-6.60%,46%,<2%,16%,0.78,1.96,-0.27,AA,5.00%,16
31,视源转债,128059,2019-04-02,视源股份,2841,电子,112.601,0.00%,1.05%,76.86,1.53%,5.9,0.60%,75.71,13.94,1.50%,101.52,10.90%,3月19天,5.79年,3.79年,1.90%,1.90%,9.4,0.26%,-0.18%,0.17%,-2.06%,-2.24%,85.76,86.66,27.78,114.44,-1.60%,55%,15%,16%,0.69,0.67,0.71,AA,5.00%,15
32,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,107.55,0.05%,-0.18%,9.88,-0.30%,0.9,0.10%,11.99,1.42,-17.60%,82.4,30.50%,3月19天,5.78年,3.78年,9.90%,8.20%,12,1.30%,0.80%,1.20%,-0.85%,-1.04%,87.63,90.2,13.56,103.75,3.70%,41%,23%,17%,0.43,-0.54,1.41,AA+,4.50%,21
33,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,112.35,-0.34%,-0.96%,5.72,-2.05%,2,0.30%,5.54,2.63,3.20%,103.25,8.80%,3月16天,5.77年,3.77年,9.80%,10.10%,5.7,1.62%,0.93%,1.48%,-1.74%,-1.97%,86.76,93.39,25.9,119.29,-5.80%,59%,11%,16%,0.63,1.55,-0.19,AA,5.00%,36
34,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,106.811,-0.20%,-0.20%,9.2,-0.54%,12,2.00%,8.81,1.98,4.40%,104.43,2.30%,3月14天,5.77年,3.77年,11.90%,12.40%,5.8,1.72%,1.17%,1.61%,-0.66%,-0.86%,83,84.63,32.79,117.42,-9.00%,75%,<2%,16%,0.74,2.17,-0.53,AA-,6.00%,56
35,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,116.5,1.59%,1.10%,9.16,3.74%,54,2.90%,8.13,2.04,12.70%,112.67,3.40%,3月14天,5.77年,3.77年,16.80%,18.90%,16,0.38%,-0.20%,0.26%,-2.79%,-3.00%,87.92,92.82,32.14,124.95,-6.80%,43%,<2%,16%,0.72,2.03,-0.45,AA+,4.50%,33
36,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,110.885,-0.29%,-0.26%,13.48,-0.88%,2.7,0.20%,13.62,4.08,-1.00%,98.97,12.00%,3月11天,5.77年,3.77年,8.10%,8.00%,12,1.15%,0.59%,1.04%,-1.68%,-1.86%,85.84,89.76,24.08,113.84,-2.60%,47%,13%,16%,0.62,0.8,0.47,AA,5.00%,23
37,中信转债,113021,2019-03-19,中信银行,601998,金融,103.89,-0.11%,-0.12%,5.83,-0.68%,83,0.20%,7.45,0.68,-21.70%,78.26,32.80%,3月14天,5.77年,无权,14.00%,11.00%,400,2.46%,1.86%,2.34%,无权,无权,无权,95.54,9.48,105.02,-1.10%,23%,17%,17%,0.33,0.49,0.2,AAA,4.00%,55
38,富祥转债,123020,2019-03-29,富祥股份,300497,医药,108.28,0.53%,0.07%,18.38,0.88%,9.4,2.10%,18.05,3.74,1.80%,101.83,6.30%,3月12天,5.76年,3.76年,10.20%,10.40%,4.2,2.01%,1.36%,1.88%,-0.93%,-1.14%,83.34,87.24,29.41,116.66,-7.20%,64%,7%,16%,0.68,1.65,-0.18,AA-,6.00%,43
39,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,99.42,-0.12%,0.07%,20.81,-0.10%,2.8,0.40%,24.18,2.16,-13.90%,86.06,15.50%,3月12天,5.76年,3.76年,17.10%,14.70%,6.3,3.10%,2.53%,2.99%,1.28%,1.05%,83.33,85.08,20.15,105.24,-5.50%,55%,11%,17%,0.53,1.03,0.08,AA-,6.00%,34
40,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,100.043,0.03%,-0.34%,6.12,-0.49%,3.6,1.00%,6.78,2.4,-9.70%,90.27,10.80%,3月9天,5.75年,3.75年,16.00%,14.40%,3.7,3.53%,2.85%,3.40%,1.20%,0.96%,79.21,81.02,27.54,108.56,-7.80%,70%,8%,17%,0.63,1.24,0.09,A+,7.50%,44
41,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,100.63,-0.33%,0.16%,9.01,-0.33%,118,2.90%,10.29,1.42,-12.40%,87.56,14.90%,3月9天,5.75年,3.75年,14.40%,12.60%,39.7,2.28%,1.82%,2.19%,0.80%,0.61%,87.5,89.15,15.94,105.1,-4.30%,64%,11%,16%,0.5,1.19,-0.12,AA+,4.50%,37
42,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,113.661,-0.31%,-0.23%,7.91,-0.75%,29,2.80%,7.41,0.85,6.70%,106.75,6.50%,3月8天,5.75年,3.75年,21.40%,22.90%,9.1,0.28%,-0.20%,0.19%,-2.27%,-2.45%,86.09,87.74,31.18,118.92,-4.40%,42%,11%,16%,0.72,1.35,0.15,AA,5.00%,44
43,中来转债,123019,2019-03-22,中来股份,300393,能源电力,101.4,0.00%,-0.11%,17.27,-0.23%,4,0.40%,20.41,1.62,-15.40%,84.62,19.80%,3月4天,5.74年,3.74年,24.30%,20.50%,10,3.78%,3.02%,3.63%,0.86%,0.62%,83.68,90.04,18.17,108.21,-6.30%,48%,11%,18%,0.47,1.14,-0.13,AA-,6.00%,55
44,中宠转债,128054,2019-03-14,中宠股份,2891,农业,103.3,-0.03%,0.21%,34.2,0.26%,2.3,1.10%,37.97,4.26,-9.90%,90.07,14.70%,2月24天,5.72年,3.72年,5.70%,5.10%,1.9,2.03%,1.52%,1.92%,0.16%,-0.04%,78.7,77.09,28.17,105.26,-1.90%,48%,15%,16%,0.68,0.06,1.29,A+,7.50%,23
45,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,106.679,-0.30%,-0.11%,5.15,-0.58%,2.9,0.40%,4.94,1.55,4.30%,104.25,2.30%,2月22天,5.71年,3.71年,20.60%,21.50%,7.5,1.39%,0.91%,1.30%,-0.71%,-0.90%,86.05,87.71,29.14,116.85,-8.70%,42%,<2%,16%,0.7,2.3,-0.7,AA,5.00%,78
46,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,99.78,0.09%,-0.05%,13.72,0.07%,8.4,1.10%,14.96,1.02,-8.30%,91.71,8.80%,2月1天,5.66年,3.66年,30.20%,27.70%,7.5,3.49%,2.83%,3.36%,1.11%,0.90%,86.51,92.09,19.67,111.77,-10.70%,38%,5%,18%,0.52,2.57,-1.25,AA,5.00%,57
47,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,109.56,-0.14%,0.19%,13.63,0.07%,0.4,0.10%,12.31,2.63,10.70%,110.72,-1.10%,2月0天,5.65年,3.65年,13.40%,14.90%,3.9,0.25%,-0.11%,0.18%,-1.46%,-1.64%,86.12,84.74,37.41,122.16,-10.30%,49%,<2%,18%,0.76,2.83,-1.03,AA,5.00%,30
48,平银转债,127010,2019-02-18,平安银行,1,金融,117.05,0.20%,0.43%,12.49,0.97%,153,0.50%,11.77,0.94,6.10%,106.12,10.30%,56天,5.65年,无权,12.10%,12.90%,260,0.15%,-0.41%,0.03%,无权,无权,无权,95.08,26.07,121.15,-3.40%,30%,12%,16%,0.65,1.27,0.08,AAA,4.00%,51
49,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,143.03,2.87%,0.95%,9.21,4.07%,272,37.90%,5.52,2,66.80%,166.85,-14.30%,49天,5.63年,3.63年,8.50%,14.10%,5.1,-3.82%,-4.27%,-3.91%,-8.17%,-8.33%,86.41,88.07,84.87,172.94,-17.30%,45%,<2%,17%,0.94,5.21,-2.44,AA,5.00%,31
50,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,177.398,-1.05%,-1.04%,13.51,-2.17%,438,74.20%,6.97,3.11,93.80%,193.83,-8.50%,28天,5.56年,3.56年,7.30%,14.20%,3.3,-7.55%,-7.98%,-7.63%,-12.90%,-13.10%,86.88,88.54,110.77,199.32,-11.00%,80%,<2%,17%,0.96,3.51,-1.2,AA,5.00%,33
51,溢利转债,123018,2019-01-23,溢多利,300381,医药,110.009,0.33%,0.60%,9.61,1.16%,4.9,0.70%,8.41,1.94,14.30%,114.27,-3.70%,27天,5.56年,3.56年,17.00%,19.40%,6.7,0.86%,0.37%,0.76%,-1.56%,-1.75%,83.72,83.92,41.36,125.28,-12.20%,77%,<2%,17%,0.8,3.17,-1.22,AA-,6.00%,47
52,佳都转债!,110050,2019-01-21,佳都科技,600728,计算机及应用,124.76,0.10%,1.26%,10.46,1.55%,48,4.40%,7.89,4.09,32.60%,132.57,-5.90%,26天,5.56年,3.56年,5.20%,6.90%,8.8,-1.59%,-2.04%,-1.68%,-4.86%,-5.04%,86.71,87.62,52.72,140.34,-11.10%,42%,<2%,16%,0.87,3.3,-1.19,AA,5.00%,27
53,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,118.46,0.56%,0.14%,16.3,0.93%,65,1.80%,14.55,2.58,12.00%,112.03,5.70%,26天,5.56年,3.56年,2.90%,3.20%,30.1,-1.35%,-1.67%,-1.41%,-3.59%,-3.76%,89.54,88.8,32.98,121.78,-2.70%,32%,13%,16%,0.75,1.25,0.29,AAA,4.00%,24
54,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,104.6,0.02%,-0.59%,10.53,-1.03%,2.4,0.40%,11.56,2.26,-8.90%,91.09,14.80%,22天,5.55年,3.55年,9.20%,8.40%,5.3,1.80%,1.30%,1.70%,-0.21%,-0.41%,86.73,88.4,19.9,108.3,-3.40%,47%,13%,17%,0.56,0.89,0.25,AA,5.00%,8
55,奇精转债,113524,2019-01-07,奇精机械,603677,家电,99.3,0.04%,-0.29%,12.58,-0.55%,1.3,0.40%,14.76,2.51,-14.80%,85.23,16.50%,21天,5.54年,3.54年,13.50%,11.50%,3.3,3.27%,2.67%,3.15%,1.21%,1.01%,86.77,90.73,15.95,106.67,-6.90%,60%,10%,18%,0.45,1.57,-0.55,AA,5.00%,50
56,光华转债!,128051,2019-01-09,光华科技,2741,汽车,97.802,0.31%,-0.62%,12.15,-0.90%,2.2,0.90%,17.03,3.72,-28.70%,71.34,37.10%,21天,5.54年,3.54年,5.50%,3.90%,2.5,3.20%,2.65%,3.09%,1.78%,1.54%,84.26,84.59,11,95.59,2.30%,37%,22%,17%,0.35,-0.63,1.34,AA-,6.00%,20
57,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,101.72,-0.53%,0.04%,19.52,-0.96%,4.5,1.40%,21.74,2.85,-10.20%,89.79,13.30%,15天,5.53年,3.53年,13.50%,12.10%,3.2,3.74%,2.97%,3.59%,0.72%,0.49%,84.43,90.55,20.52,111.08,-8.40%,66%,8%,18%,0.51,1.71,-0.56,AA-,6.00%,78
58,伟明转债!,113523,2018-12-26,伟明环保,603568,城市公用设施,111.78,0.09%,-0.44%,19.45,-0.46%,2.9,0.40%,17.47,4.25,11.30%,111.33,0.40%,15天,5.53年,3.53年,3.70%,4.10%,6.7,0.57%,0.08%,0.47%,-2.00%,-2.19%,86.81,88.48,33.89,122.37,-8.70%,47%,<2%,16%,0.75,2.42,-0.71,AA,5.00%,26
59,福能转债,110048,2018-12-28,福能股份,600483,能源电力,110,-0.14%,-0.14%,8.01,-0.50%,11,0.40%,8.69,1.08,-7.80%,92.17,19.30%,15天,5.53年,3.53年,22.80%,21.00%,28.3,0.71%,0.24%,0.62%,-1.57%,-1.77%,88.38,90.05,18.3,108.35,1.50%,29%,19%,16%,0.55,0,1.1,AA+,4.50%,9
60,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,104.597,0.00%,0.18%,7.46,0.27%,2.3,0.50%,7.57,1.56,-1.50%,98.55,6.10%,4.8天,5.50年,3.50年,17.20%,17.00%,4,1.89%,1.37%,1.79%,-0.15%,-0.36%,84.24,84.57,29.36,113.94,-8.20%,74%,7%,18%,0.67,1.9,-0.43,AA-,6.00%,62
61,旭升转债!,113522,2018-12-11,旭升股份,603305,汽车,103.38,2.00%,1.90%,24.35,9.98%,29,6.70%,29.6,6.74,-17.70%,82.26,25.70%,转股中,5.48年,3.48年,4.30%,3.50%,4.2,2.86%,2.19%,2.72%,0.11%,-0.09%,87.02,92.52,11.84,104.37,-0.90%,63%,16%,16%,0.39,0.25,0.53,AA,5.00%,26
62,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,108.03,0.10%,-0.82%,3.4,-1.16%,9.8,0.40%,3.34,1.17,1.80%,101.8,6.10%,转股中,5.48年,3.48年,14.80%,15.00%,23,1.73%,1.13%,1.61%,-1.09%,-1.29%,88.57,93.53,22.93,116.46,-7.20%,30%,7%,16%,0.61,2.01,-0.62,AA+,4.50%,65
63,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,101.11,-0.07%,-0.64%,62.13,-1.71%,1.1,0.20%,81.49,7.07,-23.80%,76.24,32.60%,转股中,5.48年,3.48年,3.70%,2.80%,4.4,1.77%,1.38%,1.69%,0.68%,0.48%,83.93,81.23,14.18,95.41,6.00%,76%,25%,16%,0.41,-1.19,2.08,AA-,6.00%,38
64,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,117.74,0.04%,0.75%,12.6,1.04%,23,0.50%,10.89,3.18,15.70%,115.7,1.80%,转股中,5.48年,3.48年,10.20%,11.80%,36.5,-0.34%,-0.84%,-0.44%,-3.36%,-3.56%,88.84,91.31,35.13,126.44,-6.90%,60%,<2%,16%,0.76,2.1,-0.43,AA+,4.50%,33
65,桐昆转债!,113020,2018-12-12,桐昆股份,601233,服装纺织,115.99,-0.31%,0.04%,13.85,-0.36%,34,0.80%,12.51,1.59,10.70%,110.71,4.80%,转股中,5.48年,3.48年,15.10%,16.70%,38,-0.47%,-0.90%,-0.55%,-3.08%,-3.26%,88.38,89.27,32.11,121.38,-4.40%,48%,10%,16%,0.74,1.52,0.03,AA+,4.50%,26
66,特发转债,127008,2018-12-25,特发信息,70,通信互联网,226.001,1.42%,0.22%,12.77,1.67%,845,202%,5.61,3.53,128%,227.63,-0.70%,转股中,4.47年,2.47年,1.90%,4.40%,1.9,-13.60%,-14.00%,-13.70%,-17.10%,-17.10%,89.98,89.94,141.01,230.95,-2.10%,63%,<2%,17%,0.98,1.43,0.57,AA,5.00%,43
67,科森转债!,113521,2018-12-07,科森科技,603626,通信互联网,100.91,-0.33%,0.06%,8.01,-0.50%,5.3,0.90%,8.95,1.87,-10.50%,89.5,12.80%,转股中,5.47年,3.47年,18.40%,16.50%,6.1,2.59%,2.05%,2.48%,0.85%,0.63%,87.31,89.12,19.35,108.47,-7.00%,63%,10%,18%,0.53,1.68,-0.49,AA,5.00%,59
68,张行转债,128048,2018-11-29,张家港行,2839,金融,104.8,-0.76%,0.18%,5.72,-1.04%,94,3.60%,6.06,1.06,-5.60%,94.39,11.00%,转股中,5.46年,无权,24.20%,22.80%,25,1.63%,1.15%,1.54%,无权,无权,无权,90.32,21.1,111.43,-5.90%,55%,11%,18%,0.56,1.63,-0.4,AA+,4.50%,30
69,百合转债,113520,2018-11-26,梦百合,603313,其他,119.91,-1.20%,0.65%,22.7,-0.66%,4.4,0.80%,18.96,3.06,19.70%,119.73,0.20%,转股中,5.45年,3.45年,7.80%,9.40%,4.4,-0.67%,-1.17%,-0.77%,-3.90%,-4.10%,84.5,84.83,44.68,129.51,-7.40%,42%,<2%,16%,0.84,2.11,-0.3,AA-,6.00%,17
