,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,一心转债,128067,2019-05-17,一心堂,2727,医药,113.6,0.50%,0.06%,28.4,0.78%,40,5.80%,27.28,3.98,4.10%,104.11,9.10%,4月28天,5.89年,3.89年,3.70%,3.90%,6,-0.06%,-0.47%,-0.14%,-2.24%,-2.41%,85.22,85.36,30.62,115.99,-2.10%,37%,14%,16%,0.72,0.81,0.64,AA,5.00%,19
2,亚泰转债!,128066,2019-05-14,亚泰国际,2811,建筑,98.43,-0.19%,-1.06%,15.23,-2.25%,2.7,0.60%,17.49,1.93,-12.90%,87.08,13.00%,4月26天,5.89年,3.89年,17.50%,15.20%,4.8,3.20%,2.63%,3.08%,1.46%,1.25%,82.63,84.37,20.57,104.94,-6.20%,49%,9%,16%,0.56,1.19,-0.01,AA-,6.00%,22
3,永鼎转债!,110058,2019-05-08,永鼎股份,600105,通信互联网,97.25,0.01%,-0.42%,5.18,-0.96%,15,1.60%,6.5,2.38,-20.30%,79.69,22.00%,4月25天,5.88年,3.88年,15.10%,12.00%,9.8,2.99%,2.50%,2.89%,1.64%,1.45%,85.35,86.99,13.9,100.89,-3.60%,58%,13%,17%,0.43,0.8,0.1,AA,5.00%,37
4,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.02,-0.08%,-0.02%,6.53,-0.31%,11,1.40%,8.98,2.41,-27.30%,72.72,30.70%,4月25天,5.88年,3.88年,12.80%,9.30%,8,2.78%,2.40%,2.70%,2.23%,2.04%,85.35,83.99,10.5,94.49,0.60%,50%,18%,16%,0.35,-0.06,0.75,AA,5.00%,29
5,创维转债!,127013,2019-05-16,创维数字,810,电子,99.91,0.03%,0.43%,9.49,1.06%,25,2.40%,11.56,3.24,-17.90%,82.09,21.70%,4月22天,5.88年,3.88年,10.20%,8.40%,10.4,2.97%,2.40%,2.85%,0.96%,0.77%,85.36,89.26,13.52,102.78,-2.80%,47%,13%,16%,0.43,0.64,0.24,AA,5.00%,41
6,核能转债,113026,2019-05-08,中国核电,601985,能源电力,104.01,-0.03%,-0.07%,5.7,-0.18%,72,0.90%,6.32,1.86,-9.80%,90.19,15.30%,4月22天,5.88年,3.88年,8.80%,7.90%,78,0.97%,0.65%,0.91%,-0.12%,-0.29%,88.41,87.69,17,104.68,-0.60%,18%,15%,15%,0.55,0.57,0.54,AAA,4.00%,52
7,明泰转债!,113025,2019-05-07,明泰铝业,601677,有色金属,98.92,-0.18%,-0.34%,10.07,-0.98%,19,1.10%,11.49,0.98,-12.40%,87.64,12.90%,4月19天,5.87年,3.87年,31.00%,27.10%,18.4,2.73%,2.24%,2.63%,1.22%,1.03%,85.45,87.22,17.83,105.06,-5.80%,31%,10%,16%,0.53,1.41,-0.26,AA,5.00%,50
8,鼎胜转债!,113534,2019-04-30,鼎胜新材,603876,有色金属,96.4,0.16%,0.09%,16.19,0.62%,15,1.20%,20.8,2.03,-22.20%,77.84,23.80%,4月18天,5.87年,3.87年,18.00%,14.00%,12.5,3.16%,2.67%,3.06%,1.87%,1.68%,85.43,87.08,11.97,99.04,-2.70%,60%,13%,16%,0.4,0.59,0.23,AA,5.00%,43
9,核建转债,113024,2019-04-26,中国核建,601611,建筑,102.2,-0.02%,-0.22%,7.69,-0.65%,12,0.40%,9.93,2.26,-22.60%,77.44,32.00%,4月17天,5.86年,3.86年,14.80%,11.50%,30,1.27%,0.95%,1.20%,0.29%,0.13%,88.39,87.66,10.42,98.08,4.20%,43%,23%,16%,0.37,-0.51,1.27,AAA,4.00%,53
10,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,99.55,-0.44%,0.25%,5.53,-0.36%,18,2.30%,6.25,1.11,-11.50%,88.48,12.50%,4月17天,5.86年,3.86年,20.10%,17.80%,8,2.58%,2.10%,2.49%,1.05%,0.87%,85.44,87.09,18.33,105.42,-5.60%,35%,10%,16%,0.54,1.36,-0.2,AA,5.00%,44
