,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,亚泰转债,128066,2019-05-14,亚泰国际,2811,建筑,99.401,0.55%,0.27%,15.1,1.41%,7,1.50%,17.49,2.22,-13.70%,86.34,15.10%,5月9天,5.92年,3.92年,17.70%,15.20%,4.8,3.00%,2.44%,2.89%,1.21%,0.99%,86.47,90.12,13.9,104.02,-4.40%,49%,11%,16%,0.58,0.65,0.52,AA-,4.80%,15
2,永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,99.15,0.12%,-0.61%,5.5,-0.90%,23,2.30%,6.5,2.98,-15.40%,84.62,17.20%,5月8天,5.92年,3.92年,14.20%,12.00%,9.8,2.63%,2.15%,2.53%,1.14%,0.95%,86.41,88.61,14.07,102.68,-3.40%,58%,13%,17%,0.55,0.57,0.54,AA,4.60%,29
3,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,96.034,0.00%,0.79%,6.8,1.80%,40,5.20%,8.98,3.31,-24.30%,75.72,26.80%,5月8天,5.92年,3.92年,12.30%,9.30%,8,2.57%,2.20%,2.50%,1.94%,1.75%,85.53,84.31,10.33,94.64,1.50%,51%,20%,16%,0.44,-0.4,1.28,AA,4.90%,24
4,N创维转!,127013,今日上市,创维数字,810,电子,99.88,-0.12%,0.00%,9.53,-1.14%,408,39.30%,11.56,3.94,-17.60%,82.44,21.20%,5月5天,5.92年,3.92年,10.20%,8.40%,10.4,2.96%,2.39%,2.84%,0.96%,0.77%,86.04,90.33,11.29,101.62,-1.70%,47%,14%,16%,0.5,0.16,0.83,AA,4.80%,26
5,核能转债,113026,2019-05-08,中国核电,601985,能源电力,104.56,0.11%,0.28%,5.71,0.71%,104,1.30%,6.32,2.06,-9.70%,90.35,15.70%,5月5天,5.92年,3.92年,8.80%,7.90%,78,0.88%,0.56%,0.81%,-0.25%,-0.42%,89.25,88.93,15.84,104.77,-0.20%,18%,16%,15%,0.55,0.48,0.63,AAA,3.70%,47
6,明泰转债,113025,2019-05-07,明泰铝业,601677,有色金属,99.92,0.75%,0.96%,10.24,2.81%,208,11.40%,11.49,1.12,-10.90%,89.12,12.10%,5月2天,5.90年,3.90年,30.50%,27.10%,18.4,2.53%,2.04%,2.43%,0.96%,0.77%,87.02,89.59,15.56,105.15,-5.00%,31%,12%,16%,0.61,0.99,0.26,AA,4.50%,46
7,鼎胜转债,113534,2019-04-30,鼎胜新材,603876,有色金属,97.57,0.24%,0.66%,16.53,1.85%,23,1.90%,20.8,2.6,-20.50%,79.47,22.80%,5月1天,5.90年,3.90年,17.60%,14.00%,12.5,2.92%,2.44%,2.83%,1.55%,1.36%,85.99,87.96,10.55,98.51,-1.00%,61%,17%,16%,0.49,0.01,0.96,AA,4.80%,38
8,核建转债,113024,2019-04-26,中国核建,601611,建筑,103.92,-0.04%,0.26%,8.19,0.49%,23,0.70%,9.93,2.92,-17.50%,82.48,26.00%,5月0天,5.90年,3.90年,13.90%,11.50%,30,0.97%,0.65%,0.91%,-0.12%,-0.29%,89.04,88.64,12,100.64,3.30%,43%,22%,16%,0.45,-0.28,1.18,AAA,3.80%,54
9,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,102.45,1.32%,1.61%,5.93,4.40%,80,9.80%,6.25,1.26,-5.10%,94.88,8.00%,5月0天,5.90年,3.90年,18.80%,17.80%,8,2.06%,1.58%,1.97%,0.33%,0.14%,87.51,90.2,19.02,109.22,-6.20%,35%,11%,16%,0.67,1.34,0.05,AA,4.30%,38
10,未来转债,128063,2019-04-24,德尔未来,2631,其他,109.179,-0.47%,-2.16%,9.41,-3.68%,65,9.40%,8.74,3.47,7.70%,107.67,1.40%,4月27天,5.88年,4.88年,10.00%,10.80%,6.3,2.91%,2.08%,2.74%,0.03%,-0.31%,88.56,100.77,23.54,124.32,-12.20%,52%,<2%,16%,0.71,2.79,-1.07,AA-,4.40%,65
