,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,一心转债,128067,2019-05-17,一心堂,2727,医药,114.1,-0.48%,-1.80%,29,-3.11%,29,4.20%,27.28,3.82,6.30%,106.3,7.30%,5月4天,5.91年,3.91年,3.70%,3.90%,6,-0.14%,-0.54%,-0.22%,-2.34%,-2.51%,85.16,85.3,32.36,117.66,-3.00%,37%,9%,16%,0.74,1.07,0.43,AA,5.00%,18
2,亚泰转债!,128066,2019-05-14,亚泰国际,2811,建筑,98.337,-0.21%,-0.11%,14.63,-0.61%,2.5,0.50%,17.49,2.22,-16.40%,83.65,17.60%,5月2天,5.90年,3.90年,18.20%,15.20%,4.8,3.21%,2.64%,3.09%,1.48%,1.27%,82.55,84.29,18.4,102.69,-4.20%,49%,11%,16%,0.52,0.7,0.37,AA-,6.00%,18
3,永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,97.15,-1.97%,0.26%,5.21,-3.87%,46,4.80%,6.5,2.98,-19.80%,80.15,21.20%,5月1天,5.90年,3.90年,15.00%,12.00%,9.8,3.00%,2.52%,2.90%,1.66%,1.47%,85.29,86.93,14.23,101.16,-4.00%,58%,13%,17%,0.44,0.88,0.05,AA,5.00%,34
4,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.006,-0.06%,-0.80%,6.41,-2.58%,20,2.60%,8.98,3.31,-28.60%,71.38,33.10%,5月1天,5.90年,3.90年,13.00%,9.30%,8,2.77%,2.40%,2.70%,2.22%,2.03%,85.29,83.93,9.89,93.83,1.30%,50%,18%,16%,0.33,-0.2,0.87,AA,5.00%,28
5,创维转债!,127013,2019-05-16,创维数字,810,电子,100.67,-0.72%,-2.44%,9.97,-6.56%,40,3.80%,11.56,3.94,-13.80%,86.25,16.70%,4月28天,5.90年,3.90年,9.70%,8.40%,10.4,2.83%,2.26%,2.71%,0.76%,0.58%,85.3,89.19,16.11,105.3,-4.40%,46%,8%,16%,0.48,1,0.02,AA,5.00%,38
6,核能转债,113026,2019-05-08,中国核电,601985,能源电力,103.74,-0.27%,-0.02%,5.65,-0.53%,54,0.70%,6.32,2.06,-10.60%,89.4,16.00%,4月28天,5.90年,3.90年,8.90%,7.90%,78,1.02%,0.69%,0.95%,-0.06%,-0.23%,88.36,87.63,16.53,104.16,-0.40%,18%,15%,15%,0.54,0.52,0.57,AAA,4.00%,48
7,明泰转债,113025,2019-05-07,明泰铝业,601677,有色金属,98.53,-0.49%,-0.07%,10,-1.09%,30,1.60%,11.49,1.12,-13.00%,87.03,13.20%,4月25天,5.88年,3.88年,31.20%,27.10%,18.4,2.79%,2.30%,2.69%,1.32%,1.13%,85.38,87.16,17.51,104.67,-5.90%,31%,9%,16%,0.52,1.4,-0.27,AA,5.00%,45
8,鼎胜转债!,113534,2019-04-30,鼎胜新材,603876,有色金属,96.1,-0.05%,-0.72%,15.6,-2.13%,10,0.90%,20.8,2.6,-25.00%,75,28.10%,4月24天,5.88年,3.88年,18.70%,14.00%,12.5,3.21%,2.72%,3.11%,1.94%,1.75%,85.37,87.01,10.54,97.55,-1.50%,61%,14%,16%,0.36,0.29,0.44,AA,5.00%,40
9,核建转债,113024,2019-04-26,中国核建,601611,建筑,102.16,-0.44%,-0.31%,7.61,-2.06%,7.1,0.20%,9.93,2.92,-23.40%,76.64,33.30%,4月23天,5.88年,3.88年,15.00%,11.50%,30,1.27%,0.95%,1.21%,0.30%,0.14%,88.33,87.61,10.03,97.63,4.60%,43%,23%,16%,0.36,-0.6,1.33,AAA,4.00%,53
10,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,100.25,-0.08%,-1.81%,5.55,-3.48%,12,1.60%,6.25,1.26,-11.20%,88.8,12.90%,4月23天,5.88年,3.88年,20.10%,17.80%,8,2.45%,1.97%,2.36%,0.87%,0.69%,85.38,87.02,18.61,105.64,-5.10%,35%,8%,16%,0.54,1.26,-0.1,AA,5.00%,42
