,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
11,未来转债,128063,2019-04-24,德尔未来,2631,其他,105.677,-1.58%,-0.90%,8.8,-3.93%,12,1.70%,8.74,3.47,0.70%,100.69,5.00%,4月20天,5.86年,4.86年,10.70%,10.80%,6.3,3.51%,2.67%,3.34%,0.70%,0.34%,82.08,92.26,27.26,119.52,-11.60%,53%,<2%,16%,0.63,2.58,-1.05,AA-,6.00%,62
12,参林转债,113533,2019-04-24,大参林,603233,医药,116.6,-0.52%,-0.91%,55.49,-1.79%,18,1.50%,48.05,5.96,15.50%,115.48,1.00%,4月19天,5.86年,3.86年,4.50%,5.20%,10,-0.51%,-0.92%,-0.59%,-2.89%,-3.06%,85.34,85.48,39.74,125.22,-6.90%,46%,<2%,16%,0.8,2.05,-0.32,AA,5.00%,51
13,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.1,-0.50%,-1.34%,6.84,-3.39%,1.6,0.30%,7.8,2.26,-12.30%,87.69,15.30%,4月18天,5.86年,3.86年,14.90%,13.10%,4.6,2.00%,1.57%,1.91%,0.66%,0.48%,85.45,85.59,19.42,105.01,-3.70%,50%,11%,17%,0.54,0.95,0.18,AA,5.00%,31
14,亚药转债,128062,2019-04-24,亚太药业,2370,医药,105.71,0.02%,0.92%,16.75,1.45%,25,2.40%,16.3,3.4,2.80%,102.76,2.90%,4月17天,5.86年,3.86年,10.70%,11.00%,9.7,2.24%,1.63%,2.12%,-0.50%,-0.68%,85.26,90.66,26.27,116.93,-9.60%,59%,<2%,16%,0.65,2.46,-0.93,AA,5.00%,68
15,现代转债,110057,2019-04-30,现代制药,600420,医药,106.38,-1.38%,0.51%,9.03,-1.63%,31,1.80%,10.09,1.52,-10.50%,89.49,18.90%,4月17天,5.86年,3.86年,16.90%,15.20%,16.2,0.74%,0.39%,0.67%,-0.68%,-0.85%,88.49,88.56,16.88,105.44,0.90%,48%,19%,16%,0.53,0.24,0.83,AAA,4.00%,39
16,百姓转债,113531,2019-04-22,老百姓,603883,医药,110,-1.61%,-0.69%,59,-3.75%,9.4,2.60%,60.59,5.34,-2.60%,97.38,13.00%,4月16天,4.85年,2.85年,1.90%,1.90%,3.3,0.49%,0.02%,0.39%,-2.58%,-2.69%,87.81,89.06,20.65,109.71,0.30%,36%,17%,16%,0.61,0.25,0.97,AA,5.00%,25
17,精测转债,123025,2019-04-19,精测电子,300567,电子,107.3,-0.19%,-1.91%,62.49,-4.16%,3.4,0.80%,75.88,10.04,-17.60%,82.35,30.30%,4月17天,5.85年,3.85年,3.70%,3.00%,3.8,1.64%,1.09%,1.53%,-0.75%,-0.95%,82.63,84.38,18.16,102.55,4.60%,72%,21%,17%,0.5,-1.07,2.14,AA-,6.00%,26
18,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,109,-2.68%,1.07%,24.62,-3.30%,8.8,0.80%,28.33,7.16,-13.10%,86.9,25.40%,4月17天,5.84年,3.84年,4.70%,4.10%,10.5,1.44%,0.88%,1.32%,-1.22%,-1.40%,85.52,89.42,16.34,105.76,3.10%,42%,22%,16%,0.49,-0.51,1.5,AA,5.00%,38
19,大丰转债!,113530,2019-04-18,大丰实业,603081,建筑,97.87,-0.61%,-0.24%,11.91,-3.33%,1.6,0.30%,16.88,3.83,-29.40%,70.56,38.70%,4月11天,5.84年,3.84年,13.20%,9.30%,6.3,3.92%,3.24%,3.78%,1.52%,1.32%,85.61,92.23,7.02,99.25,-1.40%,54%,15%,16%,0.25,0.23,0.28,AA,5.00%,28
20,中装转债!,128060,2019-04-15,中装建设,2822,建筑,98.305,-0.62%,0.92%,5.39,0.56%,2.6,0.50%,6.24,1.7,-13.60%,86.38,13.80%,4月17天,5.84年,3.84年,16.20%,14.00%,5.3,2.51%,2.08%,2.42%,1.38%,1.19%,85.53,85.67,18.43,104.1,-5.60%,67%,12%,17%,0.53,1.36,-0.22,AA,5.00%,60
21,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,101,-0.03%,-0.68%,7.91,-1.49%,63,1.20%,9.34,1.24,-15.30%,84.69,19.30%,4月9天,5.83年,3.83年,10.20%,8.70%,50,1.22%,0.94%,1.16%,0.26%,0.16%,87.3,86.37,13.45,99.82,1.20%,37%,16%,15%,0.47,0.17,0.78,AAA,4.00%,78
22,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,98.702,-0.34%,-1.26%,19.12,-3.73%,1,0.50%,24.9,3.86,-23.20%,76.79,28.50%,4月6天,4.83年,2.83年,13.30%,10.20%,2.1,2.95%,2.43%,2.85%,1.16%,1.02%,82.36,80.33,15.76,96.09,2.70%,67%,20%,18%,0.43,-0.82,1.7,A+,7.50%,20
23,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,99.35,-0.47%,-1.15%,6.19,-3.43%,2.1,0.40%,7.39,1.93,-16.20%,83.76,18.60%,4月6天,5.83年,4.83年,26.70%,22.40%,6,2.64%,2.15%,2.54%,1.25%,1.03%,83.1,87.24,16.89,104.14,-4.60%,40%,11%,18%,0.47,1.06,-0.06,AA,5.00%,35
24,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,97.27,-0.56%,-0.36%,15.78,-2.59%,11,0.70%,21.79,3.22,-27.60%,72.42,34.30%,4月4天,5.82年,3.82年,5.80%,4.20%,17.3,2.98%,2.50%,2.89%,1.61%,1.43%,83.83,84.74,10.39,95.13,2.30%,46%,19%,16%,0.36,-0.55,1.27,AA+,5.50%,53
25,通威转债,110054,2019-04-10,XD通威股,600438,农业,125.1,-1.53%,-0.78%,14.63,-2.98%,31,0.50%,12.44,3.17,17.60%,117.6,6.40%,4月1天,5.82年,3.82年,8.80%,10.40%,50,-1.37%,-1.84%,-1.47%,-4.55%,-4.73%,87.53,89.96,38,127.96,-2.20%,61%,<2%,16%,0.78,1.07,0.51,AA+,4.50%,15
26,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,104,-0.06%,-0.11%,5.1,-0.39%,14,1.10%,6.38,2.81,-20.10%,79.94,30.10%,4月2天,5.82年,3.82年,10.50%,8.40%,12.3,1.82%,1.34%,1.72%,-0.05%,-0.23%,85.62,87.27,12.99,100.26,3.70%,79%,22%,16%,0.43,-0.65,1.52,AA,5.00%,16
27,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,112.05,-0.84%,-0.74%,16.6,-2.64%,13,1.30%,17.6,2.95,-5.70%,94.32,18.80%,4月2天,5.81年,3.81年,12.00%,11.30%,8.8,0.53%,0.05%,0.44%,-1.88%,-2.06%,85.84,87.49,22.21,109.7,2.10%,42%,19%,16%,0.6,-0.21,1.42,AA,5.00%,27
28,苏银转债,110053,2019-04-03,江苏银行,600919,金融,106.86,-0.47%,0.07%,7.26,-0.82%,119,0.60%,7.9,0.87,-8.10%,91.9,16.30%,3月29天,5.81年,无权,23.90%,21.90%,200,1.96%,1.37%,1.84%,无权,无权,无权,95.54,18.12,113.65,-6.00%,25%,11%,18%,0.5,1.67,-0.55,AAA,4.00%,62
29,浙商转债!,113022,2019-03-28,浙商证券,601878,金融,106.68,-0.11%,0.08%,8.79,-0.11%,29,0.80%,12.53,3,-29.80%,70.15,52.10%,3月28天,5.80年,无权,11.90%,8.40%,35,0.54%,0.21%,0.47%,无权,无权,无权,87.95,8.04,96,11.10%,50%,35%,18%,0.3,-1.82,2.55,AAA,4.00%,33
30,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,119.8,-1.44%,-1.01%,46.06,-3.26%,27,2.30%,40.52,5.19,13.70%,113.67,5.40%,3月25天,5.80年,3.80年,5.30%,6.00%,10,-0.22%,-0.77%,-0.33%,-3.58%,-3.75%,85.7,89.61,35.33,124.94,-4.10%,46%,<2%,16%,0.75,1.35,0.21,AA,5.00%,16
31,视源转债,128059,2019-04-02,视源股份,2841,电子,113.2,-2.12%,-0.47%,74.62,-3.94%,1.1,0.10%,75.71,13.73,-1.40%,98.56,14.90%,3月25天,5.80年,3.80年,1.90%,1.90%,9.4,0.17%,-0.27%,0.08%,-2.18%,-2.36%,85.7,86.6,25.55,112.14,0.90%,55%,18%,16%,0.66,0.13,1.18,AA,5.00%,14
32,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,107.5,-0.46%,-0.54%,9.69,-2.42%,4.3,0.30%,11.99,1.73,-19.20%,80.82,33.00%,3月25天,5.79年,3.79年,10.10%,8.20%,12,1.30%,0.81%,1.20%,-0.83%,-1.03%,87.57,90.13,12.72,102.85,4.50%,41%,23%,17%,0.41,-0.7,1.55,AA+,4.50%,21
33,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,111.101,-0.80%,-0.75%,5.64,-2.59%,3.1,0.50%,5.64,2.59,0.00%,100,11.10%,3月22天,5.79年,3.79年,10.00%,10.00%,5.7,1.81%,1.13%,1.67%,-1.45%,-1.69%,86.69,93.32,23.73,117.05,-5.10%,59%,9%,16%,0.6,1.3,-0.04,AA,5.00%,36
34,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,107.756,-1.00%,-1.78%,9.22,-3.76%,12,1.90%,8.81,1.89,4.70%,104.65,3.00%,3月20天,5.78年,3.78年,11.90%,12.40%,5.8,1.55%,1.01%,1.44%,-0.88%,-1.08%,82.93,84.55,33.04,117.59,-8.40%,75%,<2%,16%,0.74,2.01,-0.39,AA-,6.00%,53
35,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,114,-0.18%,-2.49%,8.75,-3.95%,33,1.80%,8.13,1.81,7.60%,107.63,5.90%,3月20天,5.78年,3.78年,17.50%,18.90%,16,0.76%,0.18%,0.65%,-2.24%,-2.45%,87.86,92.75,28.42,121.17,-5.90%,43%,<2%,16%,0.68,1.73,-0.27,AA+,4.50%,32
36,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,110.6,-0.38%,-1.17%,13.18,-2.59%,9.5,0.70%,13.62,4.12,-3.20%,96.77,14.30%,3月17天,5.78年,3.78年,8.30%,8.00%,12,1.19%,0.63%,1.08%,-1.61%,-1.79%,85.78,89.69,22.62,112.31,-1.50%,48%,13%,16%,0.6,0.52,0.68,AA,5.00%,22
37,中信转债,113021,2019-03-19,中信银行,601998,金融,104.25,-0.33%,-0.01%,5.79,-1.03%,82,0.20%,7.45,0.87,-22.30%,77.72,34.10%,3月20天,5.78年,无权,14.10%,11.00%,400,2.39%,1.79%,2.27%,无权,无权,无权,95.49,9.29,104.77,-0.50%,23%,17%,17%,0.33,0.36,0.31,AAA,4.00%,48
38,富祥转债,123020,2019-03-29,富祥股份,300497,医药,107.75,-0.41%,-0.99%,17.68,-2.16%,2.8,0.60%,18.05,3.67,-2.00%,97.95,10.00%,3月18天,5.77年,3.77年,10.60%,10.40%,4.2,2.09%,1.44%,1.96%,-0.80%,-1.02%,83.27,87.17,26.7,113.86,-5.40%,64%,9%,16%,0.65,1.13,0.21,AA-,6.00%,44
39,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,99.03,-0.62%,-0.17%,20.28,-1.55%,0.7,0.10%,24.18,2.51,-16.10%,83.87,18.10%,3月18天,5.77年,3.77年,17.50%,14.70%,6.3,3.17%,2.59%,3.05%,1.37%,1.15%,83.26,85.01,18.83,103.84,-4.60%,55%,12%,17%,0.51,0.79,0.27,AA-,6.00%,32
40,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,100.48,-0.33%,-1.17%,5.99,-2.44%,3.2,0.90%,6.78,2.66,-11.70%,88.35,13.70%,3月15天,5.77年,3.77年,16.30%,14.40%,3.7,3.44%,2.77%,3.31%,1.08%,0.84%,79.12,80.93,26.26,107.18,-6.30%,70%,8%,17%,0.61,0.82,0.42,A+,7.50%,45
41,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,101.26,-1.54%,0.67%,8.94,-1.76%,68,1.70%,10.29,1.62,-13.10%,86.88,16.60%,3月15天,5.77年,3.77年,14.50%,12.60%,39.7,2.16%,1.70%,2.07%,0.64%,0.45%,87.44,89.09,15.6,104.69,-3.30%,64%,13%,16%,0.49,0.96,0.07,AA+,4.50%,34
42,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,113.141,-1.03%,-2.74%,7.78,-5.35%,13,1.20%,7.41,0.8,5.00%,104.99,7.80%,3月14天,5.77年,3.77年,21.80%,22.90%,9.1,0.37%,-0.12%,0.27%,-2.14%,-2.33%,86.03,87.68,29.9,117.58,-3.80%,42%,<2%,16%,0.7,1.16,0.29,AA,5.00%,44
43,中来转债,123019,2019-03-22,中来股份,300393,能源电力,101.23,-0.25%,-1.28%,16.9,-3.43%,3.8,0.40%,20.41,1.92,-17.20%,82.8,22.30%,3月10天,5.76年,3.76年,24.80%,20.50%,10,3.80%,3.04%,3.65%,0.90%,0.66%,83.61,89.96,17.01,106.97,-5.40%,48%,10%,18%,0.45,0.94,0,AA-,6.00%,55
44,中宠转债,128054,2019-03-14,中宠股份,2891,农业,103.5,-0.48%,-0.26%,33.16,-1.13%,0.3,0.10%,37.97,4.73,-12.70%,87.33,18.50%,3月0天,5.73年,3.73年,5.90%,5.10%,1.9,1.98%,1.48%,1.88%,0.11%,-0.09%,78.61,77.01,26.23,103.23,0.30%,48%,17%,16%,0.65,-0.41,1.73,A+,7.50%,21
45,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,106.103,-0.03%,-0.38%,5.12,-0.58%,12,1.50%,4.94,1.49,3.60%,103.64,2.40%,2月28天,5.73年,3.73年,20.80%,21.50%,7.5,1.49%,1.00%,1.39%,-0.57%,-0.75%,85.99,87.64,28.75,116.39,-8.80%,42%,<2%,16%,0.7,2.32,-0.72,AA,5.00%,78
46,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,99.48,-0.11%,-0.84%,13.19,-2.01%,3.4,0.50%,14.96,1.11,-11.80%,88.17,12.80%,2月7天,5.67年,3.67年,31.40%,27.70%,7.5,3.54%,2.88%,3.41%,1.19%,0.98%,86.45,92.03,17.5,109.52,-9.20%,38%,6%,18%,0.47,2.14,-0.98,AA,5.00%,54
47,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,108.74,-0.71%,0.66%,13.19,-0.08%,0.3,0.10%,12.31,2.37,7.10%,107.15,1.50%,2月6天,5.67年,3.67年,13.90%,14.90%,3.9,0.39%,0.02%,0.31%,-1.26%,-1.44%,86.05,84.68,34.51,119.19,-8.80%,49%,<2%,18%,0.73,2.42,-0.76,AA,5.00%,27
48,平银转债,127010,2019-02-18,平安银行,1,金融,117.4,-0.51%,-0.05%,12.29,-0.89%,75,0.20%,11.77,0.89,4.40%,104.42,12.40%,2月2天,5.66年,无权,12.30%,12.90%,260,0.09%,-0.46%,-0.02%,无权,无权,无权,95.02,24.88,119.9,-2.10%,30%,14%,16%,0.63,0.96,0.34,AAA,4.00%,49
49,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,133.999,-0.74%,-1.89%,8.45,-2.87%,46,6.80%,5.52,1.2,53.10%,153.08,-12.50%,55天,5.64年,3.64年,9.20%,14.10%,5.1,-2.67%,-3.13%,-2.76%,-6.54%,-6.70%,86.34,88.01,71.83,159.84,-16.20%,45%,<2%,17%,0.91,4.82,-2.21,AA,5.00%,32
50,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,166.8,1.19%,-1.55%,13.19,-0.38%,648,117%,6.97,1.6,89.20%,189.24,-11.90%,34天,5.58年,3.58年,7.50%,14.20%,3.3,-6.48%,-6.92%,-6.57%,-11.50%,-11.70%,86.81,88.48,106.36,194.84,-14.40%,80%,<2%,17%,0.96,4.42,-1.87,AA,5.00%,34
51,溢利转债,123018,2019-01-23,溢多利,300381,医药,110,-0.43%,-0.72%,9.71,-1.42%,5.6,0.80%,8.41,1.69,15.50%,115.46,-4.70%,33天,5.58年,3.58年,16.80%,19.40%,6.7,0.86%,0.37%,0.76%,-1.55%,-1.74%,83.64,83.85,42.44,126.28,-12.90%,77%,<2%,17%,0.81,3.37,-1.35,AA-,6.00%,45
52,佳都转债!,110050,2019-01-21,佳都科技,600728,计算机及应用,123,-1.26%,-0.97%,10.08,-2.61%,27,2.50%,7.89,3.09,27.80%,127.76,-3.70%,32天,5.57年,3.57年,5.40%,6.90%,8.8,-1.33%,-1.78%,-1.42%,-4.48%,-4.66%,86.64,87.55,48.54,136.09,-9.60%,43%,<2%,16%,0.86,2.85,-0.87,AA,5.00%,27
53,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,118.49,0.14%,0.09%,16.11,0.31%,20,0.60%,14.55,2.31,10.70%,110.72,7.00%,32天,5.57年,3.57年,2.90%,3.20%,30.1,-1.35%,-1.67%,-1.41%,-3.58%,-3.75%,89.49,88.75,31.98,120.73,-1.90%,32%,14%,16%,0.74,1.05,0.47,AAA,4.00%,25
54,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,105.04,-1.32%,-0.44%,10.36,-3.27%,2.6,0.50%,11.56,2.48,-10.40%,89.62,17.20%,28天,5.57年,3.57年,9.30%,8.40%,5.3,1.72%,1.22%,1.62%,-0.32%,-0.52%,86.67,88.34,18.94,107.28,-2.10%,47%,15%,17%,0.54,0.61,0.49,AA,5.00%,7
55,奇精转债,113524,2019-01-07,奇精机械,603677,家电,99.55,-0.24%,-0.61%,12.66,-1.86%,3,0.90%,14.76,2.94,-14.20%,85.77,16.10%,27天,5.56年,3.56年,13.50%,11.50%,3.3,3.21%,2.61%,3.09%,1.14%,0.94%,86.7,90.66,16.3,106.96,-6.90%,60%,9%,18%,0.46,1.59,-0.55,AA,5.00%,47
56,光华转债!,128051,2019-01-09,光华科技,2741,汽车,97,-0.72%,-0.39%,11.8,-3.44%,1.4,0.60%,17.03,5.22,-30.70%,69.29,40.00%,27天,5.56年,3.56年,5.70%,3.90%,2.5,3.34%,2.80%,3.23%,2.00%,1.76%,84.18,84.51,9.91,94.42,2.70%,37%,21%,17%,0.32,-0.73,1.39,AA-,6.00%,20
57,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,102.8,-1.25%,-1.68%,19.59,-5.73%,2.3,0.70%,21.74,3.17,-9.90%,90.11,14.10%,21天,5.55年,3.55年,13.40%,12.10%,3.2,3.53%,2.77%,3.38%,0.43%,0.20%,84.35,90.47,20.8,111.27,-7.60%,66%,6%,18%,0.51,1.52,-0.39,AA-,6.00%,78
58,伟明转债!,113523,2018-12-26,伟明环保,603568,城市公用设施,109.48,-0.75%,-0.92%,18.35,-2.39%,0.9,0.10%,17.47,3.82,5.00%,105.04,4.20%,21天,5.55年,3.55年,3.90%,4.10%,6.7,0.96%,0.46%,0.86%,-1.44%,-1.63%,86.75,88.42,29.08,117.5,-6.80%,47%,<2%,16%,0.7,1.86,-0.34,AA,5.00%,19
59,福能转债,110048,2018-12-28,福能股份,600483,能源电力,110.66,-0.14%,-0.48%,8.03,-1.11%,0.4,0.00%,8.69,1.18,-7.60%,92.41,19.80%,21天,5.54年,3.54年,22.70%,21.00%,28.3,0.60%,0.13%,0.50%,-1.73%,-1.92%,88.32,89.99,18.5,108.5,2.00%,29%,19%,16%,0.56,-0.09,1.2,AA+,4.50%,9
60,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,104,-1.61%,-1.66%,7.3,-5.07%,2.6,0.60%,7.57,1.58,-3.60%,96.43,7.80%,10天,5.51年,3.51年,17.60%,17.00%,4,1.99%,1.47%,1.89%,0.01%,-0.20%,84.17,84.5,27.86,112.36,-7.40%,74%,<2%,18%,0.64,1.68,-0.28,AA-,6.00%,58
61,旭升转债!,113522,2018-12-11,旭升股份,603305,汽车,101.3,-0.28%,-0.36%,21.76,-2.29%,1,0.20%,29.6,8.19,-26.50%,73.51,37.80%,4.3天,5.50年,3.50年,4.80%,3.50%,4.2,3.24%,2.57%,3.10%,0.67%,0.47%,86.96,92.45,7.62,100.07,1.20%,63%,18%,16%,0.28,-0.24,0.79,AA,5.00%,24
62,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,107.96,-0.75%,0.75%,3.39,0.00%,34,1.40%,3.34,1.15,1.50%,101.5,6.40%,3.3天,5.50年,3.50年,14.80%,15.00%,23,1.74%,1.14%,1.62%,-1.07%,-1.27%,88.52,93.47,22.77,116.24,-7.10%,30%,8%,16%,0.61,1.98,-0.6,AA+,4.50%,64
63,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,101.01,-0.29%,-0.82%,61.65,-2.74%,0.4,0.10%,81.49,9.27,-24.30%,75.65,33.50%,2.3天,5.49年,3.49年,3.70%,2.80%,4.4,1.78%,1.40%,1.70%,0.70%,0.51%,83.86,81.16,13.9,95.06,6.30%,76%,24%,16%,0.4,-1.25,2.13,AA-,6.00%,39
64,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,116.8,-1.02%,-0.11%,12.18,-1.54%,31,0.70%,10.89,2.75,11.80%,111.85,4.40%,2.3天,5.49年,3.49年,10.60%,11.80%,36.5,-0.19%,-0.69%,-0.29%,-3.13%,-3.33%,88.78,91.25,32.02,123.27,-5.20%,60%,<2%,16%,0.73,1.7,-0.14,AA+,4.50%,33
65,桐昆转债!,113020,2018-12-12,桐昆股份,601233,服装纺织,116,-1.29%,-0.27%,13.5,-2.17%,30,0.70%,12.51,1.44,7.90%,107.91,7.50%,转股中,5.49年,3.49年,15.40%,16.70%,38,-0.47%,-0.90%,-0.55%,-3.07%,-3.25%,88.32,89.21,29.87,119.08,-2.60%,48%,13%,16%,0.72,1.1,0.37,AA+,4.50%,26
66,特发转债,127008,2018-12-25,特发信息,70,通信互联网,222.1,-7.65%,-2.14%,12.65,-9.96%,849,87.40%,5.61,1.55,125%,225.49,-1.50%,转股中,4.48年,2.48年,4.40%,10.00%,4.2,-13.30%,-13.60%,-13.40%,-16.70%,-16.70%,89.91,89.87,138.94,228.81,-2.90%,63%,<2%,17%,0.98,1.6,0.41,AA,5.00%,46
67,科森转债!,113521,2018-12-07,科森科技,603626,通信互联网,101.64,-1.10%,0.57%,8.09,-0.98%,2.6,0.40%,8.95,2.09,-9.60%,90.39,12.40%,转股中,5.48年,3.48年,18.30%,16.50%,6.1,2.44%,1.91%,2.34%,0.65%,0.43%,87.25,89.05,20.02,109.07,-6.80%,63%,10%,18%,0.54,1.64,-0.44,AA,5.00%,55
68,张行转债,128048,2018-11-29,张家港行,2839,金融,109.01,-0.45%,0.06%,5.66,-0.70%,16,0.60%,6.06,1.12,-6.60%,93.4,16.70%,转股中,5.47年,无权,24.40%,22.80%,25,0.89%,0.41%,0.79%,无权,无权,无权,90.26,20.52,110.78,-1.60%,55%,17%,18%,0.55,0.65,0.46,AA+,4.50%,26
