,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,一心转债,128067,2019-05-17,一心堂,2727,医药,113.7,-0.35%,-0.79%,28.54,-1.59%,30,4.40%,27.28,3.82,4.60%,104.62,8.70%,5月3天,5.91年,3.91年,3.70%,3.90%,6,-0.08%,-0.48%,-0.16%,-2.25%,-2.42%,85.17,85.31,31.06,116.38,-2.30%,37%,13%,16%,0.72,0.87,0.59,AA,5.00%,17
2,亚泰转债!,128066,2019-05-14,亚泰国际,2811,建筑,98.3,-0.04%,0.47%,14.75,0.82%,5.6,1.20%,17.49,2.22,-15.70%,84.33,16.60%,5月1天,5.90年,3.90年,18.10%,15.20%,4.8,3.21%,2.65%,3.10%,1.49%,1.28%,82.57,84.31,18.85,103.16,-4.70%,49%,12%,16%,0.53,0.8,0.29,AA-,6.00%,20
3,永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,97.17,0.02%,-1.05%,5.08,-2.50%,23,2.50%,6.5,2.98,-21.80%,78.15,24.30%,5月0天,5.90年,3.90年,15.40%,12.00%,9.8,3.00%,2.51%,2.90%,1.65%,1.47%,85.3,86.94,12.99,99.93,-2.80%,58%,13%,17%,0.41,0.62,0.23,AA,5.00%,35
4,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.032,0.03%,-0.18%,6.38,-0.47%,11,1.40%,8.98,3.31,-29.00%,71.05,33.80%,5月0天,5.90年,3.90年,13.10%,9.30%,8,2.77%,2.40%,2.69%,2.22%,2.03%,85.3,83.94,9.72,93.66,1.50%,50%,19%,16%,0.33,-0.24,0.9,AA,5.00%,29
5,创维转债!,127013,2019-05-16,创维数字,810,电子,99.888,-0.78%,-2.58%,9.1,-8.73%,38,3.60%,11.56,3.94,-21.30%,78.72,26.90%,4月27天,5.89年,3.89年,10.60%,8.40%,10.4,2.97%,2.40%,2.85%,0.96%,0.77%,85.31,89.2,11.72,100.93,-1.00%,46%,11%,16%,0.38,0.23,0.55,AA,5.00%,37
6,核能转债,113026,2019-05-08,中国核电,601985,能源电力,103.96,0.21%,-0.50%,5.62,-0.53%,38,0.50%,6.32,2.06,-11.10%,88.92,16.90%,4月27天,5.89年,3.89年,8.90%,7.90%,78,0.98%,0.66%,0.91%,-0.11%,-0.28%,88.37,87.64,16.21,103.85,0.10%,18%,15%,15%,0.53,0.41,0.66,AAA,4.00%,49
7,明泰转债!,113025,2019-05-07,明泰铝业,601677,有色金属,99.09,0.57%,-1.03%,9.91,-0.90%,22,1.20%,11.49,1.12,-13.80%,86.25,14.90%,4月24天,5.88年,3.88年,31.50%,27.10%,18.4,2.69%,2.20%,2.59%,1.17%,0.98%,85.4,87.17,17.03,104.19,-4.90%,31%,9%,16%,0.51,1.16,-0.08,AA,5.00%,47
8,鼎胜转债!,113534,2019-04-30,鼎胜新材,603876,有色金属,96.15,0.05%,-0.05%,15.6,0.00%,6.3,0.50%,20.8,2.6,-25.00%,75,28.20%,4月23天,5.88年,3.88年,18.70%,14.00%,12.5,3.20%,2.71%,3.10%,1.93%,1.74%,85.38,87.02,10.54,97.57,-1.50%,61%,15%,16%,0.36,0.28,0.45,AA,5.00%,43
9,核建转债,113024,2019-04-26,中国核建,601611,建筑,102.43,0.26%,-0.72%,7.51,-1.31%,5.1,0.20%,9.93,2.92,-24.40%,75.63,35.40%,4月22天,5.87年,3.87年,15.20%,11.50%,30,1.22%,0.90%,1.16%,0.24%,0.07%,88.34,87.61,9.48,97.1,5.50%,43%,24%,16%,0.35,-0.76,1.47,AAA,4.00%,52
10,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,100.223,-0.03%,-0.92%,5.45,-1.80%,8.4,1.00%,6.25,1.26,-12.80%,87.2,14.90%,4月22天,5.87年,3.87年,20.40%,17.80%,8,2.46%,1.98%,2.36%,0.88%,0.69%,85.39,87.03,17.59,104.62,-4.20%,35%,11%,16%,0.52,1.03,0.06,AA,5.00%,43
11,未来转债,128063,2019-04-24,德尔未来,2631,其他,107.27,1.51%,2.02%,9.26,5.23%,47,7.00%,8.74,3.47,5.90%,105.95,1.20%,4月19天,5.86年,4.86年,10.20%,10.80%,6.3,3.24%,2.41%,3.07%,0.39%,0.04%,82.09,92.27,31.03,123.31,-13.00%,53%,<2%,16%,0.67,3.07,-1.36,AA-,6.00%,63
12,参林转债,113533,2019-04-24,大参林,603233,医药,117.56,0.82%,-0.23%,55.9,0.74%,16,1.40%,48.05,5.96,16.30%,116.34,1.10%,4月18天,5.86年,3.86年,4.50%,5.20%,10,-0.65%,-1.06%,-0.73%,-3.09%,-3.26%,85.35,85.49,40.44,125.93,-6.60%,46%,<2%,16%,0.8,2.01,-0.27,AA,5.00%,51
