,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,CP/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
1,永鼎转债,110058,2019-05-08,永鼎股份,600105,通信互联网,97.53,0.23%,1.65%,5.6,3.32%,55,5.80%,6.5,2.98,-13.80%,86.15,13.20%,5月11天,5.93年,3.93年,14.00%,12.00%,9.8,2.92%,2.43%,2.82%,1.55%,1.36%,86.55,88.83,14.84,103.68,-5.90%,58%,12%,17%,0.57,1.15,0.04,AA,4.60%,25
2,雅化转债!,128065,2019-05-10,雅化集团,2497,石油天然气化工,95.299,-0.78%,0.53%,6.73,-0.59%,70,9.20%,8.98,3.31,-25.10%,74.94,27.20%,5月11天,5.93年,3.93年,12.40%,9.30%,8,2.70%,2.33%,2.63%,2.13%,1.94%,85.4,84.14,10.04,94.18,1.20%,51%,19%,16%,0.43,-0.36,1.22,AA,4.90%,27
3,核能转债,113026,2019-05-08,中国核电,601985,能源电力,103.91,-0.21%,-0.54%,5.61,-1.41%,124,1.50%,6.32,2.06,-11.20%,88.77,17.10%,5月8天,5.92年,3.92年,8.90%,7.90%,78,0.98%,0.66%,0.92%,-0.10%,-0.26%,89.19,88.86,14.88,103.73,0.20%,18%,15%,15%,0.53,0.4,0.68,AAA,3.70%,44
4,明泰转债,113025,2019-05-07,明泰铝业,601677,有色金属,97.41,-0.65%,0.37%,9.83,-0.51%,42,2.40%,11.49,1.12,-14.40%,85.55,13.90%,5月5天,5.91年,3.91年,31.70%,27.10%,18.4,2.98%,2.49%,2.88%,1.59%,1.40%,86.61,89.01,13.71,102.72,-5.20%,31%,11%,16%,0.56,0.96,0.21,AA,4.60%,48
5,鼎胜转债,113534,2019-04-30,鼎胜新材,603876,有色金属,96.9,-0.47%,-0.32%,16.3,-1.69%,13,1.10%,20.8,2.6,-21.60%,78.37,23.70%,5月4天,5.91年,3.91年,17.90%,14.00%,12.5,3.04%,2.56%,2.95%,1.72%,1.53%,85.83,87.74,10.08,97.81,-0.90%,61%,15%,16%,0.47,-0.01,0.94,AA,4.80%,43
6,核建转债,113024,2019-04-26,中国核建,601611,建筑,103.66,0.03%,-0.50%,8.08,-1.10%,19,0.60%,9.93,2.92,-18.60%,81.37,27.40%,5月3天,5.91年,3.91年,14.10%,11.50%,30,1.01%,0.69%,0.95%,-0.06%,-0.22%,88.98,88.57,11.47,100.03,3.60%,43%,21%,16%,0.43,-0.37,1.24,AAA,3.80%,57
7,司尔转债,128064,2019-05-07,司尔特,2538,石油天然气化工,99.7,-0.21%,-0.86%,5.59,-1.76%,20,2.50%,6.25,1.26,-10.60%,89.44,11.50%,5月3天,5.91年,3.91年,19.90%,17.80%,8,2.54%,2.06%,2.44%,1.00%,0.82%,87.02,89.48,15.75,105.23,-5.30%,35%,9%,16%,0.61,1.06,0.21,AA,4.50%,39
8,未来转债,128063,2019-04-24,德尔未来,2631,其他,103.6,-0.22%,2.15%,8.26,3.25%,44,6.70%,8.74,3.47,-5.50%,94.51,9.60%,5月0天,5.89年,4.89年,11.40%,10.80%,6.3,3.85%,3.01%,3.68%,1.10%,0.74%,87,98.72,15.88,114.6,-9.60%,52%,7%,16%,0.59,1.88,-0.55,AA-,4.70%,61
9,参林转债,113533,2019-04-24,大参林,603233,医药,115.14,-0.40%,0.75%,52.81,0.44%,44,3.90%,48.05,5.96,9.90%,109.91,4.80%,4月29天,5.89年,3.89年,4.70%,5.20%,10,-0.29%,-0.70%,-0.37%,-2.57%,-2.74%,88.59,90.25,30.06,120.31,-4.30%,46%,11%,16%,0.8,1.25,0.39,AA,4.00%,52
10,海环转债,113532,2019-04-24,海峡环保,603817,城市公用设施,101.43,-0.25%,0.33%,7.09,0.14%,3.2,0.70%,7.8,2.26,-9.10%,90.9,11.60%,4月28天,5.89年,3.89年,14.40%,13.10%,4.6,1.93%,1.51%,1.85%,0.58%,0.39%,87.21,88.18,18.21,106.39,-4.70%,50%,12%,17%,0.63,0.97,0.32,AA,4.40%,32
11,亚药转债,128062,2019-04-24,亚太药业,2370,医药,106.641,0.26%,0.37%,16.65,0.91%,65,6.30%,16.3,3.4,2.10%,102.15,4.40%,4月27天,5.89年,3.89年,10.80%,11.00%,9.7,2.07%,1.47%,1.95%,-0.72%,-0.89%,87.61,94.34,21.6,115.93,-8.00%,59%,6%,16%,0.7,1.85,-0.33,AA,4.30%,73
12,现代转债,110057,2019-04-30,现代制药,600420,医药,107.21,0.20%,-0.68%,9.38,-0.85%,57,3.30%,10.09,1.52,-7.00%,92.96,15.30%,4月27天,5.89年,3.89年,16.30%,15.20%,16.2,0.60%,0.25%,0.53%,-0.87%,-1.04%,89.38,89.88,17.77,107.65,-0.40%,48%,15%,16%,0.57,0.56,0.6,AAA,3.70%,45
13,百姓转债,113531,2019-04-22,老百姓,603883,医药,111.2,-1.91%,0.90%,59.25,-1.51%,7.4,2.00%,60.59,5.34,-2.20%,97.79,13.70%,4月26天,4.88年,2.88年,1.90%,1.90%,3.3,0.26%,-0.21%,0.17%,-2.91%,-3.01%,89.4,91.72,17.71,109.43,1.60%,36%,20%,16%,0.67,-0.17,1.51,AA,4.30%,29
14,精测转债,123025,2019-04-19,精测电子,300567,电子,109.161,-1.17%,-0.40%,72.1,-2.37%,0.7,0.20%,75.88,10.04,-5.00%,95.02,14.90%,4月27天,5.88年,3.88年,3.20%,3.00%,3.8,1.33%,0.79%,1.22%,-1.17%,-1.37%,87.28,91.36,19.56,110.91,-1.60%,73%,15%,17%,0.66,0.19,1.13,AA-,4.50%,25
15,启明转债,128061,2019-04-24,启明星辰,2439,通信互联网,109.751,-0.04%,0.16%,26.76,0.19%,68,5.90%,28.33,7.16,-5.50%,94.46,16.20%,4月27天,5.87年,3.87年,4.40%,4.10%,10.5,1.31%,0.76%,1.20%,-1.38%,-1.56%,87.39,92.31,17.63,109.94,-0.20%,43%,17%,16%,0.64,0,1.28,AA,4.40%,35
16,大丰转债,113530,2019-04-18,大丰实业,603081,建筑,98.95,0.07%,-0.31%,12.87,-0.62%,5.4,0.90%,16.88,3.83,-23.80%,76.24,29.80%,4月21天,5.87年,3.87年,12.20%,9.30%,6.3,3.70%,3.03%,3.57%,1.23%,1.04%,85.36,91.89,7.86,99.75,-0.80%,54%,15%,16%,0.38,-0.08,0.85,AA,5.00%,29
17,中装转债,128060,2019-04-15,中装建设,2822,建筑,98.884,-0.12%,-0.20%,5.4,-0.55%,4.7,0.90%,6.24,1.7,-13.50%,86.54,14.30%,4月27天,5.87年,3.87年,16.20%,14.00%,5.3,2.39%,1.96%,2.30%,1.22%,1.03%,86.83,87.61,15.58,103.19,-4.20%,67%,12%,17%,0.57,0.86,0.32,AA,4.60%,66
18,招路转债,127012,2019-04-30,招商公路,1965,机场高速港口,100.942,-0.37%,-0.49%,8.1,-1.70%,106,2.10%,9.34,1.24,-13.30%,86.72,16.40%,4月19天,5.86年,3.86年,10.00%,8.70%,50,1.22%,0.95%,1.17%,0.27%,0.17%,88.07,87.5,13.53,101.03,-0.10%,37%,15%,15%,0.51,0.44,0.58,AAA,3.70%,75
19,岱勒转债,123024,2019-04-17,岱勒新材,300700,机械装备制造,98.5,-0.69%,1.03%,20.9,0.67%,1.8,0.90%,24.9,3.86,-16.10%,83.94,17.40%,4月16天,4.86年,2.86年,12.20%,10.20%,2.1,2.98%,2.46%,2.88%,1.22%,1.07%,87.73,88.94,12.37,101.31,-2.80%,67%,16%,18%,0.52,0.34,0.7,A+,5.20%,19
20,迪森转债,123023,2019-04-16,迪森股份,300335,能源电力,100.496,-0.70%,-0.02%,6.56,-1.20%,2.8,0.50%,7.39,1.93,-11.20%,88.77,13.20%,4月16天,5.85年,4.85年,25.20%,22.40%,6,2.42%,1.94%,2.32%,1.01%,0.79%,84.9,89.46,16.98,106.44,-5.60%,41%,11%,18%,0.59,1.09,0.14,AA,4.50%,36
21,亨通转债,110056,2019-04-16,亨通光电,600487,通信互联网,95.63,-9.79%,5.68%,16.23,-9.98%,484,28.40%,21.79,3.22,-25.50%,74.48,28.40%,4月14天,5.85年,3.85年,5.60%,4.20%,17.3,3.28%,2.79%,3.18%,2.03%,1.85%,85.4,87.09,8.34,95.43,0.20%,46%,22%,16%,0.41,-0.27,1.09,AA+,5.00%,53
22,通威转债,110054,2019-04-10,通威股份,600438,农业,123.17,-1.08%,-0.68%,14.75,-2.19%,30,0.50%,12.44,3.17,18.60%,118.57,3.90%,4月11天,5.85年,3.85年,8.70%,10.40%,50,-1.10%,-1.56%,-1.19%,-4.15%,-4.33%,89.79,93.39,35.24,128.62,-4.20%,61%,<2%,16%,0.8,1.45,0.21,AA+,3.80%,22
23,长信转债,123022,2019-04-10,长信科技,300088,通信互联网,105.3,-1.31%,0.83%,5.17,-0.96%,4.6,0.40%,6.38,2.81,-19.00%,81.03,29.90%,4月12天,5.85年,3.85年,10.30%,8.40%,12.3,1.59%,1.11%,1.50%,-0.36%,-0.54%,86.33,88.37,11.25,99.62,5.70%,79%,25%,16%,0.5,-1.23,2.31,AA,4.70%,12
24,伊力转债,110055,2019-04-04,伊力特,600197,食品饮料,112.2,-0.18%,-0.49%,16.92,-0.99%,10,1.10%,17.6,2.95,-3.90%,96.14,16.70%,4月12天,5.84年,3.84年,11.70%,11.30%,8.8,0.51%,0.03%,0.41%,-1.90%,-2.08%,87.98,90.71,19.63,110.34,1.70%,42%,18%,16%,0.67,-0.27,1.63,AA,4.30%,30
25,苏银转债,110053,2019-04-03,江苏银行,600919,金融,107.59,-0.06%,-0.08%,7.4,-0.27%,329,1.50%,7.9,0.87,-6.30%,93.67,14.90%,4月9天,5.84年,无权,23.40%,21.90%,200,1.83%,1.24%,1.71%,无权,无权,无权,96.76,17.97,114.73,-6.20%,25%,10%,18%,0.5,1.74,-0.59,AAA,3.70%,65
26,浙商转债,113022,2019-03-28,浙商证券,601878,金融,106.99,-0.48%,-0.25%,9.19,-2.13%,30,0.80%,12.53,3,-26.70%,73.34,45.90%,4月8天,5.83年,无权,11.40%,8.40%,35,0.48%,0.16%,0.42%,无权,无权,无权,88.7,8.69,97.39,9.90%,50%,31%,18%,0.34,-1.55,2.35,AAA,3.80%,35
27,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,119.8,-0.01%,-0.25%,45.41,-0.33%,21,1.70%,40.52,5.19,12.10%,112.07,6.90%,4月5天,5.83年,3.83年,5.40%,6.00%,10,-0.22%,-0.76%,-0.33%,-3.56%,-3.73%,88.76,94.32,29.05,123.37,-2.90%,46%,12%,16%,0.78,0.9,0.68,AA,4.00%,23
28,视源转债,128059,2019-04-02,视源股份,2841,电子,113.8,-0.61%,2.39%,77.27,2.41%,2.3,0.20%,75.71,13.73,2.10%,102.06,11.50%,4月5天,5.83年,3.83年,1.90%,1.90%,9.4,0.08%,-0.36%,-0.01%,-2.30%,-2.47%,88.38,90.58,23.85,114.43,-0.60%,55%,19%,16%,0.74,0.29,1.19,AA,4.20%,16
29,中鼎转2,127011,2019-04-04,中鼎股份,887,汽车,107.5,0.00%,-1.24%,10.12,-2.60%,3.1,0.20%,11.99,1.73,-15.60%,84.4,27.40%,4月5天,5.82年,3.82年,9.70%,8.20%,12,1.30%,0.81%,1.20%,-0.83%,-1.02%,88.19,91.11,12.99,104.1,3.30%,42%,20%,17%,0.48,-0.54,1.51,AA+,4.30%,21
